arm,n,rfs_frame_mean,rfs_cluster_mean
ridge ego,479,7.055030071506471,7.065050359115882
A ridge_late op-cinque temporal,479,7.457946164918519,7.44893955911454
A ridge_late op-lebowski temporal,479,7.471683309214765,7.521587485883439
cls ego K1024,479,7.277340321229472,7.262260881599444
cls_late op-cinque temporal,479,7.6526077439992735,7.637276413649218
cls_late op-lebowski temporal,479,7.703487033288038,7.734075282422667
native op-small (no fit),479,7.697533353195202,7.639661427615214
native op-cinque (no fit),479,7.941206200464859,8.004919907280499
native op-lebowski (no fit),479,7.80468568915373,7.885506729659272
