arm,vs,n,value,delta,lo,hi,halfwidth,cluster_mean_delta
cls_late op-cinque temporal,cls ego K1024,479,7.6526077439992735,0.37526742276980213,0.2135662418152394,0.544103819199735,0.16526878869224781,0.37501553204977434
cls_late op-cinque temporal,A ridge_late op-cinque temporal,479,7.6526077439992735,0.19466157908075463,-0.014669461824652865,0.3980115963223048,0.20634052907347883,0.1883368545346782
cls_late op-cinque temporal,native op-cinque (no fit),479,7.6526077439992735,-0.2885984564655857,-0.472199560080071,-0.10007938800950653,0.18606008603528223,-0.3676434936312809
A ridge_late op-cinque temporal,native op-cinque (no fit),479,7.457946164918519,-0.4832600355463403,-0.6510313281370225,-0.2950665120615524,0.17798240803773505,-0.5559803481659591
cls ego K1024,ridge ego,479,7.277340321229472,0.22231024972300073,0.03945761873918698,0.40647749645226766,0.18350993885654035,0.1972105224835614
cls_late op-cinque temporal,ridge ego,479,7.6526077439992735,0.5975776724928028,0.40294573839922626,0.808919696846304,0.2029869792235389,0.5722260545333357
A ridge_late op-cinque temporal,ridge ego,479,7.457946164918519,0.40291609341204815,0.232182940827845,0.5821891255985259,0.17500309238534045,0.38388919999865756
cls_late op-lebowski temporal,cls ego K1024,479,7.703487033288038,0.4261467120585674,0.2623362254115513,0.5837209594821566,0.16069236703530265,0.4718144008232237
cls_late op-lebowski temporal,A ridge_late op-lebowski temporal,479,7.703487033288038,0.2318037240732727,0.03868090134627664,0.4152571151882539,0.18828810692098863,0.21248779653922867
cls_late op-lebowski temporal,native op-lebowski (no fit),479,7.703487033288038,-0.1011986558656906,-0.29223218616410307,0.09355344160579585,0.19289281388494944,-0.15143144723660473
A ridge_late op-lebowski temporal,native op-lebowski (no fit),479,7.471683309214765,-0.3330023799389633,-0.5269356652132515,-0.14189522975350088,0.19252021772987532,-0.3639192437758334
cls ego K1024,ridge ego,479,7.277340321229472,0.22231024972300073,0.03945761873918698,0.40647749645226766,0.18350993885654035,0.1972105224835614
cls_late op-lebowski temporal,ridge ego,479,7.703487033288038,0.6484569617815681,0.4427854416655788,0.8532427960272139,0.20522867718081753,0.6690249233067851
A ridge_late op-lebowski temporal,ridge ego,479,7.471683309214765,0.4166532377082954,0.24332387687046572,0.5941879659671908,0.17543204454836253,0.4565371267675564
