set,probe,feature,dim,n,pos_rate,n_routes,auc_mean,auc_sd,auc_oof,fold_aucs,verdict,frames
carla_p6,b_front,cinque temporal,512,20914,0.5256,55,0.8463,0.0156,0.8426,"[0.8223, 0.8604, 0.833, 0.8582, 0.8575]",有信息，可激发,v_ego>=3 (post hoc)
carla_p6,b_front,lebowski temporal,512,20914,0.5256,55,0.891,0.0124,0.8887,"[0.8866, 0.8903, 0.8706, 0.9032, 0.9045]",有信息，可激发,v_ego>=3 (post hoc)
carla_p6,b_front,cinque vision (mean),512,20914,0.5256,55,0.8721,0.0798,0.8786,"[0.7152, 0.9204, 0.8827, 0.9207, 0.9216]",有信息，可激发,v_ego>=3 (post hoc)
carla_p6,b_front,lebowski vision (view_40),3072,20914,0.5256,55,0.9041,0.0198,0.9038,"[0.8684, 0.9217, 0.8979, 0.9202, 0.9125]",有信息，可激发,v_ego>=3 (post hoc)
carla_p6,b_front,ego speed only,1,20914,0.5256,55,0.4754,0.0413,0.4426,"[0.4889, 0.4518, 0.44, 0.5506, 0.4454]",没有，要外接,v_ego>=3 (post hoc)
carla_p6,c,cinque temporal,512,13729,0.4118,25,0.8695,0.06,0.8253,"[0.7973, 0.9141, 0.7949, 0.9189, 0.9223]",有信息，可激发,"2W, v_ego>=3 (post hoc)"
carla_p6,c,lebowski temporal,512,13729,0.4118,25,0.897,0.0534,0.8685,"[0.871, 0.9215, 0.8053, 0.9541, 0.933]",有信息，可激发,"2W, v_ego>=3 (post hoc)"
carla_p6,c,cinque vision (mean),512,13729,0.4118,25,0.9029,0.0279,0.8834,"[0.8667, 0.9196, 0.8735, 0.9384, 0.9161]",有信息，可激发,"2W, v_ego>=3 (post hoc)"
carla_p6,c,lebowski vision (view_40),3072,13729,0.4118,25,0.9355,0.029,0.9214,"[0.9353, 0.9542, 0.8835, 0.9696, 0.9349]",有信息，可激发,"2W, v_ego>=3 (post hoc)"
carla_p6,c,ego speed only,1,13729,0.4118,25,0.5708,0.0191,0.5539,"[0.6066, 0.5506, 0.5691, 0.5595, 0.5683]",没有，要外接,"2W, v_ego>=3 (post hoc)"
