key,bin,v_ego,model,read,y_none,x_none,d_left,d_right,set
1807321-0007570,5-10,7.55592890765529,cinque,0,0.014464111328125001,18.603125,0.623621826171875,-0.163751220703125,carla_p5v1_ba
1807321-0007570,5-10,7.55592890765529,cinque,1,0.006734619140625,19.12125,0.548031005859375,-0.114652099609374,carla_p5v1_ba
1807321-0007570,5-10,7.55592890765529,cinque,5,0.005501708984375,16.576875,0.665650634765625,-0.0453173828125,carla_p5v1_ba
1807321-0007570,5-10,7.55592890765529,lebowski,0,-0.028131713867187002,18.919375,0.545592651367187,-0.501126098632812,carla_p5v1_ba
1807321-0007570,5-10,7.55592890765529,lebowski,1,-0.024551391601562,18.559375,0.541524047851562,-0.559940795898437,carla_p5v1_ba
1807321-0007570,5-10,7.55592890765529,lebowski,5,0.0013946914672850002,16.12,0.744171714782714,-0.722820472717285,carla_p5v1_ba
2441620-0000195,5-10,7.495517971808193,cinque,0,-0.282861328125,20.44625,0.986611328125,-0.35225585937500004,carla_p5v1_ba
2441620-0000195,5-10,7.495517971808193,cinque,1,-0.29093749999999996,21.75375,0.692578125,-0.43359374999999906,carla_p5v1_ba
2441620-0000195,5-10,7.495517971808193,cinque,5,-0.1328955078125,20.186875,0.6052587890625,-0.070781249999999,carla_p5v1_ba
2441620-0000195,5-10,7.495517971808193,lebowski,0,-0.2247802734375,19.624375,0.9034716796875,-0.44820800781250003,carla_p5v1_ba
2441620-0000195,5-10,7.495517971808193,lebowski,1,-0.252666015625,20.94875,0.763896484375,-0.548564453125,carla_p5v1_ba
2441620-0000195,5-10,7.495517971808193,lebowski,5,-0.1318994140625,19.4675,0.8133447265625,-0.46265136718749905,carla_p5v1_ba
1774912-0001188,5-10,7.172910971216095,cinque,0,-0.016459350585937,19.38875,0.6307171630859371,-0.092827758789062,carla_p5v1_ba
1774912-0001188,5-10,7.172910971216095,cinque,1,-0.018446655273437,19.15125,0.47161071777343705,-0.11004943847656201,carla_p5v1_ba
1774912-0001188,5-10,7.172910971216095,cinque,5,-0.016803588867187,19.333125,0.193239135742187,-0.025234985351562003,carla_p5v1_ba
1774912-0001188,5-10,7.172910971216095,lebowski,0,-0.052431640625,18.20125,0.531611328125,-0.445126953125,carla_p5v1_ba
1774912-0001188,5-10,7.172910971216095,lebowski,1,-0.05712890625,19.72625,0.66296875,-0.6051953125,carla_p5v1_ba
1774912-0001188,5-10,7.172910971216095,lebowski,5,-0.056500244140625,20.45625,0.763648681640625,-0.569398193359374,carla_p5v1_ba
1834420-0002242,5-10,7.556625268991622,cinque,0,0.025533447265625002,22.304375,0.5196423339843751,-0.129456787109375,carla_p5v1_ba
1834420-0002242,5-10,7.556625268991622,cinque,1,0.026199340820312,22.304375,0.302413940429687,-0.078156127929687,carla_p5v1_ba
1834420-0002242,5-10,7.556625268991622,cinque,5,0.027476806640625,19.96,0.10850952148437501,-0.025596866607666004,carla_p5v1_ba
1834420-0002242,5-10,7.556625268991622,lebowski,0,0.06585205078125,22.36875,0.81063232421875,-0.72440673828125,carla_p5v1_ba
1834420-0002242,5-10,7.556625268991622,lebowski,1,0.036767578125,21.263125,0.686923828125,-0.730966796875,carla_p5v1_ba
1834420-0002242,5-10,7.556625268991622,lebowski,5,0.06194091796875,20.228125,0.87677001953125,-0.86141357421875,carla_p5v1_ba
2694410-0010651,5-10,6.956017446537874,cinque,0,7.39296875,14.09875,0.47546875000000005,-0.8331249999999991,carla_p5v1_ba
2694410-0010651,5-10,6.956017446537874,cinque,1,2.9538281250000002,17.469375,0.20390625,-0.7356249999999991,carla_p5v1_ba
2694410-0010651,5-10,6.956017446537874,cinque,5,0.9903124999999999,19.840625,0.10660156249999901,-0.12214843750000001,carla_p5v1_ba
2694410-0010651,5-10,6.956017446537874,lebowski,0,8.4771875,9.4375,0.342500000000001,-2.712343749999999,carla_p5v1_ba
2694410-0010651,5-10,6.956017446537874,lebowski,1,3.21875,21.961875,0.21375000000000002,-1.427734375,carla_p5v1_ba
2694410-0010651,5-10,6.956017446537874,lebowski,5,0.78333984375,21.086875,1.04638671875,-0.590522460937499,carla_p5v1_ba
228622-0005581,5-10,7.367167758574034,cinque,0,-0.009213562011718001,17.63375,0.9214401245117181,-1.223325500488281,carla_p5v1_ba
228622-0005581,5-10,7.367167758574034,cinque,1,-0.0135693359375,17.23375,0.6340576171875,-1.1742431640625,carla_p5v1_ba
228622-0005581,5-10,7.367167758574034,cinque,5,-0.008104248046875,16.799375,0.428836669921874,-1.000177001953125,carla_p5v1_ba
228622-0005581,5-10,7.367167758574034,lebowski,0,-0.022301635742187003,21.265,0.786090698242187,-0.7385577392578121,carla_p5v1_ba
228622-0005581,5-10,7.367167758574034,lebowski,1,-0.02814208984375,19.023125,0.79775146484375,-0.78070556640625,carla_p5v1_ba
228622-0005581,5-10,7.367167758574034,lebowski,5,-0.02716064453125,19.766875,0.95114501953125,-1.00416748046875,carla_p5v1_ba
381611-0009293,5-10,7.286802198116474,cinque,0,-0.01666259765625,18.04,0.54363525390625,-0.86462646484375,carla_p5v1_ba
381611-0009293,5-10,7.286802198116474,cinque,1,-0.019309692382812,18.25875,0.524524536132812,-0.9379559326171871,carla_p5v1_ba
381611-0009293,5-10,7.286802198116474,cinque,5,-0.033046875,16.92375,0.2878515625,-0.41791015624999905,carla_p5v1_ba
381611-0009293,5-10,7.286802198116474,lebowski,0,-0.037952880859374004,19.411875,0.6755310058593751,-0.505035400390625,carla_p5v1_ba
381611-0009293,5-10,7.286802198116474,lebowski,1,-0.057180175781249,20.234375,0.75739501953125,-0.67074951171875,carla_p5v1_ba
381611-0009293,5-10,7.286802198116474,lebowski,5,-0.039473876953125,20.508125,0.934180908203125,-0.5594519042968751,carla_p5v1_ba
1825220-0000201,5-10,7.3613347810073595,cinque,0,-0.067744140625,19.5,0.31857421874999997,-0.050488281249999004,carla_p5v1_ba
1825220-0000201,5-10,7.3613347810073595,cinque,1,-0.035618896484375,19.099375,0.19810424804687501,-0.042144775390624,carla_p5v1_ba
1825220-0000201,5-10,7.3613347810073595,cinque,5,-0.023898315429687,19.266875,0.032007446289062005,-0.014596557617187,carla_p5v1_ba
1825220-0000201,5-10,7.3613347810073595,lebowski,0,-0.1148779296875,18.89625,0.5686083984375,-0.2801513671875,carla_p5v1_ba
1825220-0000201,5-10,7.3613347810073595,lebowski,1,-0.08637451171875,17.225625,0.59821044921875,-0.27411376953125,carla_p5v1_ba
1825220-0000201,5-10,7.3613347810073595,lebowski,5,-0.08900634765625,17.14625,0.82648681640625,-0.40191162109375,carla_p5v1_ba
1817430-0002869,5-10,7.503172784396194,cinque,0,-0.0630419921875,17.220625,0.667670898437499,-0.16386230468750002,carla_p5v1_ba
1817430-0002869,5-10,7.503172784396194,cinque,1,-0.0607763671875,18.120625,0.5745654296875,-0.13386230468750002,carla_p5v1_ba
1817430-0002869,5-10,7.503172784396194,cinque,5,-0.006205139160156001,18.03,0.554232482910156,-0.022732849121093003,carla_p5v1_ba
1817430-0002869,5-10,7.503172784396194,lebowski,0,-0.04904052734375,16.638125,0.471169433593749,-0.51715087890625,carla_p5v1_ba
1817430-0002869,5-10,7.503172784396194,lebowski,1,-0.04780029296875,17.51875,0.63364013671875,-0.51688720703125,carla_p5v1_ba
1817430-0002869,5-10,7.503172784396194,lebowski,5,-0.022824096679687003,17.896875,0.8400897216796871,-0.6292266845703121,carla_p5v1_ba
350211-0004074,5-10,7.556854886305776,cinque,0,0.21613281250000002,19.833125,1.25171875,-0.3299658203125,carla_p5v1_ba
350211-0004074,5-10,7.556854886305776,cinque,1,0.21763671874999999,20.1,1.17126953125,-0.15772460937500002,carla_p5v1_ba
350211-0004074,5-10,7.556854886305776,cinque,5,0.228154296875,19.675625,1.107705078125,-0.07838867187499901,carla_p5v1_ba
350211-0004074,5-10,7.556854886305776,lebowski,0,0.2307421875,19.663125,0.7684765625000001,-0.527431640625,carla_p5v1_ba
350211-0004074,5-10,7.556854886305776,lebowski,1,0.28853515625,19.68625,0.9918164062499991,-0.56876953125,carla_p5v1_ba
350211-0004074,5-10,7.556854886305776,lebowski,5,0.2175244140625,16.79,1.0397412109375,-0.5395947265625001,carla_p5v1_ba
324820-0002064,5-10,7.56567706083531,cinque,0,0.10375244140625,18.48625,0.720974121093749,-0.04775146484375,carla_p5v1_ba
324820-0002064,5-10,7.56567706083531,cinque,1,0.10071533203125,17.319375,0.73920654296875,-0.044217529296874,carla_p5v1_ba
324820-0002064,5-10,7.56567706083531,cinque,5,0.06955566406250001,17.13625,0.1425830078125,-0.039107055664062,carla_p5v1_ba
324820-0002064,5-10,7.56567706083531,lebowski,0,0.1042626953125,19.34875,0.8171826171875001,-0.5974462890625,carla_p5v1_ba
324820-0002064,5-10,7.56567706083531,lebowski,1,0.08927001953125,18.91,0.84569091796875,-0.6127856445312501,carla_p5v1_ba
324820-0002064,5-10,7.56567706083531,lebowski,5,0.077890625,19.845625,1.133203125,-0.8695898437499999,carla_p5v1_ba
2420612-0003337,5-10,7.226345189621867,cinque,0,-0.024208374023437004,5.76875,0.7237005615234371,-1.744776000976562,carla_p5v1_ba
2420612-0003337,5-10,7.226345189621867,cinque,1,-0.024519653320312,3.576953125,0.5267852783203121,-1.006066284179687,carla_p5v1_ba
2420612-0003337,5-10,7.226345189621867,cinque,5,-0.015329284667968,1.03078125,0.30809295654296803,-0.30945587158203103,carla_p5v1_ba
2420612-0003337,5-10,7.226345189621867,lebowski,0,-0.023851318359375002,8.53625,0.638343505859375,-0.851304931640624,carla_p5v1_ba
2420612-0003337,5-10,7.226345189621867,lebowski,1,-0.007052307128906,5.5478125,0.517286682128906,-0.461580505371093,carla_p5v1_ba
2420612-0003337,5-10,7.226345189621867,lebowski,5,0.0037521362304680003,0.9737109375,0.618064270019531,-0.204152526855468,carla_p5v1_ba
2253530-0003428,5-10,6.798733027410955,cinque,0,0.0368310546875,28.3325,1.1012548828125,-0.32282714843750004,carla_p5v1_ba
2253530-0003428,5-10,6.798733027410955,cinque,1,0.016413269042968002,33.3075,0.9292898559570311,-0.35472381591796803,carla_p5v1_ba
2253530-0003428,5-10,6.798733027410955,cinque,5,-0.055577392578125,26.581875,0.578468017578125,-0.097879638671874,carla_p5v1_ba
2253530-0003428,5-10,6.798733027410955,lebowski,0,0.05838134765625,29.7375,0.712048339843749,-0.58451416015625,carla_p5v1_ba
2253530-0003428,5-10,6.798733027410955,lebowski,1,0.018860778808593,33.9675,0.8086392211914061,-0.675970153808593,carla_p5v1_ba
2253530-0003428,5-10,6.798733027410955,lebowski,5,-0.022919921875,27.17125,0.955068359375,-0.658251953125,carla_p5v1_ba
2596830-0013636,5-10,7.554398096551605,cinque,0,-3.36703125,21.93625,0.45078125,-0.55515625,carla_p5v1_ba
2596830-0013636,5-10,7.554398096551605,cinque,1,-2.3184375,19.98125,0.858984374999999,-0.21070312500000002,carla_p5v1_ba
2596830-0013636,5-10,7.554398096551605,cinque,5,-0.75005859375,16.030625,0.599594726562499,-0.03255859375,carla_p5v1_ba
2596830-0013636,5-10,7.554398096551605,lebowski,0,-3.321640625,21.403125,0.640078125,-1.599453124999999,carla_p5v1_ba
2596830-0013636,5-10,7.554398096551605,lebowski,1,-2.176640625,19.398125,1.0897265625,-1.554296875,carla_p5v1_ba
2596830-0013636,5-10,7.554398096551605,lebowski,5,-0.56384765625,14.34125,1.059921875,-0.9358007812500001,carla_p5v1_ba
246030-0008932,5-10,7.141183712530744,cinque,0,-0.0579296875,17.793125,0.8695898437499999,-0.05237548828125,carla_p5v1_ba
246030-0008932,5-10,7.141183712530744,cinque,1,-0.043189697265625,15.105,0.833385009765625,-0.056424560546874,carla_p5v1_ba
246030-0008932,5-10,7.141183712530744,cinque,5,-0.010682983398437,15.1284375,0.40673767089843704,-0.019151000976562003,carla_p5v1_ba
246030-0008932,5-10,7.141183712530744,lebowski,0,-0.026970825195312003,18.478125,0.6012286376953121,-0.41779479980468703,carla_p5v1_ba
246030-0008932,5-10,7.141183712530744,lebowski,1,-0.02183349609375,16.090625,0.65624755859375,-0.43427978515625,carla_p5v1_ba
246030-0008932,5-10,7.141183712530744,lebowski,5,-0.011557006835937,15.75375,1.046674194335937,-0.6942242431640621,carla_p5v1_ba
2253111-0009534,5-10,7.115431924291246,cinque,0,-0.5512890625,12.075625,1.054140625,-1.12390625,carla_p5v1_ba
2253111-0009534,5-10,7.115431924291246,cinque,1,-0.42422851562499997,17.586875,1.092255859375,-1.084365234374999,carla_p5v1_ba
