set,probe,feature,dim,n,pos_rate,n_routes,auc_mean,auc_sd,auc_oof,fold_aucs,verdict
carla_p5v1_pdm,a,cinque temporal,512,35559,0.3513,101,0.9905,0.0046,0.9898,"[0.9905, 0.9815, 0.9936, 0.9937, 0.9931]",有信息，可激发
carla_p5v1_pdm,a,lebowski temporal,512,35559,0.3513,101,0.9915,0.0017,0.9916,"[0.992, 0.9942, 0.9901, 0.9919, 0.9894]",有信息，可激发
carla_p5v1_pdm,a,cinque vision (mean),512,35559,0.3513,101,0.9813,0.019,0.984,"[0.9877, 0.9933, 0.9909, 0.9912, 0.9435]",有信息，可激发
carla_p5v1_pdm,a,lebowski vision (view_40),3072,35559,0.3513,101,0.9799,0.0258,0.9875,"[0.9886, 0.995, 0.9911, 0.9961, 0.9285]",有信息，可激发
carla_p5v1_pdm,b,cinque temporal,512,35559,0.555,101,0.7285,0.0264,0.7319,"[0.6999, 0.7277, 0.7555, 0.7607, 0.6985]",有信息，可激发
carla_p5v1_pdm,b,lebowski temporal,512,35559,0.555,101,0.7408,0.0308,0.7336,"[0.6842, 0.7757, 0.7388, 0.7566, 0.7487]",有信息，可激发
carla_p5v1_pdm,b,cinque vision (mean),512,35559,0.555,101,0.7498,0.0253,0.7343,"[0.7536, 0.7804, 0.7671, 0.741, 0.7067]",有信息，可激发
carla_p5v1_pdm,b,lebowski vision (view_40),3072,35559,0.555,101,0.7277,0.0564,0.7295,"[0.7148, 0.8309, 0.686, 0.7363, 0.6705]",有信息，可激发
carla_p5v1_pdm,b_front,cinque temporal,512,35559,0.3063,101,0.7428,0.0519,0.7195,"[0.6468, 0.7533, 0.7382, 0.7933, 0.7825]",有信息，可激发
carla_p5v1_pdm,b_front,lebowski temporal,512,35559,0.3063,101,0.7825,0.0307,0.7752,"[0.7323, 0.8144, 0.7691, 0.8139, 0.7828]",有信息，可激发
carla_p5v1_pdm,b_front,cinque vision (mean),512,35559,0.3063,101,0.8298,0.0293,0.829,"[0.7873, 0.8251, 0.8138, 0.8715, 0.8516]",有信息，可激发
carla_p5v1_pdm,b_front,lebowski vision (view_40),3072,35559,0.3063,101,0.8432,0.0704,0.8277,"[0.7116, 0.8698, 0.8331, 0.9047, 0.8968]",有信息，可激发
carla_p5v1_pdm,c,cinque temporal,512,35559,0.4278,101,0.7266,0.0436,0.7198,"[0.7607, 0.6797, 0.6734, 0.7355, 0.7835]",有信息，可激发
carla_p5v1_pdm,c,lebowski temporal,512,35559,0.4278,101,0.6958,0.0488,0.7003,"[0.7346, 0.6691, 0.6178, 0.7023, 0.7553]",之间
carla_p5v1_pdm,c,cinque vision (mean),512,35559,0.4278,101,0.7493,0.0337,0.7442,"[0.764, 0.7239, 0.7061, 0.7489, 0.8035]",有信息，可激发
carla_p5v1_pdm,c,lebowski vision (view_40),3072,35559,0.4278,101,0.778,0.0209,0.773,"[0.8033, 0.7545, 0.7518, 0.7889, 0.7918]",有信息，可激发
