expert,arm,ped_reactive,ped_flip,ped_lo,ped_hi,null_ff_oos,cutin_flip,cutin_delta_vs_prior,cutin_lo,cutin_hi,pooled_flip,pooled_lo,pooled_hi,a_ped,c_null
pdm,prior [cinque],309,0.006472,0,0.02222,0.04931,0.004219,0,0,0,0.005109,0,0.01178,False,True
pdm,M-C pair qwen [cinque],309,0.006472,0,0.02222,0.05001,0.004219,0,-0.006187,0.006425,0.005109,0,0.01163,False,True
pdm,M-C hard [cinque],309,0.003236,0,0.01111,0.04873,0.004219,0,-0.00576,0.006224,0.003831,0,0.01038,False,True
pdm,prior [lebowski],309,0.003236,0,0.009677,0.05116,0.04008,0,0,0,0.02554,0.00146,0.06008,False,True
pdm,M-C pair qwen [lebowski],309,0.003236,0,0.009677,0.05092,0.0443,0.004219,-0.003992,0.01313,0.0281,0.003963,0.06486,False,True
pdm,M-C hard [lebowski],309,0,0,0,0.05084,0.04219,0.00211,-0.02278,0.02745,0.02554,0.001346,0.06916,False,True
ba,prior [cinque],406,0.002463,0,0.007916,0.05052,0.7692,0,0,0,0.482,0.355,0.6023,False,True
ba,M-C pair qwen [cinque],406,0.4212,0.335,0.5,0.0493,0.7145,-0.05473,-0.1106,-0.01376,0.605,0.5215,0.6828,True,True
ba,M-C hard [cinque],406,0,0,0,0.04924,0.7751,0.005917,-0.008785,0.02011,0.4847,0.3569,0.6041,False,True
ba,prior [lebowski],406,0.02709,0.003095,0.05896,0.05158,0.7056,0,0,0,0.4514,0.3354,0.5617,False,True
ba,M-C pair qwen [lebowski],406,0.3916,0.3027,0.4758,0.04732,0.6435,-0.06213,-0.1246,-0.01479,0.5495,0.464,0.6345,True,True
ba,M-C hard [lebowski],406,0.03448,0.009171,0.06468,0.05475,0.6982,-0.007396,-0.02236,0.005988,0.4496,0.3333,0.56,False,True
