window,arm,station_m,n,cte_median,cte_q25,cte_q75,course_median_deg
17563-S1,prod-k0,17.0,10,0.03094,-0.03949,0.09545,-0.0167
17563-S1,prod-k0,18.0,10,0.01925,-0.02817,0.09594,-0.0428
17563-S1,prod-k0,19.0,10,-0.00046,-0.02075,0.0891,0.0471
17563-S1,prod-k0,20.0,10,0.00606,-0.03834,0.07652,0.2958
17563-S1,prod-k0,21.0,10,0.01712,-0.05371,0.06109,0.3869
17563-S1,prod-k0,22.0,10,0.0062,-0.05229,0.06427,0.5287
17563-S1,prod-k0,23.0,10,-0.01628,-0.04439,0.05545,0.5685
17563-S1,prod-k0,24.0,10,-0.03647,-0.04788,0.02226,0.1884
17563-S1,prod-k0,25.0,10,-0.03286,-0.07138,-0.00977,0.5226
17563-S1,prod-k0,26.0,10,-0.03946,-0.07914,-0.02928,0.7406
17563-S1,prod-k0,27.0,10,-0.04686,-0.10487,-0.02203,0.7618
17563-S1,prod-k0,28.0,10,-0.06508,-0.12064,-0.01646,0.6825
17563-S1,prod-k0,29.0,10,-0.08215,-0.12761,-0.03446,0.3805
17563-S1,prod-k0,30.0,10,-0.08893,-0.12894,-0.04763,0.1195
17563-S1,prod-k0,31.0,10,-0.08333,-0.12937,-0.05172,-0.1096
17563-S1,prod-k0,32.0,10,-0.07483,-0.12951,-0.04356,0.4881
17563-S1,prod-k0,33.0,10,-0.04491,-0.10124,0.00267,4.2123
17563-S1,prod-k0,34.0,10,0.04684,-0.00566,0.11336,5.4219
17563-S1,prod-k0,35.0,10,-0.04266,-0.10468,0.01823,4.195
17563-S1,prod-k0,36.0,10,-0.26199,-0.29787,-0.20447,2.4612
17563-S1,prod-k0,37.0,10,-0.38033,-0.40403,-0.34368,2.9911
17563-S1,prod-k0,38.0,10,-0.42807,-0.45605,-0.40376,1.1163
17563-S1,prod-k0,39.0,10,-0.46437,-0.49762,-0.43117,-3.5261
17563-S1,prod-k0,40.0,10,-0.54514,-0.56749,-0.49082,-5.8449
17563-S1,prod-k0,41.0,10,-0.45421,-0.48169,-0.39735,-8.3227
17563-S1,prod-k0,42.0,10,-0.15152,-0.18122,-0.09732,-7.4022
17563-S1,prod-k0,43.0,10,0.07036,0.02827,0.13525,-8.1645
17563-S1,prod-k0,44.0,10,0.18904,0.13993,0.26763,-5.4536
17563-S1,prod-k0,45.0,10,0.26151,0.2081,0.32098,-2.2892
17563-S1,prod-k0,46.0,10,0.28217,0.22971,0.33683,0.0486
17563-S1,prod-k0,47.0,10,0.27028,0.22766,0.32116,1.2268
17563-S1,prod-k0,48.0,10,0.24119,0.19541,0.27914,2.064
17563-S1,prod-k0,49.0,10,0.20344,0.16036,0.22937,2.3356
