gate,train_frames,trigger_rate,decel_median_triggered,decel_median_not,precision_vs_brake_gt_1ms,recall_vs_brake_gt_1ms
ttc,17746,0.03420489124309704,0.2951700687408447,0.0,0.46293245469522243,0.20814814814814814
intrusion,17746,0.1329877155415305,0.07323575019836426,0.0,0.2889830508474576,0.5051851851851852
pedestrian,17746,0.00862166121942973,0.00993527565151453,0.0,0.4444444444444444,0.05037037037037037
any,17746,0.13952439986475826,0.046787261962890625,0.0,0.28836833602584816,0.5288888888888889
