frame,timestamp,raw_speed_mps,desired,native_throttle,native_brake,old_reason,new_reason,old_native_throttle,old_native_brake,new_native_throttle,new_native_brake,old_pi_throttle,old_pi_brake,new_pi_throttle,new_pi_brake
3151,1.8000000268220901,4.044821030845448,7.646219889322918,0.75,0.0,tracking,tracking,0.75,0.0,0.75,0.0,0.75,0.0,0.75,0.0
3152,1.8500000275671482,4.2526673879078105,7.711219469706217,0.75,0.0,tracking,tracking,0.75,0.0,0.75,0.0,0.75,0.0,0.75,0.0
3153,1.9000000283122063,4.455863237740618,7.872629960378012,0.75,0.0,tracking,tracking,0.75,0.0,0.75,0.0,0.75,0.0,0.75,0.0
3154,1.9500000290572643,4.656663436933649,7.741788387298584,0.75,0.0,tracking,tracking,0.75,0.0,0.75,0.0,0.75,0.0,0.75,0.0
3155,2.0000000298023224,4.856099415879645,7.627628962198893,0.75,0.0,tracking,tracking,0.75,0.0,0.75,0.0,0.75,0.0,0.75,0.0
3156,2.0500000305473804,5.0554655379157705,7.584208806355794,0.75,0.0,tracking,tracking,0.75,0.0,0.75,0.0,0.75,0.0,0.75,0.0
3157,2.1000000312924385,5.252369797860914,7.612904866536459,0.75,0.0,tracking,tracking,0.75,0.0,0.75,0.0,0.75,0.0,0.75,0.0
3158,2.1500000320374966,5.258113659118969,7.436643441518148,0.75,0.0,tracking,tracking,0.75,0.0,0.75,0.0,0.75,0.0,0.75,0.0
3159,2.2000000327825546,5.193508130830402,7.661355336507162,0.75,0.0,tracking,tracking,0.75,0.0,0.75,0.0,0.75,0.0,0.75,0.0
3160,2.2500000335276127,5.202691025606139,7.66191323598226,0.75,0.0,tracking,tracking,0.75,0.0,0.75,0.0,0.75,0.0,0.75,0.0
3161,2.3000000342726707,5.204441847796761,7.501018365224203,0.75,0.0,tracking,tracking,0.75,0.0,0.75,0.0,0.75,0.0,0.75,0.0
3162,2.350000035017729,5.222223867273435,7.816765785217285,0.75,0.0,tracking,tracking,0.75,0.0,0.75,0.0,0.75,0.0,0.75,0.0
3163,2.400000035762787,5.198103853683924,8.00391149520874,0.75,0.0,tracking,tracking,0.75,0.0,0.75,0.0,0.75,0.0,0.75,0.0
3164,2.450000036507845,5.683555077625673,7.95590321222941,0.75,0.0,tracking,tracking,0.75,0.0,0.75,0.0,0.75,0.0,0.75,0.0
3165,2.500000037252903,5.987668134963522,7.6565937995910645,0.75,0.0,tracking,tracking,0.75,0.0,0.75,0.0,0.75,0.0,0.75,0.0
3166,2.550000037997961,6.27714947959685,7.832040150960287,0.75,0.0,tracking,tracking,0.75,0.0,0.75,0.0,0.75,0.0,0.75,0.0
3167,2.600000038743019,6.515774896094403,7.314412752787273,0.75,0.0,tracking,tracking,0.75,0.0,0.75,0.0,0.4093019017038541,0.0,0.4093019017038541,0.0
3168,2.650000039488077,6.769363062585683,6.756996313730875,0.0,0.0,tracking,tracking,0.0,0.0,0.0,0.0,0.0036450145670263966,0.0,0.0036450145670263966,0.0
3169,2.7000000402331352,6.97213607417499,6.265178362528483,0.0,1.0,tracking,tracking,0.0,1.0,0.0,1.0,0.0,0.35248743835608537,0.0,0.35248743835608537
3170,2.7500000409781933,7.079983551904204,6.42812967300415,0.0,1.0,tracking,tracking,0.0,1.0,0.0,1.0,0.0,0.33308369559052675,0.0,0.33308369559052675
3171,2.8000000417232513,7.026605477644669,7.6628481547037754,0.75,0.0,tracking,tracking,0.75,0.0,0.75,0.0,0.3189176159708015,0.0,0.3189176159708015,0.0
3172,2.8500000424683094,6.960438900248607,7.030336856842041,0.2827624976634979,0.0,tracking,tracking,0.2827624976634979,0.0,0.2827624976634979,0.0,0.03661898020840247,0.0,0.03661898020840247,0.0
3173,2.9000000432133675,6.885276439514377,7.8270362218221035,0.75,0.0,tracking,tracking,0.75,0.0,0.75,0.0,0.4843218905198117,0.0,0.4843218905198117,0.0
3174,2.9500000439584255,6.852819560338414,7.40258264541626,0.75,0.0,tracking,tracking,0.75,0.0,0.75,0.0,0.2951955805707458,0.0,0.2951955805707458,0.0
3175,3.0000000447034836,6.809274409990899,7.470573266347248,0.75,0.0,tracking,tracking,0.75,0.0,0.75,0.0,0.3592297020376283,0.0,0.3592297020376283,0.0
3176,3.0500000454485416,6.850087371622871,7.610829512278238,0.75,0.0,tracking,tracking,0.75,0.0,0.75,0.0,0.41846062108702864,0.0,0.41846062108702864,0.0
3177,3.1000000461935997,6.895247463947329,6.605519453684488,0.0,0.0,tracking,tracking,0.0,0.0,0.0,0.0,0.0,0.11039605455432666,0.0,0.11039605455432666
3178,3.1500000469386578,6.997127372813577,7.18637228012085,0.75,0.0,tracking,tracking,0.75,0.0,0.75,0.0,0.13145596560732034,0.0,0.13145596560732034,0.0
3179,3.200000047683716,7.037067609084715,7.545326232910156,0.75,0.0,tracking,tracking,0.75,0.0,0.75,0.0,0.2973160567588935,0.0,0.2973160567588935,0.0
