contrast,executed_arm,speed_bin,intent,curvature,axis,n,mean,median,p10,p90
A-B,A,0.5-3,cruise,straight,long,1544,-0.6988449258291901,-1.4254999160766602,-1.7224998474121094,2.0
A-B,A,0.5-3,cruise,straight,steer,1544,0.00754279497838568,-0.0001189188575113399,-0.02199999988079071,0.014692236367784469
A-B,A,0.5-3,target_stop,straight,long,318,-0.07168982578382928,0.0,0.0,0.0
A-B,A,0.5-3,target_stop,straight,steer,318,0.006756932504384027,-0.0009680767691073319,-0.217694200694561,0.3441181275844575
A-B,A,0.5-3,turn,turn,long,565,-1.4438729332347886,-1.585726022720337,-1.7224998474121094,-1.095184803009033
A-B,A,0.5-3,turn,turn,steer,565,-0.04383508320230747,-0.006434391081954043,-0.2357852739526166,0.08574334255854295
A-B,A,3-8,cruise,straight,long,9581,-0.2345289928594984,-0.22432315349578857,-1.7224998474121094,1.2713615596294403
A-B,A,3-8,cruise,straight,steer,9581,0.0015485197594233932,2.0387213509012418e-05,-0.008555145528581415,0.012761449350251058
A-B,A,3-8,decelerate,straight,long,63,0.05375874279037354,0.0,-1.654792881011963,1.9657395362854007
A-B,A,3-8,decelerate,straight,steer,63,0.005986171259889505,0.0013986769433702445,-0.011378501857320467,0.017043647925059004
A-B,A,3-8,decelerate,turn,long,11,0.38494200056249445,0.0,0.0,2.0
A-B,A,3-8,decelerate,turn,steer,11,-0.03492370562420951,-0.044688651065031684,-0.15530159235000612,0.08252017160256703
A-B,A,3-8,target_stop,straight,long,2871,-0.22168938111303324,0.0,-1.3399638831615448,0.0
A-B,A,3-8,target_stop,straight,steer,2871,-0.004454221179004156,-2.5588661216412826e-05,-0.014541182120641073,0.0028071668418124317
A-B,A,3-8,turn,turn,long,785,-0.5358559695090268,-1.0620479583740234,-1.7224998474121094,2.0
A-B,A,3-8,turn,turn,steer,785,-0.03546694570718665,-0.008393361792340228,-0.21588233441776697,0.10224225770102612
A-B,A,<0.5,cruise,straight,long,270,1.2399303602123701,2.0,-0.9389266967773435,2.0
A-B,A,<0.5,cruise,straight,steer,270,-0.1576806091010528,-0.003000000026077032,-1.0,0.003000000026077032
A-B,A,<0.5,launch,straight,long,1192,-1.221691896557658,-1.1779999732971191,-1.6888375759124754,-0.8810000419616699
A-B,A,<0.5,launch,straight,steer,1192,0.0014297193531195448,-0.0010000000474974513,-0.023000000044703484,0.03134883550264795
A-B,A,<0.5,launch,turn,long,205,-1.2790112988251012,-1.2246079444885254,-1.656278371810913,-0.9737420320510864
A-B,A,<0.5,launch,turn,steer,205,-0.14967588905496446,-0.12121320419841344,-0.38068320113089343,0.0909334172680972
A-B,A,<0.5,target_stop,straight,long,9227,-0.8542589192741468,0.0,-2.690989851951599,0.0
A-B,A,<0.5,target_stop,straight,steer,9227,0.0002030351153869215,0.0,0.0,0.0
A-B,A,>=8,cruise,straight,long,3030,0.02321017604554072,0.1395551711320877,-1.4196823060512542,1.2826852768659591
A-B,A,>=8,cruise,straight,steer,3030,-0.0030962033463810506,-5.584609080364724e-05,-0.03518802035072197,0.012388455284138495
A-B,A,>=8,target_stop,straight,long,961,-0.45621065448671116,0.0,-1.3364669680595398,0.0
A-B,A,>=8,target_stop,straight,steer,961,-0.003888450337592325,-0.00011320037228870205,-0.018765935947497685,0.02140724668900172
A-B,A,>=8,turn,turn,long,285,-0.34394721610373574,0.0,-1.7224998474121094,1.2473512649536127
A-B,A,>=8,turn,turn,steer,285,-0.03592508456011627,-0.01589023033557977,-0.17768246181805927,0.08533381702502567
A-B,A,>=8,target_stop,turn,long,70,-0.16748942051615034,0.0,-0.15080378055572455,0.0
A-B,A,>=8,target_stop,turn,steer,70,-0.04036791098137232,-0.020953050156434377,-0.1221663350827164,0.035751958087086706
A-B,A,<0.5,target_stop,turn,long,140,-2.6448061706764356,-3.08257257938385,-3.7224998474121094,0.0
A-B,A,<0.5,target_stop,turn,steer,140,0.002116815197992044,0.0,-0.0359978361527125,0.014704520271884099
C-B,B,0.5-3,cruise,straight,long,2921,-0.37435419085783306,-0.34584832191467285,-1.9157062036938077,1.7443094508704562
C-B,B,0.5-3,cruise,straight,steer,2921,-0.006224756745155757,0.0003444698276101732,-0.03674498658736067,0.059311882340545005
C-B,B,0.5-3,target_stop,turn,long,86,-0.5075503962478665,-0.5321281601942063,-1.808928872943746,1.1060687781692968
C-B,B,0.5-3,target_stop,turn,steer,86,0.21262600169614965,0.17975947304306839,0.10248360742261561,0.3865685682291782
C-B,B,0.5-3,turn,turn,long,491,-1.2600054896721133,-1.6956064701080322,-1.990397517947803,0.0780329704284668
C-B,B,0.5-3,turn,turn,steer,491,0.11390359791743081,0.08008617602950535,-0.13091467292378006,0.40637678486657863
C-B,B,3-8,cruise,straight,long,10630,-0.11545647502041145,0.09839803796972613,-1.6329924708536752,0.7333423974180602
C-B,B,3-8,cruise,straight,steer,10630,-0.0005619019413601018,0.00013875583095200486,-0.019498449116075657,0.01822567366547932
C-B,B,3-8,target_stop,turn,long,90,0.5456760042981199,1.087073572074511,-0.5377483294762654,1.4400836910479453
C-B,B,3-8,target_stop,turn,steer,90,0.01652837736310791,-0.005031988307685193,-0.14652646301461036,0.21261893723012806
C-B,B,3-8,turn,turn,long,898,-0.9176571375510854,-1.4976769935585452,-2.0786060205682184,0.914356287057691
C-B,B,3-8,turn,turn,steer,898,0.03372634138023571,0.02698095397097547,-0.13312906402845834,0.22338923239534952
C-B,B,<0.5,cruise,straight,long,6483,1.2855526079450275,1.75,-0.28638785291611146,1.75
C-B,B,<0.5,cruise,straight,steer,6483,0.28846362913657664,0.2586144046169763,-0.4000000131130218,0.8
C-B,B,<0.5,launch,straight,long,1317,-1.594204486942764,-1.6308021310505316,-2.6259942406776133,-0.6470030838615782
C-B,B,<0.5,launch,straight,steer,1317,-0.029708562512572072,0.00015506846516629276,-0.13514488072148023,0.04925634569961538
C-B,B,<0.5,launch,turn,long,122,-1.385831371265325,-1.4132391214370728,-1.9736391070468042,-0.2904946074406762
C-B,B,<0.5,launch,turn,steer,122,0.1868795844577836,0.1867887749570428,-0.8502802584320307,0.9679073811847028
C-B,B,<0.5,target_stop,straight,long,20840,0.6702502883906372,1.040571479765784,-0.24424521327018603,1.75
C-B,B,<0.5,target_stop,straight,steer,20840,-0.06752806700486415,0.0,-0.8,0.8
C-B,B,<0.5,target_stop,turn,long,142,-0.11456674076643586,-0.08900037482380867,-1.9218032360076904,1.75
C-B,B,<0.5,target_stop,turn,steer,142,0.4265733341157808,0.3911949595236084,-0.10000001206994052,1.1292756223996552
C-B,B,>=8,cruise,straight,long,1974,-0.06908170549519718,-0.005773748910469306,-1.2782529657562938,0.8914980724881986
C-B,B,>=8,cruise,straight,steer,1974,0.0009309628349000818,0.0001083412933644932,-0.04146083431223563,0.02457161243571865
C-B,B,>=8,target_stop,straight,long,315,0.45946876208122384,0.8075026745290375,-0.5651810762082479,1.3303462503475834
C-B,B,>=8,target_stop,straight,steer,315,0.013363436571332755,0.0007660597573130898,-0.04978176904017904,0.07922891811911942
A-B,B,0.5-3,cruise,straight,long,2921,-0.115069046020284,-0.09584832191467285,-1.623499870300293,2.0
A-B,B,0.5-3,cruise,straight,steer,2921,-0.016266599073161882,-9.721618698677048e-05,-0.08809605288505554,0.012460100188851356
A-B,B,0.5-3,target_stop,turn,long,86,-1.7559922167728113,-1.8236173391342163,-3.166151762008667,0.0
A-B,B,0.5-3,target_stop,turn,steer,86,0.12359549547863724,0.08904498869180681,-0.025322350263595583,0.3188984681367874
A-B,B,0.5-3,turn,turn,long,491,-1.0250968160825835,-1.3528648593298085,-1.6987910270690918,0.4671746492385864
A-B,B,0.5-3,turn,turn,steer,491,-0.022674735192445037,0.013173298582434654,-0.3117673397064209,0.16343747401237485
A-B,B,3-8,cruise,straight,long,10630,0.13789324786747456,0.37466785311698914,-1.402479100227356,1.0
A-B,B,3-8,cruise,straight,steer,10630,-0.00033637315607240614,1.5417835584230488e-05,-0.03375129648745058,0.029128618656098854
A-B,B,3-8,target_stop,turn,long,90,-0.6612477266126209,0.0,-1.6870575904846192,0.0
A-B,B,3-8,target_stop,turn,steer,90,-0.010154342499036531,-0.0023495818527881056,-0.35454108369350434,0.3162379605472088
A-B,B,3-8,turn,turn,long,898,-0.7466095088887461,-1.2524049282073975,-1.7224998474121094,0.8851751923561099
A-B,B,3-8,turn,turn,steer,898,-0.031365277061254825,-0.019247133370488882,-0.27187756307460365,0.19040824799537667
A-B,B,<0.5,cruise,straight,long,6483,1.5888262290252573,2.0,0.05969966815454785,2.0
