level,route,seed,arm,context,offset_m_n,offset_m_mean,offset_m_median,offset_m_p10,offset_m_p90,abs_offset_m_median
1,2091,0,D,all,338,-0.17016927608758337,-0.0007096394716506432,-0.8626310613898917,0.0037545934751961,0.004164482886851171
1,2091,0,D,turn,73,-0.7059577524701187,-0.7044091056286496,-1.0489446328592291,-0.427570559262055,0.7044091056286496
1,2091,0,D,straight,247,-0.01674720301533159,8.222790961273146e-05,-0.1447585504193013,0.004455311000689407,0.0015436807204120603
1,2091,1,D,all,365,-0.1780223639428219,-0.013032270571843708,-0.5451265262906694,0.00156008468271233,0.013032270571843708
1,2091,1,D,turn,74,-0.4637343962333413,-0.466453007515635,-0.645868084736067,-0.2556181674777931,0.466453007515635
1,2091,1,D,straight,254,-0.09949867069415413,-0.0003143947185911905,-0.49529485355580416,0.002944118893020803,0.0017106531844570038
1,2091,0,A,all,382,-0.1188908295801761,-0.00994928964647767,-0.46430725130284123,0.001803525388139556,0.00994928964647767
1,2091,0,A,turn,73,-0.31023354359506794,-0.2651655405178914,-0.6169287093924187,-0.026640132454170046,0.2651655405178914
1,2091,0,A,straight,264,-0.0805689051361302,-0.0008347829939291793,-0.2549490197778745,0.002501613753189181,0.004268962251258819
1,2091,2,A,all,392,-0.10983753195333758,-0.014268703254505691,-0.4769380109075677,0.0015618004138292126,0.014268703254505691
1,2091,2,A,turn,59,-0.36642378602083875,-0.38728519021887203,-0.6531944889332665,-0.02296693493560187,0.38728519021887203
1,2091,2,A,straight,283,-0.06648257860393747,-0.005693827822798213,-0.23112410953786755,0.0022905959672817576,0.00746700090133781
1,3514,1,A,all,519,0.04779213947619748,0.0004069010610692203,-0.000691731778594354,0.062064413572068135,0.0007158915646433124
1,3514,1,A,turn,24,0.15434802807585202,0.0915301995471934,0.058581672623333525,0.3195336454636948,0.0915301995471934
1,3514,1,A,straight,425,0.04040797952990162,0.00014771309641109116,-0.0007346259374869249,0.0330271751670492,0.0005493164021572738
1,2091,1,B,all,506,-0.14060277349759864,-0.0021432223685793547,-0.581876444891011,0.002059934872100425,0.004083840912292367
