method,board,protocol/split,metric,score,source,is_author_reported,same_checkpoint
AD-MLP,bench2drive,base-set open-loop 2s@2Hz,Avg L2 (m),3.64,"https://arxiv.org/pdf/2406.03877#page=9 (Table 3, PDF p.9)",no (benchmark authors re-evaluated),not explicitly stated; paired rows in Table 3
AD-MLP,bench2drive,base-set closed-loop 220 routes,Driving Score,18.05,"https://arxiv.org/pdf/2406.03877#page=9 (Table 3, PDF p.9)",no (benchmark authors re-evaluated),not explicitly stated; paired rows in Table 3
AD-MLP,bench2drive,base-set closed-loop 220 routes,Success Rate (%),0.00,"https://arxiv.org/pdf/2406.03877#page=9 (Table 3, PDF p.9)",no (benchmark authors re-evaluated),not explicitly stated; paired rows in Table 3
AD-MLP,bench2drive,base-set closed-loop 220 routes,Efficiency,48.45,"https://arxiv.org/pdf/2406.03877#page=9 (Table 3, PDF p.9)",no (benchmark authors re-evaluated),not explicitly stated; paired rows in Table 3
AD-MLP,bench2drive,base-set closed-loop 220 routes,Comfortness,22.63,"https://arxiv.org/pdf/2406.03877#page=9 (Table 3, PDF p.9)",no (benchmark authors re-evaluated),not explicitly stated; paired rows in Table 3
UniAD-Tiny,bench2drive,base-set open-loop 2s@2Hz,Avg L2 (m),0.80,"https://arxiv.org/pdf/2406.03877#page=9 (Table 3, PDF p.9)",no (benchmark authors re-evaluated),not explicitly stated; paired rows in Table 3
UniAD-Tiny,bench2drive,base-set closed-loop 220 routes,Driving Score,40.73,"https://arxiv.org/pdf/2406.03877#page=9 (Table 3, PDF p.9)",no (benchmark authors re-evaluated),not explicitly stated; paired rows in Table 3
UniAD-Tiny,bench2drive,base-set closed-loop 220 routes,Success Rate (%),13.18,"https://arxiv.org/pdf/2406.03877#page=9 (Table 3, PDF p.9)",no (benchmark authors re-evaluated),not explicitly stated; paired rows in Table 3
UniAD-Tiny,bench2drive,base-set closed-loop 220 routes,Efficiency,123.92,"https://arxiv.org/pdf/2406.03877#page=9 (Table 3, PDF p.9)",no (benchmark authors re-evaluated),not explicitly stated; paired rows in Table 3
UniAD-Tiny,bench2drive,base-set closed-loop 220 routes,Comfortness,47.04,"https://arxiv.org/pdf/2406.03877#page=9 (Table 3, PDF p.9)",no (benchmark authors re-evaluated),not explicitly stated; paired rows in Table 3
UniAD-Base,bench2drive,base-set open-loop 2s@2Hz,Avg L2 (m),0.73,"https://arxiv.org/pdf/2406.03877#page=9 (Table 3, PDF p.9)",no (benchmark authors re-evaluated),not explicitly stated; paired rows in Table 3
