direction,arm,lam,sel_ade,d,epochs,params,M
0,ridge ego,3.162277660168379e-06,1.9832495152950287,,,,
0,A ridge_late qwenvid L18_last,31.622776601683796,1.9434709548950195,2560.0,,,
0,A ridge_late qwenvid L18_mean,31.622776601683796,1.9294748306274414,2560.0,,,
0,diff ego M20,,1.9321472644805908,,44.0,1764137.0,20.0
0,diff qwenvid L18_last,,2.4452035427093506,,52.0,2420265.0,20.0
0,diff qwenvid L18_last pca16,,2.1012754440307617,,52.0,1769001.0,20.0
0,diff qwenvid L18_last pca64,,2.0863873958587646,,56.0,1781289.0,20.0
0,diff qwenvid L18_last drop0.5,,2.230773448944092,,52.0,2420265.0,20.0
0,diff qwenvid L18_mean,,2.439957618713379,,54.0,2420265.0,20.0
0,diff qwenvid L18_mean pca16,,2.1114795207977295,,49.0,1769001.0,20.0
0,diff qwenvid L18_mean pca64,,2.2580184936523438,,45.0,1781289.0,20.0
0,diff qwenvid L18_mean drop0.5,,2.242074966430664,,45.0,2420265.0,20.0
1,ridge ego,1e-06,2.0030508041381836,,,,
1,A ridge_late qwenvid L18_last,31.622776601683796,1.932360589504242,2560.0,,,
1,A ridge_late qwenvid L18_mean,10.0,1.8906482458114624,2560.0,,,
1,diff ego M20,,2.0790631771087646,,48.0,1764137.0,20.0
1,diff qwenvid L18_last,,2.5868709087371826,,51.0,2420265.0,20.0
1,diff qwenvid L18_last pca16,,2.2866597175598145,,51.0,1769001.0,20.0
1,diff qwenvid L18_last pca64,,2.3140175342559814,,26.0,1781289.0,20.0
1,diff qwenvid L18_last drop0.5,,2.4036831855773926,,58.0,2420265.0,20.0
1,diff qwenvid L18_mean,,2.58720064163208,,20.0,2420265.0,20.0
1,diff qwenvid L18_mean pca16,,2.296987295150757,,33.0,1769001.0,20.0
1,diff qwenvid L18_mean pca64,,2.297919750213623,,38.0,1781289.0,20.0
1,diff qwenvid L18_mean drop0.5,,2.348691940307617,,47.0,2420265.0,20.0
