direction,arm,n_modes,pool,n_rater,minade1 [all],minade6 [all],minade20 [all],oracle_pool [all],minade1 [pre_onset dec1-9],minade6 [pre_onset dec1-9],minade20 [pre_onset dec1-9],oracle_pool [pre_onset dec1-9],minade1 [straight dec1-9],minade6 [straight dec1-9],minade20 [straight dec1-9],oracle_pool [straight dec1-9],rfs_top1,rfs_oracle_modes,uncovered_modes,uncovered_pool,oracle_modes - oracle_pool [all]
0,diff ego M20,20,anchors M20,237,2.1789305,1.20626,1.1842203,1.8459693,2.3838365,1.639877,1.6372651,2.579714,1.6477765,0.8931908,0.89279014,1.3458014,7.43156690909282,8.604442267774656,0.16033755274261605,0.16033755274261605,-0.661749
0,diff qwenvid L18_last,20,anchors M20,237,2.7696655,1.3994958,1.3651589,1.8459693,2.8873103,1.7769436,1.7602777,2.579714,2.3191476,1.0678713,1.057307,1.3458014,7.290413107895053,8.705755255009748,0.16033755274261605,0.16033755274261605,-0.4808104
0,diff qwenvid L18_last pca16,20,anchors M20,237,2.3875377,1.2791946,1.2505951,1.8459693,2.6204288,1.6845621,1.6692573,2.579714,1.8488346,0.95325965,0.9447845,1.3458014,7.489458874023806,8.739382552312907,0.15611814345991562,0.16033755274261605,-0.5953742
0,diff qwenvid L18_last pca64,20,anchors M20,237,2.510977,1.3373564,1.3054128,1.8459693,2.7053118,1.7048383,1.6898156,2.579714,1.9472853,1.0081184,0.9988774,1.3458014,7.395778806305249,8.684879955424853,0.13924050632911392,0.16033755274261605,-0.54055655
0,diff qwenvid L18_last drop0.5,20,anchors M20,237,2.6086092,1.3326089,1.3022838,1.8459693,2.8463423,1.7098688,1.6953938,2.579714,2.097305,1.0041324,0.99391246,1.3458014,7.355540535753506,8.680804097503383,0.1518987341772152,0.16033755274261605,-0.54368556
0,diff qwenvid L18_mean,20,anchors M20,237,2.866547,1.4133952,1.3670915,1.8459693,2.8103538,1.7303938,1.7000062,2.579714,2.4085357,1.0621799,1.0481983,1.3458014,7.20788407061212,8.764549564425856,0.13924050632911392,0.16033755274261605,-0.47887778
0,diff qwenvid L18_mean pca16,20,anchors M20,237,2.388117,1.2938566,1.2712924,1.8459693,2.5589626,1.7054462,1.6982219,2.579714,1.8212262,0.94797015,0.945219,1.3458014,7.453303142839208,8.737430189084252,0.14767932489451477,0.16033755274261605,-0.5746769
0,diff qwenvid L18_mean pca64,20,anchors M20,237,2.5197136,1.36141,1.3334416,1.8459693,2.5497,1.7065185,1.6953195,2.579714,1.9986851,1.0162561,1.0120996,1.3458014,7.415513679412981,8.716219625258203,0.14767932489451477,0.16033755274261605,-0.5125277
0,diff qwenvid L18_mean drop0.5,20,anchors M20,237,2.5900412,1.3366652,1.3080204,1.8459693,2.6246061,1.7028763,1.6896441,2.579714,2.100496,1.0048442,1.0001231,1.3458014,7.354542021978223,8.766590224589715,0.11814345991561181,0.16033755274261605,-0.53794897
1,diff ego M20,20,anchors M20,241,2.1247985,1.1370801,1.1204184,1.8130498,2.4280267,1.4923683,1.481304,2.705197,1.6066138,0.8693173,0.86601084,1.3367561,7.267957693097354,8.82123950715335,0.13692946058091288,0.1991701244813278,-0.69263136
1,diff qwenvid L18_last,20,anchors M20,241,2.6555629,1.3838305,1.3400712,1.8130498,2.8369937,1.855386,1.8145822,2.705197,2.2946866,1.0699418,1.0498071,1.3367561,7.140092268250746,8.702056321535162,0.14937759336099585,0.1991701244813278,-0.4729786
1,diff qwenvid L18_last pca16,20,anchors M20,241,2.2706184,1.2240564,1.2014786,1.8130498,2.830317,1.5789369,1.5762409,2.705197,1.7448207,0.94304204,0.93756455,1.3367561,7.136620949714485,8.805026155060247,0.15352697095435686,0.1991701244813278,-0.6115712
1,diff qwenvid L18_last pca64,20,anchors M20,241,2.398589,1.3075045,1.2876045,1.8130498,2.9619546,1.8099077,1.7795597,2.705197,1.8526134,0.9893443,0.9867041,1.3367561,7.1389123608940475,8.757358572117049,0.14107883817427386,0.1991701244813278,-0.52544534
1,diff qwenvid L18_last drop0.5,20,anchors M20,241,2.4986212,1.2916805,1.2576389,1.8130498,2.8366127,1.7075806,1.6941923,2.705197,2.0805848,0.9942585,0.9884776,1.3367561,7.181174037091917,8.683306467835244,0.14522821576763487,0.1991701244813278,-0.55541086
1,diff qwenvid L18_mean,20,anchors M20,241,2.7661333,1.3889308,1.3436548,1.8130498,3.1522567,1.9144409,1.8224218,2.705197,2.4302638,1.0498387,1.0343204,1.3367561,6.9310623568884395,8.683426306511807,0.15352697095435686,0.1991701244813278,-0.46939504
1,diff qwenvid L18_mean pca16,20,anchors M20,241,2.3467195,1.2529153,1.2346684,1.8130498,2.8911052,1.6973257,1.6807339,2.705197,1.8139085,0.948795,0.9462554,1.3367561,7.142952804445375,8.696985468129796,0.16182572614107885,0.1991701244813278,-0.5783814
1,diff qwenvid L18_mean pca64,20,anchors M20,241,2.4616737,1.2918441,1.2673218,1.8130498,2.7366364,1.6335936,1.6298001,2.705197,1.9681423,0.9854113,0.98031455,1.3367561,6.998534311191117,8.68298780381754,0.1825726141078838,0.1991701244813278,-0.54572797
1,diff qwenvid L18_mean drop0.5,20,anchors M20,241,2.6531472,1.2959636,1.2656965,1.8130498,3.011458,1.7016792,1.6820959,2.705197,2.3389733,1.006988,0.99847484,1.3367561,6.969191575442249,8.719596170638447,0.17012448132780084,0.1991701244813278,-0.54735327
