direction,tap,family,arm,compare,subset,n,value,delta,lo,hi,halfwidth
0,L18_last,diff,diff qwenvid L18_last,head top-1 - ridge_late,pre_onset dec1-9,625,2.887310266494751,1.047045111656189,0.7834827602034387,1.3383481954864531,0.27743271764150723
0,L18_last,diff,diff qwenvid L18_last,vision increment: head family - ridge,pre_onset dec1-9,625,0.5034739375114441,0.5565910935401917,0.2936015517774574,0.8172538384371454,0.261826143329844
0,L18_last,diff,diff qwenvid L18_last,head top-1 - ridge_late,straight dec1-9,5410,2.3191475868225098,0.9199901223182678,0.6721872877011874,1.2070025458210913,0.26740762905995197
0,L18_last,diff,diff qwenvid L18_last,vision increment: head family - ridge,straight dec1-9,5410,0.6713711619377136,0.7045568227767944,0.4732034565430206,0.9727821380117909,0.24978934073438516
0,L18_last,diff,diff qwenvid L18_last,RFS head top-1 - ridge_late,rater frames,237,7.2904131273299555,0.12956608793877317,-0.15526186452872634,0.39556040710860196,0.27541113581866417
0,L18_last,diff,diff qwenvid L18_last pca16,head top-1 - ridge_late,pre_onset dec1-9,625,2.6204288005828857,0.7801634669303894,0.5989035555473263,0.9697867336815749,0.18544158906712427
0,L18_last,diff,diff qwenvid L18_last pca16,vision increment: head family - ridge,pre_onset dec1-9,625,0.23659230768680573,0.28970950841903687,0.09463589117964444,0.47132937837926714,0.18834674359981135
0,L18_last,diff,diff qwenvid L18_last pca16,head top-1 - ridge_late,straight dec1-9,5410,1.8488346338272095,0.4496770203113556,0.3200375440835208,0.59188922642674,0.1359258411716096
0,L18_last,diff,diff qwenvid L18_last pca16,vision increment: head family - ridge,straight dec1-9,5410,0.2010580599308014,0.23424366116523743,0.1288642742112832,0.3539906669677917,0.11256319637825425
0,L18_last,diff,diff qwenvid L18_last pca16,RFS head top-1 - ridge_late,rater frames,237,7.48945888799101,0.328611848599827,0.06158676378967979,0.6044588547153812,0.2714360454628507
