set,row,cmd,n,l2_avg,l2_3s,col_vad_avg,col_bevp_avg,col_bevp_3s
main,logged future,straight,4027,0.0,0.0,0.0,0.0,0.0
main,logged future,turn,609,0.0,0.0,0.0,0.0,0.0
main,cv,straight,4027,0.5972566268225642,0.9936241565336849,0.2103854537427917,0.8277460475126233,2.2100819468587036
main,cv,turn,609,1.424583503234463,2.420483234448876,0.8757525998905308,2.7367268746579096,5.582922824302135
main,cvv,straight,4027,0.6110457269793648,1.0107967370236166,0.25867063984769467,0.9436304941643906,2.383908616836355
main,cvv,turn,609,1.6844836182731768,2.766928469771597,1.1129355956942164,3.284072249589491,6.568144499178982
main,openpilot small,straight,4027,0.8353680039606632,1.2752611162172174,0.08829291173467979,0.2814336561542919,0.6953066799106035
main,openpilot small,turn,609,1.1905571825259222,1.8453144749201174,0.5610290093048713,0.8210180623973728,1.80623973727422
main,openpilot Cinque,straight,4027,0.9329610488667531,1.4902433252090814,0.06415031868222829,0.24004635377866076,0.6456419170598461
main,openpilot Cinque,turn,609,1.0979558692387745,1.7581850142688087,1.0490786352855317,2.244116037219486,4.269293924466338
main,openpilot Lebowski,straight,4027,1.0569553424019906,1.6515017455060217,0.09105206522638853,0.3476533399553018,0.7946362056121182
main,openpilot Lebowski,turn,609,1.4154769948796444,2.255361589822087,0.7799671592775042,1.0399562123700055,2.134646962233169
main,openpilot small + cmd,straight,4027,0.8315534762687153,1.269796531445676,0.08829291173467979,0.2814336561542919,0.6953066799106035
main,openpilot small + cmd,turn,609,1.1808218556205239,1.8179126172243965,0.34665207079000177,0.875752599890531,1.9704433497536946
main,openpilot Cinque + cmd,straight,4027,0.9352428852974448,1.4930443646022262,0.06415031868222829,0.24004635377866076,0.6456419170598461
main,openpilot Cinque + cmd,turn,609,1.1560374142319585,1.854195209697904,0.8711913884327678,1.860974274767378,3.61247947454844
main,openpilot Lebowski + cmd,straight,4027,1.0592595399077853,1.6556394782626198,0.09726016058273321,0.38076318185580665,0.8691333498882543
main,openpilot Lebowski + cmd,turn,609,1.3999216946424413,2.2199992864452045,0.7434774676153987,1.3683634373289546,2.6272577996715927
valid,logged future,straight,4437,0.0,0.0,0.0,0.0,0.0
valid,logged future,turn,682,0.0,0.0,0.0,0.0,0.0
valid,cv,straight,4437,0.7494388491529576,1.2013731355846136,0.2660706683695189,0.9916610322289835,2.5467658327698897
valid,cv,turn,682,1.6187463699378681,2.6807244881774577,1.034538937764744,3.0791788856304985,6.3049853372434015
