segment,variant,horizon_s,n,long_abs_median_m,long_abs_p95_m,lateral_abs_median_m,lateral_abs_p95_m,lateral_signed_median_m
straight,correct,0.25,237,0.08816390708369497,0.22757793388502037,0.000170779648682685,0.0039943101594929606,-6.088394990074387e-05
straight,correct,0.5,237,0.20844142439720015,0.659229172436201,0.0006136053681227893,0.00898485182906982,-0.0003018336767555796
straight,correct,0.75,237,0.4104684682063768,1.2782074710091174,0.0009285919091805613,0.013828801815633682,-0.00040463342670688646
straight,correct,1.0,237,0.5667021705687565,2.0482726880483444,0.00124788592932344,0.045938055890117416,-0.0004427393845525464
straight,correct,1.25,232,0.6195768319317005,3.069737574537152,0.0020674994571372386,0.21880205046956655,-3.4178270600323775e-05
straight,correct,1.5,227,0.7611135346602546,4.082334433381291,0.0031898872961444295,0.4563785447266515,0.0005508185380282257
straight,correct,1.75,222,1.0039689680635169,5.388730741001631,0.0045413403902523726,0.8116715982304191,0.0018048459276212023
straight,correct,2.0,217,1.4485342397259744,6.782213153733305,0.00546384501721728,1.1317009649280139,0.002004986501712336
straight,no_y_flip,0.25,237,0.08816390708369685,0.227577933885017,0.00027654575292728915,0.00573259108319005,-6.534532908355856e-05
straight,no_y_flip,0.5,237,0.20844142439720045,0.6592291724362013,0.001242604782284711,0.012584919967899191,-0.00019061132178781968
straight,no_y_flip,0.75,237,0.41046846820637983,1.2782074710091194,0.0022321275703644384,0.022594773191783935,-0.0004101080815887099
straight,no_y_flip,1.0,237,0.5667021705687552,2.0482726880483404,0.00388649435381579,0.04992018684894893,2.398290887079685e-05
straight,no_y_flip,1.25,232,0.6195768319317023,3.0697375745371533,0.005965654585526872,0.27889605012938096,6.24210670999584e-05
straight,no_y_flip,1.5,227,0.761113534660256,4.082334433381291,0.00888640990299962,0.5184946158026995,-0.0002511300875163145
straight,no_y_flip,1.75,222,1.0039689680635207,5.388730741001632,0.012535774865186233,0.9008972665233124,-0.0015456222074460145
straight,no_y_flip,2.0,217,1.4485342397259784,6.782213153733305,0.01413096032967764,1.2082133171875495,-0.002530916526675026
straight,no_origin_shift,0.25,237,0.08816315879683259,0.2275779551930917,0.0007034824954201791,0.004999125113083002,-0.00017288057686875094
straight,no_origin_shift,0.5,237,0.20844137076632327,0.6592288645120044,0.0009093914099268742,0.008890207555177498,-0.0002575386876141934
straight,no_origin_shift,0.75,237,0.4143767550921067,1.2782066513399857,0.0012727256113732653,0.011226522262986403,-0.00033633271582187986
straight,no_origin_shift,1.0,237,0.5668131365004774,2.048272708665514,0.0018218939601852258,0.05712737373195579,-0.0004327536890484005
