level,route,seed,arm,start_tick,end_tick,n_ticks,duration_s,first_mps,mean8_mps,tfv6_target_mps,c_desired_mps,c_effective_mps,c_reason_top,c_stop_hold_pct,c_invalid_motion_pct,c_raw_brake_pct,c_final_brake_pct,c_raw_throttle,c_final_throttle,active_reason_top,active_stop_hold_pct,active_invalid_motion_pct,b_desired_mps,b_raw_throttle,b_final_throttle,b_final_brake,stop_sign_active_pct,creep_active_pct,postprocessor_changed_pct,stop_sign_changed_pct,creep_changed_pct,meaningful_reverse_pct,classification
1,2091,0,C,124,369,246,12.3,0.1576,2.3898,0.4512,0.1576,0.1576,tracking,35.8,2.4,38.2,38.2,0.1006,0.1006,tracking,35.8,2.4,1.5007,2.5238,2.5238,0.0,100.0,0.0,0.0,0.0,0.0,2.4,launch hold
1,2091,0,C,545,1653,1109,55.45,0.0168,0.0082,0.0,0.0168,0,stop_hold,75.9,3.2,79.1,78.7,0.0,0.0,stop_hold,75.9,3.2,0.0016,0.0,0.0,1.0,0.0,0.8,0.5,0.0,0.5,3.2,other
1,2091,0,C,1694,3999,2306,115.3,2.2321,3.5365,0.0,6.3182,6.3182,tracking,0.0,2.3,2.3,0.8,0.75,0.75,tracking,0.0,2.3,1.7047,2.7225,2.7225,0.0,0.0,52.3,1.4,0.0,1.4,2.3,other
1,2091,1,C,128,364,237,11.85,0.0726,2.0631,0.0,0.0726,0.0726,tracking,45.1,3.4,48.5,48.5,0.0314,0.0314,tracking,45.1,3.4,1.1377,2.2994,2.2994,0.0,100.0,0.0,0.0,0.0,0.0,3.4,launch hold
1,2091,2,C,173,798,626,31.3,0.1338,2.2344,0.0,0.1338,0.1338,tracking,37.1,3.5,40.6,40.6,0.081,0.081,tracking,37.1,3.5,1.1159,2.3446,2.3446,0.0,100.0,0.0,0.0,0.0,0.0,3.5,launch hold
1,2091,2,D,124,363,240,12.0,0.1201,2.3148,0.0,0.1201,0.1201,tracking,38.8,2.9,41.7,41.7,0.0638,0.0638,tracking,38.8,2.9,1.279,2.4587,2.4587,0.0,100.0,0.0,0.0,0.0,0.0,2.9,launch hold
1,2091,2,D,384,652,269,13.45,0.1377,1.9226,0.0,0.1377,0.1377,tracking,33.8,3.3,37.2,37.5,0.0901,0.0888,tracking,33.8,3.3,1.246,2.4958,2.4843,0.0,85.1,0.0,0.4,0.4,0.0,3.3,launch hold
1,2091,2,D,673,1782,1110,55.5,0.1222,1.9829,0.0,0.1222,0.1222,tracking,39.5,3.2,42.8,42.0,0.0683,0.0718,tracking,39.5,3.2,1.0988,2.3296,2.2128,0.0,20.2,0.9,5.4,4.5,0.9,3.2,launch hold
1,3255,0,C,187,250,64,3.2,0.1942,0.2856,0.0,0.1942,0.1942,tracking,0.0,14.1,46.9,46.9,0.0549,0.0549,tracking,0.0,14.1,0.0013,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,14.1,other
1,3255,0,D,201,263,63,3.15,0.0021,1.478,0.0,0.0021,0,stop_hold,69.8,1.6,71.4,71.4,0.0,0.0,stop_hold,69.8,1.6,0.0876,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.6,other
1,3255,0,D,453,613,161,8.05,0.0033,0.0013,0.0,0.0033,0,stop_hold,68.9,3.1,72.0,72.0,0.0,0.0,stop_hold,68.9,3.1,0.001,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.1,other
1,3255,1,C,185,251,67,3.35,0.148,0.2682,0.0,0.148,0.148,tracking,1.5,7.5,44.8,44.8,0.0533,0.0533,tracking,1.5,7.5,0.0014,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7.5,other
1,3255,1,D,184,258,75,3.75,0.0474,0.4948,0.0,0.0474,0,stop_hold,52.0,8.0,69.3,69.3,0.0,0.0,stop_hold,52.0,8.0,0.002,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,other
1,3255,1,D,486,628,143,7.15,0.7403,0.428,0.9531,6.7048,6.7048,tracking,0.0,0.0,0.0,0.0,0.75,0.75,tracking,0.0,0.0,0.2624,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,other
1,3255,1,D,724,1109,386,19.3,0.7938,1.9024,0.0,5.6084,5.6084,tracking,0.0,1.0,1.0,1.0,0.75,0.75,tracking,0.0,1.0,1.0269,2.6658,2.6658,0.0,0.0,0.0,0.0,0.0,0.0,1.0,other
1,3255,1,D,1169,2282,1114,55.7,0.041,0.1092,0.0,0.041,0.0,stop_hold,64.0,3.6,67.6,66.4,0.0,0.0,stop_hold,64.0,3.6,0.0094,0.0,0.0,1.0,0.0,1.3,1.3,0.0,1.3,3.6,other
1,3255,2,D,181,263,83,4.15,0.0586,0.4809,0.0,0.0586,0.0586,tracking,32.5,16.9,59.0,59.0,0.0,0.0,tracking,32.5,16.9,0.0018,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,16.9,other
1,3514,0,D,44,94,51,2.55,2.1459,0.9723,0.0,6.7238,6.7238,tracking,0.0,2.0,2.0,2.0,0.75,0.75,tracking,0.0,2.0,0.076,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,other
1,3514,1,C,43,93,51,2.55,2.0682,1.123,0.0,6.7963,6.7963,tracking,0.0,0.0,0.0,0.0,0.75,0.75,tracking,0.0,0.0,0.1436,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,other
1,3514,1,D,40,93,54,2.7,2.1218,0.8894,0.0,6.7454,6.7454,tracking,0.0,3.7,3.7,3.7,0.75,0.75,tracking,0.0,3.7,0.1015,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.7,other
1,3514,2,C,43,92,50,2.5,2.1999,0.9245,0.0,6.7311,6.7311,tracking,0.0,0.0,0.0,0.0,0.75,0.75,tracking,0.0,0.0,0.1072,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,other
1,3514,2,D,39,93,55,2.75,2.2791,1.1901,0.0,6.6576,6.6576,tracking,0.0,1.8,1.8,1.8,0.75,0.75,tracking,0.0,1.8,0.2883,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.8,other
1,25424,0,D,344,694,351,17.55,0.5592,4.6654,8.75,3.5349,3.5349,tracking,0.0,2.0,2.0,2.0,0.75,0.75,tracking,0.0,2.0,3.0064,2.7225,2.7225,0.0,0.0,0.0,0.0,0.0,0.0,2.0,other
1,25424,0,D,805,885,81,4.05,0.3198,4.3231,9.5625,1.3357,1.3357,tracking,0.0,18.5,18.5,18.5,0.4997,0.4997,tracking,0.0,18.5,2.4911,2.7225,2.7225,0.0,0.0,0.0,0.0,0.0,0.0,18.5,other
1,25424,0,D,1175,1214,40,2.0,2.7217,3.8295,7.9375,6.016,6.016,tracking,0.0,7.5,7.5,7.5,0.75,0.75,tracking,0.0,7.5,1.854,2.7225,2.7225,0.0,0.0,0.0,0.0,0.0,0.0,7.5,other
1,25424,0,D,1280,1335,56,2.8,2.636,3.3991,5.5312,6.1817,6.1817,tracking,0.0,1.8,1.8,1.8,0.75,0.75,tracking,0.0,1.8,1.3887,2.6319,2.6319,0.0,0.0,0.0,0.0,0.0,0.0,1.8,other
1,25424,0,D,1337,1396,60,3.0,2.5482,3.3122,5.8125,6.2188,6.2188,tracking,0.0,0.0,0.0,0.0,0.75,0.75,tracking,0.0,0.0,1.5434,2.6984,2.6984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,other
1,25424,0,D,1767,1828,62,3.1,1.0715,2.6589,0.0,7.0643,7.0643,tracking,0.0,48.4,48.4,48.4,0.75,0.75,tracking,0.0,48.4,0.9736,2.508,2.508,0.0,0.0,0.0,0.0,0.0,0.0,48.4,real reverse / invalid_motion
1,25424,0,D,1914,1971,58,2.9,0.9244,1.764,0.0,7.2328,7.2328,tracking,0.0,48.3,48.3,48.3,0.75,0.75,tracking,0.0,48.3,0.3855,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,48.3,real reverse / invalid_motion
1,25424,1,D,403,482,80,4.0,2.6205,1.1999,0.0,6.1138,6.1138,tracking,0.0,48.8,48.8,48.8,0.75,0.75,tracking,0.0,48.8,0.0341,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,48.8,real reverse / invalid_motion
1,25424,1,D,517,1643,1127,56.35,2.59,2.0981,0.0,6.1257,6.1257,tracking,0.0,2.5,2.5,2.2,0.75,0.75,tracking,0.0,2.5,0.2159,0.0,0.0,1.0,0.0,14.1,0.3,0.0,0.3,2.5,other
1,25424,1,D,1721,1774,54,2.7,2.6436,3.5431,8.2812,6.0177,6.0177,tracking,0.0,31.5,31.5,31.5,0.75,0.75,tracking,0.0,31.5,1.4051,2.6382,2.6382,0.0,0.0,0.0,0.0,0.0,0.0,31.5,real reverse / invalid_motion
1,27494,0,C,215,373,159,7.95,3.689,5.1172,1.4375,5.6706,5.6706,tracking,0.0,1.3,1.3,1.3,0.75,0.75,tracking,0.0,1.3,3.7006,2.7225,2.7225,0.0,100.0,0.0,0.0,0.0,0.0,1.3,other
1,27494,0,D,210,381,172,8.6,0.0314,0.9586,0.0,0.0314,0.0,stop_hold,69.8,4.7,74.4,74.4,0.0,0.0,stop_hold,69.8,4.7,0.0042,0.0,0.0,1.0,100.0,0.0,0.0,0.0,0.0,4.7,other
1,27494,1,C,192,545,354,17.7,0.0032,0.2583,0.0,0.0032,0.0,stop_hold,51.4,15.0,66.4,66.4,0.0,0.0,stop_hold,51.4,15.0,0.0019,0.0,0.0,1.0,100.0,0.0,0.0,0.0,0.0,15.0,other
1,27494,1,D,223,380,158,7.9,0.0558,1.1497,0.0,0.0558,0.0558,tracking,39.2,6.3,45.6,45.6,0.0262,0.0262,tracking,39.2,6.3,0.0072,0.0,0.0,1.0,100.0,0.0,0.0,0.0,0.0,6.3,other
1,27494,2,C,193,382,190,9.5,0.0506,0.1322,0.0,0.0506,0.0506,stop_hold,47.9,10.5,58.4,58.4,0.0,0.0,stop_hold,47.9,10.5,0.0009,0.0,0.0,1.0,100.0,0.0,0.0,0.0,0.0,10.5,other
1,27494,2,D,270,372,103,5.15,1.7453,3.5218,0.0,6.1562,6.1562,tracking,0.0,20.4,20.4,20.4,0.75,0.75,tracking,0.0,20.4,1.5971,2.6525,2.6525,0.0,100.0,0.0,0.0,0.0,0.0,20.4,other
2,2084,0,D,176,230,55,2.75,0.0436,1.0888,0.0,0.0436,0,stop_hold,52.7,0.0,52.7,52.7,0.0,0.0,stop_hold,52.7,0.0,0.0522,0.0,0.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,other
2,2084,0,D,269,319,51,2.55,0.187,0.7299,0.5469,0.187,0.187,tracking,31.4,3.9,35.3,35.3,0.0805,0.0805,tracking,31.4,3.9,0.7668,1.9058,1.9058,0.0,0.0,0.0,0.0,0.0,0.0,3.9,launch hold
2,2084,1,C,177,228,52,2.6,0.0338,1.1814,0.0,0.0338,0.0,stop_hold,59.6,1.9,61.5,61.5,0.0,0.0,stop_hold,59.6,1.9,0.0491,0.0,0.0,1.0,100.0,0.0,0.0,0.0,0.0,1.9,other
2,2084,1,C,251,308,58,2.9,0.1926,0.5819,0.4092,0.1926,0.1926,tracking,6.9,0.0,6.9,8.6,0.1427,0.1404,tracking,6.9,0.0,0.9607,1.9452,1.9117,0.0,1.7,0.0,1.7,1.7,0.0,0.0,other
2,2084,1,C,437,487,51,2.55,0.0191,0.0183,0.0,0.0191,0,stop_hold,60.8,7.8,68.6,68.6,0.0,0.0,stop_hold,60.8,7.8,0.0033,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7.8,other
2,2084,1,C,492,558,67,3.35,0.0173,0.0068,0.0,0.0173,0,stop_hold,68.7,6.0,74.6,74.6,0.0,0.0,stop_hold,68.7,6.0,0.0025,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,other
2,2084,1,C,651,725,75,3.75,0.0175,0.0062,0.0,0.0175,0,stop_hold,58.7,9.3,68.0,68.0,0.0,0.0,stop_hold,58.7,9.3,0.0026,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,9.3,other
2,2084,1,C,747,841,95,4.75,0.0079,0.0038,0.0,0.0079,0,stop_hold,76.8,4.2,81.1,81.1,0.0,0.0,stop_hold,76.8,4.2,0.0032,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.2,other
2,2084,1,C,846,1238,393,19.65,0.0208,0.0066,0.0,0.0208,0,stop_hold,60.3,10.4,70.7,70.7,0.0,0.0,stop_hold,60.3,10.4,0.0037,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,10.4,other
2,2084,1,C,1240,1534,295,14.75,0.0156,0.0059,0.0,0.0156,0,stop_hold,73.9,5.4,79.3,76.6,0.0,0.0,stop_hold,73.9,5.4,0.004,0.0,0.0,1.0,0.0,5.4,5.1,0.0,5.1,5.4,other
2,2084,1,C,1560,2674,1115,55.75,0.0138,0.007,0.0,0.0138,0,stop_hold,78.8,2.1,80.9,78.9,0.0,0.0,stop_hold,78.8,2.1,0.0052,0.0,0.0,1.0,0.0,3.2,3.2,0.0,3.2,2.1,other
