scope,tap,vs,n_frames,routes,auc,auc_lo,auc_hi,auc_vs,delta,lo,hi
pedestrian,op-cinque vision,op-cinque temporal,1999,20,0.5150474186568021,0.5032306327091578,0.5349938796015885,0.5065344077741722,0.008513010882629901,-0.0026420243096698676,0.017018887975419814
pedestrian,op-cinque vision,L18_last,1999,20,0.5150474186568021,0.5032306327091578,0.5349938796015885,0.6202908858130916,-0.1052434671562894,-0.1848497287214748,-0.016422049882987427
pedestrian,op-cinque hidden,op-cinque temporal,1999,20,0.5188030483475855,0.5042738719249225,0.5404485118491669,0.5065344077741722,0.012268640573413259,-0.009785702766431915,0.025822882035398034
pedestrian,op-cinque hidden,L18_last,1999,20,0.5188030483475855,0.5042738719249225,0.5404485118491669,0.6202908858130916,-0.10148783746550605,-0.1861477937622227,-0.014269499685595176
pedestrian,op-lebowski vision,op-lebowski temporal,1999,20,0.5188579782637692,0.4951277196113635,0.5521821731200797,0.5165615574170277,0.0022964208467415315,-0.024949565866978638,0.05117358477678715
pedestrian,op-lebowski vision,L18_last,1999,20,0.5188579782637692,0.4951277196113635,0.5521821731200797,0.6202908858130916,-0.10143290754932233,-0.16421096155416615,-0.027860664762691598
pedestrian,op-lebowski hidden,op-lebowski temporal,1999,20,0.5192927879647677,0.49524926141822345,0.5514570769045736,0.5165615574170277,0.002731230547740049,-0.022658465755704175,0.040833305949034136
pedestrian,op-lebowski hidden,L18_last,1999,20,0.5192927879647677,0.49524926141822345,0.5514570769045736,0.6202908858130916,-0.10099809784832381,-0.16248732143330621,-0.02874893924965992
pedestrian,op-cinque temporal,L18_last,1999,20,0.5065344077741722,0.4947221310560381,0.5359836801783184,0.6202908858130916,-0.1137564780389193,-0.19060148223893555,-0.026990215611450437
pedestrian,op-lebowski temporal,L18_last,1999,20,0.5165615574170277,0.4986255230568527,0.53500843263283,0.6202908858130916,-0.10372932839606386,-0.1906248976994662,-0.019031346194378518
hazard pooled,op-cinque vision,op-cinque temporal,3744,37,0.5440996192198115,0.5241852360037703,0.5771237851942621,0.5395931924127035,0.004506426807107999,-0.01993771828204811,0.021317715501086607
hazard pooled,op-cinque vision,L18_last,3744,37,0.5440996192198115,0.5241852360037703,0.5771237851942621,0.635188095825115,-0.0910884766053035,-0.13934845095558232,-0.038729232850876504
hazard pooled,op-cinque hidden,op-cinque temporal,3744,37,0.5477786894929323,0.5277498882842436,0.5791724965136351,0.5395931924127035,0.008185497080228754,-0.015988208660972687,0.026207923286074068
hazard pooled,op-cinque hidden,L18_last,3744,37,0.5477786894929323,0.5277498882842436,0.5791724965136351,0.635188095825115,-0.08740940633218275,-0.13454206575190364,-0.0341405476652202
hazard pooled,op-lebowski vision,op-lebowski temporal,3744,37,0.5456779279896267,0.5235198334090418,0.5776814501441481,0.5433953228299182,0.002282605159708462,-0.011612954998286597,0.024978473816608726
hazard pooled,op-lebowski vision,L18_last,3744,37,0.5456779279896267,0.5235198334090418,0.5776814501441481,0.635188095825115,-0.08951016783548837,-0.1353575453922446,-0.04279666951557267
hazard pooled,op-lebowski hidden,op-lebowski temporal,3744,37,0.5518742380971948,0.5232505058975786,0.5919966412700972,0.5433953228299182,0.008478915267276621,-0.011067124548470138,0.034277854705783935
hazard pooled,op-lebowski hidden,L18_last,3744,37,0.5518742380971948,0.5232505058975786,0.5919966412700972,0.635188095825115,-0.08331385772792022,-0.13195868465295355,-0.03996526462436784
hazard pooled,op-cinque temporal,L18_last,3744,37,0.5395931924127035,0.5166122773915142,0.5786627921013247,0.635188095825115,-0.0955949034124115,-0.14309172976065535,-0.04204988260840382
hazard pooled,op-lebowski temporal,L18_last,3744,37,0.5433953228299182,0.5228487418031608,0.5748099835616965,0.635188095825115,-0.09179277299519684,-0.13766665427973696,-0.04204335329883814
DynamicObjectCrossing,op-cinque vision,op-cinque temporal,179,5,0.5146218907025373,0.49048751486325803,0.5708935950413223,0.5014512655659935,0.013170625136543768,-0.012716049382716088,0.04702216461467031
DynamicObjectCrossing,op-cinque vision,L18_last,179,5,0.5146218907025373,0.49048751486325803,0.5708935950413223,0.6240129833650635,-0.10939109266252622,-0.18664509386521058,-0.0717085208303091
DynamicObjectCrossing,op-cinque hidden,op-cinque temporal,179,5,0.5642146000436941,0.545978746528197,0.6349431818181819,0.5014512655659935,0.06276333447770055,0.036602686522273574,0.10217370487407829
DynamicObjectCrossing,op-cinque hidden,L18_last,179,5,0.5642146000436941,0.545978746528197,0.6349431818181819,0.6240129833650635,-0.05979838332136944,-0.1582102385612161,-0.015104000000000006
DynamicObjectCrossing,op-lebowski vision,op-lebowski temporal,179,5,0.5375612496488873,0.490036747580353,0.6246531906460563,0.517680471895384,0.019880777753503276,-0.0465448477871792,0.07226846346941473
DynamicObjectCrossing,op-lebowski vision,L18_last,179,5,0.5375612496488873,0.490036747580353,0.6246531906460563,0.6240129833650635,-0.0864517337161762,-0.1619511090991399,-0.031785714285714306
DynamicObjectCrossing,op-lebowski hidden,op-lebowski temporal,179,5,0.5322555475796635,0.5081288838390214,0.643910911346318,0.517680471895384,0.014575075684279515,-0.015034295271812359,0.10937917409637384
DynamicObjectCrossing,op-lebowski hidden,L18_last,179,5,0.5322555475796635,0.5081288838390214,0.643910911346318,0.6240129833650635,-0.09175743578539997,-0.15260284100961932,-0.049816335480776075
DynamicObjectCrossing,op-cinque temporal,L18_last,179,5,0.5014512655659935,0.48584075247723957,0.5365779002142639,0.6240129833650635,-0.12256171779906999,-0.19827976459936625,-0.10030483379300337
DynamicObjectCrossing,op-lebowski temporal,L18_last,179,5,0.517680471895384,0.5070880195263034,0.5491675469040793,0.6240129833650635,-0.10633251146967948,-0.19541298906660978,-0.08585465381620994
HighwayCutIn,op-cinque vision,op-cinque temporal,690,5,0.7114513757613946,0.6343502276943835,0.801941421561909,0.7668241965973535,-0.05537282083595885,-0.14196375864395339,0.02436984546056542
HighwayCutIn,op-cinque vision,L18_last,690,5,0.7114513757613946,0.6343502276943835,0.801941421561909,0.8368536021844151,-0.12540222642302046,-0.24201215667203932,-0.017484921351897165
HighwayCutIn,op-cinque hidden,op-cinque temporal,690,5,0.689831968073934,0.6101048875432525,0.7835663215934168,0.7668241965973535,-0.07699222852341947,-0.1525552369708213,-0.005959238101249875
HighwayCutIn,op-cinque hidden,L18_last,690,5,0.689831968073934,0.6101048875432525,0.7835663215934168,0.8368536021844151,-0.14702163411048108,-0.29024265809720395,-0.04012583559720406
HighwayCutIn,op-lebowski vision,op-lebowski temporal,690,5,0.7102793530770846,0.6345970884541698,0.7828662573562697,0.760562906952321,-0.05028355387523642,-0.08403276466525045,-0.010168888888888894
HighwayCutIn,op-lebowski vision,L18_last,690,5,0.7102793530770846,0.6345970884541698,0.7828662573562697,0.8368536021844151,-0.1265742491073305,-0.25231007832762053,-0.04611687388053723
HighwayCutIn,op-lebowski hidden,op-lebowski temporal,690,5,0.7357120352867045,0.6192942876584802,0.8346796875,0.760562906952321,-0.024850871665616503,-0.08385983093808147,0.028462886791871693
HighwayCutIn,op-lebowski hidden,L18_last,690,5,0.7357120352867045,0.6192942876584802,0.8346796875,0.8368536021844151,-0.10114156689771059,-0.24892252676210558,0.013039321838765439
HighwayCutIn,op-cinque temporal,L18_last,690,5,0.7668241965973535,0.6855863804202202,0.814746861609638,0.8368536021844151,-0.07002940558706161,-0.20460362846333446,-0.0027232286747150922
HighwayCutIn,op-lebowski temporal,L18_last,690,5,0.760562906952321,0.6963348182844082,0.8121267521797999,0.8368536021844151,-0.07629069523209409,-0.1872778491018472,-0.003303248076052645
OppositeVehicleRunningRedLight,op-cinque vision,op-cinque temporal,31,2,0.5078043704474506,0.49279999999999996,0.8333333333333333,0.5400624349635795,-0.03225806451612889,-0.09120000000000011,0.49999999999999994
OppositeVehicleRunningRedLight,op-cinque vision,L18_last,31,2,0.5078043704474506,0.49279999999999996,0.8333333333333333,0.5036420395421436,0.004162330905307043,0.0,0.006399999999999961
OppositeVehicleRunningRedLight,op-cinque hidden,op-cinque temporal,31,2,0.5525494276795005,0.5525494276795005,0.6666666666666667,0.5400624349635795,0.01248699271592102,-0.012800000000000145,0.3333333333333334
OppositeVehicleRunningRedLight,op-cinque hidden,L18_last,31,2,0.5525494276795005,0.5525494276795005,0.6666666666666667,0.5036420395421436,0.048907388137356955,-0.16666666666666652,0.08479999999999993
OppositeVehicleRunningRedLight,op-lebowski vision,op-lebowski temporal,31,2,0.6389177939646202,0.6288,0.8333333333333333,0.6170655567117587,0.02185223725286156,-0.014399999999999968,0.02185223725286156
OppositeVehicleRunningRedLight,op-lebowski vision,L18_last,31,2,0.6389177939646202,0.6288,0.8333333333333333,0.5036420395421436,0.13527575442247664,0.0,0.14240000000000003
OppositeVehicleRunningRedLight,op-lebowski hidden,op-lebowski temporal,31,2,0.7232049947970864,0.6352,1.0,0.6170655567117587,0.10613943808532778,-0.008000000000000007,0.16666666666666663
OppositeVehicleRunningRedLight,op-lebowski hidden,L18_last,31,2,0.7232049947970864,0.6352,1.0,0.5036420395421436,0.21956295525494285,0.1488,0.21956295525494285
