tap,vs,n_frames,routes,auc,auc_vs,delta,lo,hi
L18_mean,L18_last,3744,37,0.6354062868110344,0.635188095825115,0.00021819098591935315,-0.040749753283667596,0.04633256819366531
op-cinque temporal,L18_last,3744,37,0.5395931924127035,0.635188095825115,-0.0955949034124115,-0.14309172976065535,-0.04204988260840382
op-cinque vision,L18_last,3744,37,0.5440996192198115,0.635188095825115,-0.0910884766053035,-0.13934845095558232,-0.038729232850876504
op-cinque hidden,L18_last,3744,37,0.5477786894929323,0.635188095825115,-0.08740940633218275,-0.13454206575190364,-0.0341405476652202
op-lebowski temporal,L18_last,3744,37,0.5433953228299182,0.635188095825115,-0.09179277299519684,-0.13766665427973696,-0.04204335329883814
op-lebowski vision,L18_last,3744,37,0.5456779279896267,0.635188095825115,-0.08951016783548837,-0.1353575453922446,-0.04279666951557267
op-lebowski hidden,L18_last,3744,37,0.5518742380971948,0.635188095825115,-0.08331385772792022,-0.13195868465295355,-0.03996526462436784
