direction,arm,group,n,gate_mean,gate_open
0,e gated pooled-mlp,all,10327,0.591647744178772,0.6100513217778638
0,e gated pooled-mlp,pre_onset,791,0.647089958190918,0.6700379266750948
0,e gated pooled-mlp,straight_yaw,6051,0.6005715727806091,0.6235333002809453
0,e gated pooled-mlp,turn_yaw,2370,0.5412172079086304,0.5409282700421941
0,e gated pooled-mlp,s_ego decile 1,1033,0.5142507553100586,0.5169409486931268
0,e gated pooled-mlp,s_ego decile 2,1033,0.5224362015724182,0.5304937076476283
0,e gated pooled-mlp,s_ego decile 3,1032,0.5485698580741882,0.5658914728682171
0,e gated pooled-mlp,s_ego decile 4,1033,0.5636215806007385,0.5847047434656341
0,e gated pooled-mlp,s_ego decile 5,1032,0.5794166922569275,0.5978682170542635
0,e gated pooled-mlp,s_ego decile 6,1033,0.5783378481864929,0.5982575024201355
0,e gated pooled-mlp,s_ego decile 7,1033,0.618475615978241,0.6369796708615683
0,e gated pooled-mlp,s_ego decile 8,1032,0.6380231380462646,0.6647286821705426
0,e gated pooled-mlp,s_ego decile 9,1033,0.6664353609085083,0.6931268151016456
0,e gated pooled-mlp,s_ego decile 10,1033,0.6869019269943237,0.7115198451113263
0,e gated attn grid,all,10327,0.5382567048072815,0.5549530357315774
0,e gated attn grid,pre_onset,791,0.5168916583061218,0.5246523388116309
0,e gated attn grid,straight_yaw,6051,0.6013547778129578,0.6364237316146092
0,e gated attn grid,turn_yaw,2370,0.40849295258522034,0.3978902953586498
0,e gated attn grid,s_ego decile 1,1033,0.5706650018692017,0.5924491771539206
0,e gated attn grid,s_ego decile 2,1033,0.5482114553451538,0.5614714424007744
0,e gated attn grid,s_ego decile 3,1032,0.5318409204483032,0.5358527131782945
0,e gated attn grid,s_ego decile 4,1033,0.5481390953063965,0.5701839303000968
0,e gated attn grid,s_ego decile 5,1032,0.5410072803497314,0.5571705426356589
0,e gated attn grid,s_ego decile 6,1033,0.5302017331123352,0.542110358180058
0,e gated attn grid,s_ego decile 7,1033,0.5326765775680542,0.5430784123910939
0,e gated attn grid,s_ego decile 8,1032,0.5182967185974121,0.5281007751937985
0,e gated attn grid,s_ego decile 9,1033,0.5155594944953918,0.5382381413359149
0,e gated attn grid,s_ego decile 10,1033,0.5459461808204651,0.5808325266214908
1,e gated pooled-mlp,all,9910,0.707280158996582,0.7671039354187689
1,e gated pooled-mlp,pre_onset,719,0.7465622425079346,0.8497913769123783
1,e gated pooled-mlp,straight_yaw,5924,0.7188887000083923,0.7883187035786631
1,e gated pooled-mlp,turn_yaw,2091,0.6313483715057373,0.6527977044476327
1,e gated pooled-mlp,s_ego decile 1,991,0.6923555731773376,0.7426841574167508
1,e gated pooled-mlp,s_ego decile 2,991,0.6764353513717651,0.7194752774974773
1,e gated pooled-mlp,s_ego decile 3,991,0.6607153415679932,0.715438950554995
1,e gated pooled-mlp,s_ego decile 4,991,0.6606636643409729,0.7103935418768921
1,e gated pooled-mlp,s_ego decile 5,991,0.7108670473098755,0.7739656912209889
1,e gated pooled-mlp,s_ego decile 6,991,0.702570915222168,0.7719475277497477
1,e gated pooled-mlp,s_ego decile 7,991,0.7119702100753784,0.7880928355196771
1,e gated pooled-mlp,s_ego decile 8,991,0.739884078502655,0.8072653884964682
1,e gated pooled-mlp,s_ego decile 9,991,0.7552852630615234,0.8123107971745711
1,e gated pooled-mlp,s_ego decile 10,991,0.7620545625686646,0.829465186680121
1,e gated attn grid,all,9910,0.5575733184814453,0.584460141271443
1,e gated attn grid,pre_onset,719,0.5375553965568542,0.5744089012517385
1,e gated attn grid,straight_yaw,5924,0.5792531371116638,0.6093855503038488
1,e gated attn grid,turn_yaw,2091,0.5126027464866638,0.5265423242467718
1,e gated attn grid,s_ego decile 1,991,0.5154162645339966,0.5287588294651867
1,e gated attn grid,s_ego decile 2,991,0.5172467827796936,0.5388496468213926
1,e gated attn grid,s_ego decile 3,991,0.5056002140045166,0.513622603430878
1,e gated attn grid,s_ego decile 4,991,0.518591582775116,0.5307769929364279
1,e gated attn grid,s_ego decile 5,991,0.5681992769241333,0.6104944500504541
1,e gated attn grid,s_ego decile 6,991,0.5712233185768127,0.6115035317860746
1,e gated attn grid,s_ego decile 7,991,0.5849670171737671,0.615539858728557
1,e gated attn grid,s_ego decile 8,991,0.5930889248847961,0.6145307769929365
1,e gated attn grid,s_ego decile 9,991,0.582263171672821,0.6175580221997982
1,e gated attn grid,s_ego decile 10,991,0.6191368103027344,0.6629667003027245
