direction,arm,subset,n,ade_base,ade_arm,dade,lo,hi,halfwidth,meets_threshold
0,A ridge_late pooled,all,52919,1.8827033,1.8050987,-0.07760457,-0.10056063229413563,-0.05809299389941113,0.02123381919736225,True
0,A ridge_late pooled,pre_onset,791,2.6355965,2.6081972,-0.02739909,-0.07249558150836664,0.016992864812101688,0.044744223160234166,False
0,A ridge_late pooled,straight_yaw,23612,1.789302,1.6639351,-0.12536708,-0.16167832082602643,-0.09068752411089863,0.0354953983575639,True
0,A ridge_late pooled,turn_yaw,5881,2.529912,2.4984813,-0.031430915,-0.054441277963434294,-0.007049426975514498,0.023695925493959897,False
1,A ridge_late pooled,all,53441,1.8543527,1.8201015,-0.0342512,-0.0562705698506864,-0.012273306510997839,0.021998631669844282,False
1,A ridge_late pooled,pre_onset,719,2.293307,2.2506177,-0.042689443,-0.09009667528392394,0.006181090146703282,0.04813888271531361,False
1,A ridge_late pooled,straight_yaw,22968,1.8308797,1.7593867,-0.07149283,-0.11166220181061334,-0.032693285617539,0.03948445809653717,True
1,A ridge_late pooled,turn_yaw,5179,2.3943748,2.3489738,-0.04540126,-0.0803444031752764,-0.011363071313869584,0.03449066593070341,False
