arm,direction,ade_all,n_all,ade_pre_onset,n_pre_onset,ade_straight_yaw,n_straight_yaw,ade_turn_yaw,n_turn_yaw,rfs,n_rater,rfs_cluster,rfs_lo,rfs_hi,floored
ridge ego,0,1.9927243,10021,2.343222,752,1.7701397,5855,2.4370255,2315,7.145281349554802,237,7.111902475240223,6.826581107969512,7.448367899878639,0.25316455696202533
A ridge_late pooled,0,1.9364136,10021,2.3281267,752,1.6896251,5855,2.4120545,2315,7.146564779888192,237,7.070401165487041,6.838348337489453,7.434200813537066,0.270042194092827
b temporal (subset),0,1.9322846,10021,2.3222017,752,1.6862473,5855,2.4045234,2315,7.1233492335857544,237,7.046612415102419,6.813793384951304,7.4121599028616965,0.2742616033755274
c-mlp pooled (compute-matched),0,2.018294,10021,2.434891,752,1.7562393,5855,2.494171,2315,6.7148702089546175,237,6.702656529446142,6.399940695331879,7.005305878709584,0.3459915611814346
c-attn grid,0,1.966205,10021,2.3772998,752,1.7064215,5855,2.4534223,2315,7.008291403943251,237,6.967719250867427,6.690994059310516,7.2910330653169035,0.2869198312236287
c-tf grid + ego token,0,2.0100677,10021,2.382447,752,1.7565339,5855,2.5119646,2315,6.754552989616179,237,6.759723541524825,6.449517234069311,7.060521627937734,0.2911392405063291
d temporal + attn grid,0,2.017158,10021,2.3805122,752,1.7658445,5855,2.4895632,2315,6.769044296538557,237,6.698462141428214,6.473828471849959,7.032488310670177,0.31223628691983124
ridge ego,1,1.9891535,9642,2.0492735,706,1.8540347,5742,2.2858224,2041,7.064132943796804,241,7.087001185486033,6.760577157170188,7.370255490899817,0.25311203319502074
A ridge_late pooled,1,1.942585,9642,2.005063,706,1.7805483,5742,2.275152,2041,7.024013539795437,241,7.0300096113788815,6.729284301961904,7.341090476811633,0.2697095435684647
b temporal (subset),1,1.9390354,9642,1.9891881,706,1.7787927,5742,2.2722824,2041,7.002982723701051,241,7.003760280921552,6.703359253108476,7.3156629407583145,0.27385892116182575
c-mlp pooled (compute-matched),1,2.0719163,9642,2.078921,706,1.9138353,5742,2.401804,2041,6.7545628965677915,241,6.742449828807426,6.484454435849858,7.061759881215103,0.2863070539419087
c-attn grid,1,2.0000973,9642,2.0230603,706,1.8327074,5742,2.3253028,2041,6.9435514076695934,241,6.948921218004429,6.649753634996171,7.251742426792353,0.2821576763485477
c-tf grid + ego token,1,2.072468,9642,2.3344312,706,1.926616,5742,2.39426,2041,6.712550670152574,241,6.780764092235937,6.423651543743624,7.0273236651927835,0.3029045643153527
d temporal + attn grid,1,2.0417132,9642,2.0741713,706,1.8860488,5742,2.362712,2041,6.626355230267377,241,6.628491233302157,6.344061416337673,6.922882553687771,0.2821576763485477
