direction,arm,n_hi,n_lo,dade_pre_onset,dade_straight,did,did_lo,did_hi,halfwidth
0,A ridge_late pooled,752,5855,-0.015095296,-0.0805147,0.06541940569877625,0.021792053627305467,0.11552410509880702,0.04686602573575078
0,b temporal (subset),752,5855,-0.021020053,-0.08389237,0.06287231296300888,0.013892924668682069,0.11417120770442961,0.05013914151787377
0,c-mlp pooled (compute-matched),752,5855,0.09166933,-0.013900544,0.10556986927986145,0.02132780665183643,0.2064159030323101,0.09254404819023684
0,c-attn grid,752,5855,0.034077946,-0.06371846,0.09779641032218933,0.019289476318473494,0.18748372696912163,0.08409712532532407
0,c-tf grid + ego token,752,5855,0.03922543,-0.013606017,0.05283144861459732,-0.09158373858842662,0.18875279025544284,0.14016826442193472
0,d temporal + attn grid,752,5855,0.037290588,-0.0042951633,0.04158575087785721,-0.055138085824198615,0.13901881039307437,0.0970784481086365
1,A ridge_late pooled,706,5742,-0.044210684,-0.07348614,0.029275458306074142,-0.03915883159017072,0.09721870829421517,0.06818876994219294
1,b temporal (subset),706,5742,-0.06008548,-0.07524172,0.015156242996454239,-0.05535472541961237,0.08598654673259302,0.0706706360761027
1,c-mlp pooled (compute-matched),706,5742,0.02964746,0.05980075,-0.030153291299939156,-0.1358223702443254,0.0776702334655638,0.1067463018549446
1,c-attn grid,706,5742,-0.026213197,-0.021327158,-0.004886038601398468,-0.10409817843357043,0.09393753635567177,0.0990178573946211
1,c-tf grid + ego token,706,5742,0.2851576,0.07258136,0.2125762403011322,-0.01732697036003484,0.4360251708613658,0.2266760706107003
1,d temporal + attn grid,706,5742,0.02489781,0.032014176,-0.0071163661777973175,-0.11774927716381604,0.10519347219825374,0.1114713746810349
