fold,single,tau_other_folds,flip_pooled_other_folds,flip_ped_other_folds,chosen_pooled,chosen_ped
0,op-cinque temporal,1.2081001281738282,0.004379562043795621,0.006872852233676976,op-lebowski temporal,op-cinque temporal
0,op-lebowski temporal,1.386292016506195,0.01167883211678832,0.003436426116838488,op-lebowski temporal,op-cinque temporal
0,qwenvid L18_last,0.3584345579147339,0.0,0.0,op-lebowski temporal,op-cinque temporal
0,qwenvid L18_mean,0.38022317886352514,0.008759124087591242,0.0,op-lebowski temporal,op-cinque temporal
1,op-cinque temporal,1.3154287338256836,0.0049504950495049506,0.007462686567164179,op-lebowski temporal,op-cinque temporal
1,op-lebowski temporal,1.2604379653930664,0.036303630363036306,0.0,op-lebowski temporal,op-cinque temporal
1,qwenvid L18_last,0.503084659576416,0.0,0.0,op-lebowski temporal,op-cinque temporal
1,qwenvid L18_mean,0.3944215774536133,0.00825082508250825,0.0,op-lebowski temporal,op-cinque temporal
2,op-cinque temporal,1.3964738845825193,0.00482315112540193,0.008658008658008658,op-lebowski temporal,op-cinque temporal
2,op-lebowski temporal,1.4805702686309807,0.028938906752411574,0.0,op-lebowski temporal,op-cinque temporal
2,qwenvid L18_last,0.44030811786651597,0.0,0.0,op-lebowski temporal,op-cinque temporal
2,qwenvid L18_mean,0.39393310546875,0.008038585209003215,0.0,op-lebowski temporal,op-cinque temporal
3,op-cinque temporal,1.3400940895080558,0.006568144499178982,0.007326007326007326,op-lebowski temporal,op-cinque temporal
3,op-lebowski temporal,1.4241373538970947,0.021346469622331693,0.0,op-lebowski temporal,op-cinque temporal
3,qwenvid L18_last,0.50941287279129,0.0,0.0,op-lebowski temporal,op-cinque temporal
3,qwenvid L18_mean,0.40008463859558074,0.0,0.0,op-lebowski temporal,op-cinque temporal
4,op-cinque temporal,1.3462452828884126,0.001639344262295082,0.0,op-lebowski temporal,op-lebowski temporal
4,op-lebowski temporal,1.4189612150192261,0.03114754098360656,0.0,op-lebowski temporal,op-lebowski temporal
4,qwenvid L18_last,0.5033921241760254,0.0,0.0,op-lebowski temporal,op-lebowski temporal
4,qwenvid L18_mean,0.42769569754600534,0.001639344262295082,0.0,op-lebowski temporal,op-lebowski temporal
