arm,seed,route,attempts,finished,status,DS,RC,success,collisions,scenario,family,group
cl1,0,24224,1,True,Completed,100.0,100.0,True,0.0,DynamicObjectCrossing,vru_emerging,sudden
cl1,0,24240,1,True,Completed,60.0,100.0,False,1.0,Accident,obstacle_bypass,obstacle
cl1,0,24252,1,True,Completed,100.0,100.0,True,0.0,DynamicObjectCrossing,vru_emerging,sudden
cl1,0,24258,1,True,Completed,100.0,100.0,True,0.0,HazardAtSideLaneTwoWays,obstacle_bypass,obstacle
cl1,0,24294,1,True,Completed,100.0,100.0,True,0.0,ParkingCrossingPedestrian,vru_emerging,sudden
cl1,0,24330,1,True,Completed,100.0,100.0,True,0.0,HardBreakRoute,lead_hard_brake,sudden
cl1,0,24333,1,True,Completed,100.0,100.0,True,0.0,DynamicObjectCrossing,vru_emerging,sudden
cl1,0,24340,1,True,Completed,100.0,100.0,True,0.0,ControlLoss,routine_control,other
cl1,0,24367,1,True,Completed,100.0,100.0,True,0.0,ConstructionObstacle,obstacle_bypass,obstacle
cl1,0,24757,1,True,Completed,100.0,100.0,True,0.0,ParkedObstacle,obstacle_bypass,obstacle
cl1,0,24759,1,True,Completed,100.0,100.0,True,0.0,ParkingCutIn,cut_in,sudden
cl1,0,24781,1,True,Completed,100.0,100.0,True,0.0,HardBreakRoute,lead_hard_brake,sudden
cl1,0,24784,5,True,Completed,100.0,100.0,True,0.0,ControlLoss,routine_control,other
cl1,0,24785,1,True,Completed,100.0,100.0,True,0.0,ConstructionObstacle,obstacle_bypass,obstacle
cl1,0,24795,1,True,Completed,60.0,100.0,False,1.0,ConstructionObstacle,obstacle_bypass,obstacle
cl1,0,24816,1,True,Completed,36.0,100.0,False,2.0,Accident,obstacle_bypass,obstacle
cl1,0,24841,1,True,Completed,100.0,100.0,True,0.0,ControlLoss,routine_control,other
cl1,0,25300,1,True,Completed,100.0,100.0,True,0.0,HazardAtSideLane,obstacle_bypass,obstacle
cl1,0,25318,1,True,Completed,60.0,100.0,False,1.0,ParkedObstacle,obstacle_bypass,obstacle
cl1,0,25358,1,True,Completed,36.0,100.0,False,2.0,StaticCutIn,cut_in,sudden
cl1,0,25378,1,True,Completed,100.0,100.0,True,0.0,YieldToEmergencyVehicle,emergency_vehicle,yield
cl1,0,25381,1,True,Completed,60.0,100.0,False,1.0,HazardAtSideLane,obstacle_bypass,obstacle
cl1,0,25383,1,True,Completed,100.0,100.0,True,0.0,ParkedObstacle,obstacle_bypass,obstacle
cl1,0,25424,1,True,Completed,39.0,100.0,False,2.0,ConstructionObstacleTwoWays,obstacle_bypass,obstacle
cl1,0,25439,1,True,Completed,100.0,100.0,True,0.0,HazardAtSideLane,obstacle_bypass,obstacle
cl1,0,25845,1,True,Completed,100.0,100.0,True,0.0,AccidentTwoWays,obstacle_bypass,obstacle
cl1,0,25854,1,True,Completed,100.0,100.0,True,0.0,HazardAtSideLaneTwoWays,obstacle_bypass,obstacle
cl1,0,25857,1,True,Completed,60.0,100.0,False,1.0,AccidentTwoWays,obstacle_bypass,obstacle
cl1,0,25863,1,True,Completed,60.0,100.0,False,1.0,PedestrianCrossing,vru_crossing,sudden
cl1,0,25865,2,True,Completed,100.0,100.0,True,0.0,ParkedObstacleTwoWays,obstacle_bypass,obstacle
cl1,0,25896,1,True,Completed,100.0,100.0,True,0.0,ParkedObstacleTwoWays,obstacle_bypass,obstacle
cl1,0,25928,1,True,Completed,100.0,100.0,True,0.0,VehicleOpensDoorTwoWays,obstacle_bypass,obstacle
cl1,0,25951,1,True,Completed,100.0,100.0,True,0.0,HazardAtSideLaneTwoWays,obstacle_bypass,obstacle
cl1,0,25955,1,True,Completed,100.0,100.0,True,0.0,HazardAtSideLaneTwoWays,obstacle_bypass,obstacle
cl1,0,25968,1,True,Completed,100.0,100.0,True,0.0,VanillaSignalizedTurnEncounterGreenLight,routine_control,other
cl1,0,25975,1,True,Completed,100.0,100.0,True,0.0,VanillaSignalizedTurnEncounterGreenLight,routine_control,other
cl1,0,26393,1,True,Completed,100.0,100.0,True,0.0,ParkingExit,merge_lane_change,yield
cl1,0,26394,1,True,Completed,96.5803,100.0,False,0.0,MergerIntoSlowTrafficV2,merge_lane_change,yield
cl1,0,26396,1,True,Completed,60.0,100.0,False,1.0,StaticCutIn,cut_in,sudden
cl1,0,26401,1,True,Completed,100.0,100.0,True,0.0,MergerIntoSlowTrafficV2,merge_lane_change,yield
cl1,0,26405,1,True,Completed,100.0,100.0,True,0.0,StaticCutIn,cut_in,sudden
cl1,0,26406,1,True,Completed,21.6,100.0,False,3.0,HardBreakRoute,lead_hard_brake,sudden
cl1,0,26408,1,True,Completed,62.368627,100.0,False,1.0,MergerIntoSlowTrafficV2,merge_lane_change,yield
cl1,0,26418,1,True,Completed,100.0,100.0,True,0.0,ControlLoss,routine_control,other
cl1,0,26435,1,True,Completed,100.0,100.0,True,0.0,ParkingExit,merge_lane_change,yield
cl1,0,26456,1,True,Completed,100.0,100.0,True,0.0,HardBreakRoute,lead_hard_brake,sudden
cl1,0,26458,1,True,Completed,100.0,100.0,True,0.0,T_Junction,routine_control,other
cl1,0,26944,1,True,Completed,48.0,100.0,False,1.0,OppositeVehicleRunningRedLight,junction_violator,sudden
cl1,0,26950,1,True,Completed,100.0,100.0,True,0.0,OppositeVehicleRunningRedLight,junction_violator,sudden
cl1,0,26956,2,True,Completed,100.0,100.0,True,0.0,SignalizedJunctionRightTurn,unprotected_turn,yield
cl1,0,26966,1,True,Completed,100.0,100.0,True,0.0,SignalizedJunctionRightTurn,unprotected_turn,yield
cl1,0,26990,1,True,Completed,100.0,100.0,True,0.0,NonSignalizedJunctionLeftTurn,unprotected_turn,yield
cl1,0,27018,1,True,Failed - TickRuntime,30.222,50.37,False,1.0,SignalizedJunctionRightTurn,unprotected_turn,yield
cl1,0,27494,1,True,Completed,60.0,100.0,False,1.0,BlockedIntersection,junction_violator,sudden
cl1,0,27506,1,True,Completed,100.0,100.0,True,0.0,EnterActorFlow,merge_lane_change,yield
cl1,0,27515,1,True,Completed,100.0,100.0,True,0.0,PedestrianCrossing,vru_crossing,sudden
cl1,0,27529,1,True,Completed,100.0,100.0,True,0.0,PedestrianCrossing,vru_crossing,sudden
cl1,0,27532,1,True,Completed,60.0,100.0,False,1.0,BlockedIntersection,junction_violator,sudden
cl1,0,27582,1,True,Completed,100.0,100.0,True,0.0,PedestrianCrossing,vru_crossing,sudden
cl1,0,28035,1,True,Completed,100.0,100.0,True,0.0,T_Junction,routine_control,other
cl1,0,28048,1,True,Completed,100.0,100.0,True,0.0,T_Junction,routine_control,other
cl1,0,28087,1,True,Completed,80.0,100.0,False,0.0,NonSignalizedJunctionLeftTurnEnterFlow,unprotected_turn,yield
cl1,0,28093,1,True,Completed,80.0,100.0,False,0.0,NonSignalizedJunctionLeftTurnEnterFlow,unprotected_turn,yield
cl1,0,28099,1,True,Completed,60.0,100.0,False,1.0,SignalizedJunctionLeftTurnEnterFlow,unprotected_turn,yield
cl1,0,28111,1,True,Completed,100.0,100.0,True,0.0,T_Junction,routine_control,other
cl1,0,28154,1,True,Completed,100.0,100.0,True,0.0,T_Junction,routine_control,other
cl1,0,28198,1,True,Completed,100.0,100.0,True,0.0,SignalizedJunctionLeftTurnEnterFlow,unprotected_turn,yield
cl1,0,28210,1,True,Completed,100.0,100.0,True,0.0,NonSignalizedJunctionLeftTurnEnterFlow,unprotected_turn,yield
cl1,0,28219,1,True,Completed,60.0,100.0,False,1.0,NonSignalizedJunctionLeftTurnEnterFlow,unprotected_turn,yield
cl1,0,28229,1,True,Completed,60.0,100.0,False,1.0,NonSignalizedJunctionLeftTurnEnterFlow,unprotected_turn,yield
cl1,0,28241,1,True,Completed,100.0,100.0,True,0.0,SignalizedJunctionLeftTurnEnterFlow,unprotected_turn,yield
cl1,0,28243,1,True,Completed,100.0,100.0,True,0.0,SignalizedJunctionLeftTurnEnterFlow,unprotected_turn,yield
cl1,0,28330,1,True,Completed,60.0,100.0,False,1.0,SignalizedJunctionLeftTurnEnterFlow,unprotected_turn,yield
