arm,route,status,DS,RC,n_collisions,duration_game,t_col,col_type,pinned_s,expert_status,expert_DS,extra_collision,stuck,stuck_vs_expert,n_track,e_lat_med,e_lat_p95,e_lon_med,abs_e_lon_med,abs_e_lon_p95,e_head_med,stuck_cause
p6x5,17563,Completed,54.921051,100,1,,16.2,vehicle.mercedes.coupe_2020,0.0,Completed,100.0,1,0,0,243,0.003,0.122,-3.013,3.013,6.442,0.111,
p6x5,1825,Completed,100.0,100,0,,,,0.0,Completed,100.0,0,0,0,288,0.005,0.166,-3.563,3.563,8.003,0.115,
p6x5,1833,Completed,100.0,100,0,,,,0.0,Completed,100.0,0,0,0,305,0.005,0.159,-3.974,3.974,6.811,0.227,
p6x5,1852,Completed,100.0,100,0,,,,0.0,Completed,100.0,0,0,0,323,0.002,0.165,-2.488,2.488,8.396,0.066,
p6x5,1956,Completed,100.0,100,0,,,,0.0,Completed,100.0,0,0,0,317,0.001,0.223,-1.176,1.176,6.24,0.032,
p6x5,2084,Completed,60.0,100,1,,12.4,vehicle.mini.cooper_s_2021,1.9,Completed,100.0,1,0,0,170,0.001,0.009,-3.184,3.184,7.237,0.059,
p6x5,2086,Completed,80.0,100,0,,,,0.0,Completed,100.0,0,0,0,229,0.006,0.1,-2.23,2.23,7.414,0.195,
p6x5,2091,Completed,80.0,100,0,,,,0.0,Completed,100.0,0,0,0,207,0.003,0.055,-2.526,2.526,7.105,0.143,
p6x5,2115,Completed,80.0,100,0,,,,0.0,Completed,100.0,0,0,0,223,0.002,0.038,-1.691,1.691,7.45,0.059,
p6x5,2286,Completed,100.0,100,0,,,,0.0,Completed,100.0,0,0,0,159,0.0,0.001,-3.997,3.997,7.686,0.015,
p6x5,2373,Completed,100.0,100,0,,,,0.0,Completed,100.0,0,0,0,167,0.004,0.049,-1.344,1.344,3.056,0.22,
p6x5,2390,Completed,100.0,100,0,,,,0.0,Completed,100.0,0,0,0,96,0.037,0.115,-13.436,13.436,19.233,0.334,
p6x5,24211,Completed,100.0,100,0,,,,0.0,Completed,100.0,0,0,0,281,0.0,0.002,-5.427,5.427,10.269,0.016,
