direction,arm,judge,scope,subset,n,value,delta,lo,hi,halfwidth
1,A ridge_late pooled,ADE vs rater_best,decile 10 only,all,45,5.45163631439209,-0.0930614247918129,-0.23045153665873738,0.025433467593457947,0.12794250212609767
1,e gated pooled-mlp,ADE vs log,s_ego deciles 1-9,pre_onset,650,1.9223501682281494,0.054672788828611374,-0.05577702043366471,0.16424490421929538,0.11001096232648006
1,e gated pooled-mlp,ADE vs log,all deciles (side column),pre_onset,719,2.096644401550293,0.03652409091591835,-0.08665268453886653,0.16094317083076998,0.12379792768481826
1,e gated pooled-mlp,ADE vs log,s_ego deciles 1-9,straight_yaw,5407,1.5840685367584229,0.14478440582752228,0.08732710602373607,0.20460427841580564,0.058638586196034785
1,e gated pooled-mlp,ADE vs log,all deciles (side column),straight_yaw,5924,1.9481630325317383,0.1140977069735527,0.05578779629901287,0.17426070569402366,0.059236454697505395
1,e gated pooled-mlp,ADE vs log,s_ego deciles 1-9,all,8919,1.7171460390090942,0.15521852672100067,0.10974588522153282,0.19846928105509457,0.04436169791678087
1,e gated pooled-mlp,ADE vs log,all deciles (side column),all,9910,2.100349187850952,0.12321440130472183,0.07890952662224598,0.16473159919400052,0.042911036285877266
1,e gated pooled-mlp,DiD,s_ego deciles 1-9,pre_onset - straight_yaw,650,,-0.0901116132736206,-0.2267195820952891,0.0420307627560611,0.1343751724256751
1,e gated pooled-mlp,RFS,rater frames (subset),all,242,6.538543056011509,-0.5623362750839176,-0.7753868266668992,-0.3731483819003785,0.20111922238326033
1,e gated pooled-mlp,RFS,decile 10 only,all,45,5.412487434508479,-0.569828538318643,-1.0865919614848367,-0.0770776238898414,0.5047571687974977
1,e gated pooled-mlp,ADE vs rater_best,decile 10 only,all,45,5.512529373168945,-0.032167788594961166,-0.30280479692750506,0.23791553599966894,0.270360166463587
1,e gated attn grid,ADE vs log,s_ego deciles 1-9,pre_onset,650,1.8440134525299072,-0.023664047941565514,-0.09997350117174757,0.051088211174816114,0.07553085617328184
1,e gated attn grid,ADE vs log,all deciles (side column),pre_onset,719,2.0334086418151855,-0.026711497455835342,-0.10876388658814082,0.05941944266000626,0.08409166462407354
1,e gated attn grid,ADE vs log,s_ego deciles 1-9,straight_yaw,5407,1.455702543258667,0.0164182148873806,-0.0295408494302206,0.061145486742265526,0.045343168086243064
1,e gated attn grid,ADE vs log,all deciles (side column),straight_yaw,5924,1.8358745574951172,0.0018091395031660795,-0.04532783317067449,0.04754574056976752,0.04643678687022101
1,e gated attn grid,ADE vs log,s_ego deciles 1-9,all,8919,1.5964858531951904,0.03455834090709686,0.00038939556238669034,0.06739763909630454,0.033504121766958925
1,e gated attn grid,ADE vs log,all deciles (side column),all,9910,1.998895287513733,0.02176034450531006,-0.011401684621244504,0.054423771950673216,0.03291272828595886
1,e gated attn grid,DiD,s_ego deciles 1-9,pre_onset - straight_yaw,650,,-0.040082260966300964,-0.14177280308500784,0.050190337857349644,0.09598157047117874
1,e gated attn grid,RFS,rater frames (subset),all,242,6.932114973745911,-0.16876435734951503,-0.28685912637204475,-0.04946706493299682,0.11869603071952396
1,e gated attn grid,RFS,decile 10 only,all,45,5.807335579016425,-0.17498039381069727,-0.4609536476735644,0.007562196392019851,0.2342579220327921
1,e gated attn grid,ADE vs rater_best,decile 10 only,all,45,5.562727928161621,0.01803087629377842,-0.13285309937265186,0.16374297963248352,0.1482980395025677
