direction,arm,judge,scope,subset,n,value,delta,lo,hi,halfwidth
0,A ridge_late pooled (qwen4b L18 image),ADE vs log,s_ego deciles 1-9,pre_onset,1281,1.9991217851638794,-0.0009792009368538857,-0.05378850639167448,0.052185366737682176,0.05298693656467833
0,A ridge_late pooled (qwen4b L18 image),ADE vs log,all deciles (side column),pre_onset,1458,2.352255344390869,-0.013801797293126583,-0.06212841833869395,0.031673621610465524,0.04690101997457974
0,A ridge_late pooled (qwen4b L18 image),ADE vs log,s_ego deciles 1-9,straight_yaw,10658,1.2614240646362305,-0.10913169384002686,-0.13860406181427704,-0.08219226627680411,0.028205897768736464
0,A ridge_late pooled (qwen4b L18 image),ADE vs log,all deciles (side column),straight_yaw,11597,1.6359577178955078,-0.1301673799753189,-0.16152780637282593,-0.10074489390408768,0.030391456234369126
0,A ridge_late pooled (qwen4b L18 image),ADE vs log,s_ego deciles 1-9,all,17696,1.4606997966766357,-0.06945879757404327,-0.08951363758724948,-0.04932296331582638,0.020095337135711547
0,A ridge_late pooled (qwen4b L18 image),ADE vs log,all deciles (side column),all,19663,1.8961926698684692,-0.09161655604839325,-0.11186191759351193,-0.07207955779971367,0.019891179896899126
0,A ridge_late pooled (qwen4b L18 image),DiD,s_ego deciles 1-9,pre_onset - straight_yaw,1281,,0.10815249383449554,0.050291092316570196,0.16546044534379387,0.057584676513611835
0,A ridge_late pooled (qwen4b L18 image),RFS,rater frames (subset),all,478,6.974153515647175,-0.0763892802088129,-0.17255339635847022,0.01574496059744537,0.0941491784779578
0,A ridge_late pooled (qwen4b L18 image),RFS,decile 10 only,all,86,5.970395599552159,-0.039098235407880065,-0.1486290998267922,0.05096869556686778,0.09979889769683
0,A ridge_late pooled (qwen4b L18 image),ADE vs rater_best,decile 10 only,all,86,5.5148797035217285,-0.12157280743122101,-0.22261679494796796,-0.011568581711414278,0.10552410661827684
0,d'' ridge_late L18_last,ADE vs log,s_ego deciles 1-9,pre_onset,1281,1.9777441024780273,-0.02235693484544754,-0.07059804501720186,0.02908122882167301,0.049839636919437436
0,d'' ridge_late L18_last,ADE vs log,all deciles (side column),pre_onset,1458,2.3120553493499756,-0.05400174856185913,-0.105761550492913,-0.000978307613482889,0.052391621439715055
0,d'' ridge_late L18_last,ADE vs log,s_ego deciles 1-9,straight_yaw,10658,1.2994942665100098,-0.07106154412031174,-0.10032373584714924,-0.044048056541191774,0.02813783965297873
0,d'' ridge_late L18_last,ADE vs log,all deciles (side column),straight_yaw,11597,1.6651073694229126,-0.10101758688688278,-0.13075479683197203,-0.07101391708158405,0.029870439875193985
0,d'' ridge_late L18_last,ADE vs log,s_ego deciles 1-9,all,17696,1.4813162088394165,-0.048842303454875946,-0.06889364827681606,-0.0277450353663232,0.02057430645524643
0,d'' ridge_late L18_last,ADE vs log,all deciles (side column),all,19663,1.9016149044036865,-0.08619415760040283,-0.10580701753462324,-0.06528984026229333,0.020258588636164955
0,d'' ridge_late L18_last,DiD,s_ego deciles 1-9,pre_onset - straight_yaw,1281,,0.0487046092748642,-0.0131356650533454,0.10922693832022375,0.061181301686784574
0,d'' ridge_late L18_last,RFS,rater frames (subset),all,478,6.80501605404087,-0.2455267418151186,-0.364573131050609,-0.12963474033078573,0.11746919535991164
0,d'' ridge_late L18_last,RFS,decile 10 only,all,86,5.602980970454181,-0.4065128645058586,-0.6462737447835804,-0.19398602293199188,0.22614386092579425
0,d'' ridge_late L18_last,ADE vs rater_best,decile 10 only,all,86,5.47529935836792,-0.16115279495716095,-0.3230257599852806,0.009391321077249758,0.1662085405312652
0,d'' ridge_late L18_mean,ADE vs log,s_ego deciles 1-9,pre_onset,1281,1.9420791864395142,-0.05802183598279953,-0.11775444548787072,-0.0008897318619512636,0.058432356812959725
0,d'' ridge_late L18_mean,ADE vs log,all deciles (side column),pre_onset,1458,2.274203300476074,-0.09185367077589035,-0.15076080659034344,-0.036123765105901505,0.05731852074222096
0,d'' ridge_late L18_mean,ADE vs log,s_ego deciles 1-9,straight_yaw,10658,1.2683937549591064,-0.10216204077005386,-0.1343575262683455,-0.07390994504333628,0.030223790612504603
0,d'' ridge_late L18_mean,ADE vs log,all deciles (side column),straight_yaw,11597,1.6267619132995605,-0.13936297595500946,-0.17054235918575036,-0.10775103991355048,0.03139565963609994
0,d'' ridge_late L18_mean,ADE vs log,s_ego deciles 1-9,all,17696,1.4614183902740479,-0.06874007731676102,-0.08994198696698753,-0.0464276542605037,0.021757166353241916
0,d'' ridge_late L18_mean,ADE vs log,all deciles (side column),all,19663,1.8761428594589233,-0.11166618019342422,-0.132868338149503,-0.08922371011104321,0.02182231401922989
0,d'' ridge_late L18_mean,DiD,s_ego deciles 1-9,pre_onset - straight_yaw,1281,,0.044140204787254333,-0.022090394519998613,0.11014048387225807,0.06611543919612833
0,d'' ridge_late L18_mean,RFS,rater frames (subset),all,478,6.739431851210868,-0.3111109446451199,-0.4311596722075423,-0.20106545157454184,0.11504711031650024
0,d'' ridge_late L18_mean,RFS,decile 10 only,all,86,5.697409589918608,-0.31208424504143173,-0.49598908046899504,-0.1426648682597679,0.17666210610461358
0,d'' ridge_late L18_mean,ADE vs rater_best,decile 10 only,all,86,5.433950901031494,-0.20250144600868225,-0.37701811709029726,-0.031694469254377314,0.17266182391795998
