direction,arm,judge,scope,subset,n,value,delta,lo,hi,halfwidth,meets_threshold
0,A ridge_late pooled (qwen4b L18 image),ADE vs log,s_ego deciles 1-9,pre_onset,1281,1.8437212705612183,-0.011669839732348919,-0.06111887130479945,0.045901592496705126,0.053510231900752284,False
0,d'' ridge_late L18_last,ADE vs log,s_ego deciles 1-9,pre_onset,1281,1.8362516164779663,-0.019139455631375313,-0.0662860295378346,0.03049629223601416,0.048391160886924384,False
0,d'' ridge_late L18_mean,ADE vs log,s_ego deciles 1-9,pre_onset,1281,1.7930335998535156,-0.06235739588737488,-0.11059012171924461,-0.01457789575927769,0.04800611297998346,True
