arm,direction,ade_all,n_all,ade_pre_onset,n_pre_onset,ade_straight_yaw,n_straight_yaw,ade_turn_yaw,n_turn_yaw,rfs,n_rater,rfs_cluster,rfs_lo,rfs_hi,floored
ridge ego,0,1.9838603,19663,2.1839926,1458,1.794915,11597,2.3991292,4356,7.072355459983542,478,7.060751880801183,6.863828403616969,7.285077068948842,0.26569037656903766
A ridge_late pooled (qwen4b L18 image),0,1.8991002,19663,2.1601486,1458,1.6787728,11597,2.3322275,4356,6.847331797851467,478,6.81735735310342,6.637867252245294,7.046470153783102,0.2719665271966527
d'' ridge_late L18_last,0,1.9176378,19663,2.131664,1458,1.7248094,11597,2.2931368,4356,6.58032355280695,478,6.568072977644438,6.3901243904189124,6.789402434469346,0.3179916317991632
d'' ridge_late L18_mean,0,1.8816181,19663,2.0916514,1458,1.6673889,11597,2.3091815,4356,6.651788008294178,478,6.581601374573762,6.435702162163205,6.853450992681049,0.3075313807531381
