idx,t,cam,split,psnr
0,0.0,CAM_FRONT,train,24.769
1,0.0,CAM_FRONT_LEFT,train,23.559
2,0.0,CAM_FRONT_RIGHT,train,26.158
3,0.0,CAM_BACK,train,29.069
4,0.0,CAM_BACK_LEFT,train,25.18
5,0.0,CAM_BACK_RIGHT,train,24.168
6,0.08339881896972656,CAM_FRONT,train,25.818
7,0.08339881896972656,CAM_FRONT_LEFT,train,22.711
8,0.08339881896972656,CAM_FRONT_RIGHT,train,28.317
9,0.08339881896972656,CAM_BACK,train,29.257
10,0.08339881896972656,CAM_BACK_LEFT,train,26.584
11,0.08339881896972656,CAM_BACK_RIGHT,train,26.1
12,0.16679787635803223,CAM_FRONT,train,26.265
13,0.16679787635803223,CAM_FRONT_LEFT,train,23.482
14,0.16679787635803223,CAM_FRONT_RIGHT,train,28.641
15,0.16679787635803223,CAM_BACK,train,30.205
16,0.16679787635803223,CAM_BACK_LEFT,train,25.425
17,0.16679787635803223,CAM_BACK_RIGHT,train,25.826
18,0.2501964569091797,CAM_FRONT,train,26.74
19,0.2501964569091797,CAM_FRONT_LEFT,train,23.996
20,0.2501964569091797,CAM_FRONT_RIGHT,train,28.592
21,0.2501964569091797,CAM_BACK,train,30.574
22,0.2501964569091797,CAM_BACK_LEFT,train,24.644
23,0.2501964569091797,CAM_BACK_RIGHT,train,25.859
24,0.33359527587890625,CAM_FRONT,test,25.121
25,0.33359527587890625,CAM_FRONT_LEFT,test,22.317
26,0.33359527587890625,CAM_FRONT_RIGHT,test,26.095
27,0.33359527587890625,CAM_BACK,test,29.606
28,0.33359527587890625,CAM_BACK_LEFT,test,22.175
29,0.33359527587890625,CAM_BACK_RIGHT,test,23.405
30,0.4169943332672119,CAM_FRONT,train,25.419
31,0.4169943332672119,CAM_FRONT_LEFT,train,26.476
32,0.4169943332672119,CAM_FRONT_RIGHT,train,27.757
33,0.4169943332672119,CAM_BACK,train,30.105
34,0.4169943332672119,CAM_BACK_LEFT,train,25.328
35,0.4169943332672119,CAM_BACK_RIGHT,train,24.63
36,0.5003931522369385,CAM_FRONT,train,25.372
37,0.5003931522369385,CAM_FRONT_LEFT,train,25.96
38,0.5003931522369385,CAM_FRONT_RIGHT,train,27.964
39,0.5003931522369385,CAM_BACK,train,29.886
40,0.5003931522369385,CAM_BACK_LEFT,train,25.797
41,0.5003931522369385,CAM_BACK_RIGHT,train,24.837
42,0.5836153030395508,CAM_FRONT,train,25.164
43,0.5836153030395508,CAM_FRONT_LEFT,train,25.068
44,0.5836153030395508,CAM_FRONT_RIGHT,train,28.613
45,0.5836153030395508,CAM_BACK,train,28.933
46,0.5836153030395508,CAM_BACK_LEFT,train,24.981
47,0.5836153030395508,CAM_BACK_RIGHT,train,25.187
48,0.6668376922607422,CAM_FRONT,train,25.81
49,0.6668376922607422,CAM_FRONT_LEFT,train,24.189
50,0.6668376922607422,CAM_FRONT_RIGHT,train,27.173
51,0.6668376922607422,CAM_BACK,train,24.05
52,0.6668376922607422,CAM_BACK_LEFT,train,24.184
53,0.6668376922607422,CAM_BACK_RIGHT,train,25.265
54,0.7500600814819336,CAM_FRONT,test,25.207
55,0.7500600814819336,CAM_FRONT_LEFT,test,23.635
56,0.7500600814819336,CAM_FRONT_RIGHT,test,26.021
57,0.7500600814819336,CAM_BACK,test,22.302
58,0.7500600814819336,CAM_BACK_LEFT,test,23.659
59,0.7500600814819336,CAM_BACK_RIGHT,test,23.455
60,0.8332822322845459,CAM_FRONT,train,25.734
61,0.8332822322845459,CAM_FRONT_LEFT,train,23.927
62,0.8332822322845459,CAM_FRONT_RIGHT,train,26.06
63,0.8332822322845459,CAM_BACK,train,22.72
64,0.8332822322845459,CAM_BACK_LEFT,train,24.819
65,0.8332822322845459,CAM_BACK_RIGHT,train,24.307
66,0.9165048599243164,CAM_FRONT,train,26.78
67,0.9165048599243164,CAM_FRONT_LEFT,train,23.802
68,0.9165048599243164,CAM_FRONT_RIGHT,train,28.156
69,0.9165048599243164,CAM_BACK,train,29.289
70,0.9165048599243164,CAM_BACK_LEFT,train,26.174
71,0.9165048599243164,CAM_BACK_RIGHT,train,24.633
72,0.9997270107269287,CAM_FRONT,train,27.104
73,0.9997270107269287,CAM_FRONT_LEFT,train,23.648
74,0.9997270107269287,CAM_FRONT_RIGHT,train,27.962
75,0.9997270107269287,CAM_BACK,train,29.607
76,0.9997270107269287,CAM_BACK_LEFT,train,25.297
77,0.9997270107269287,CAM_BACK_RIGHT,train,24.311
78,1.0831298828125,CAM_FRONT,train,26.439
79,1.0831298828125,CAM_FRONT_LEFT,train,22.426
80,1.0831298828125,CAM_FRONT_RIGHT,train,27.27
81,1.0831298828125,CAM_BACK,train,28.299
82,1.0831298828125,CAM_BACK_LEFT,train,23.726
83,1.0831298828125,CAM_BACK_RIGHT,train,24.062
84,1.166532278060913,CAM_FRONT,test,23.614
85,1.166532278060913,CAM_FRONT_LEFT,test,20.496
86,1.166532278060913,CAM_FRONT_RIGHT,test,23.241
