t,x,z,yaw,v,steer,acc,steer_rate,drive,controller,off_route
0.0,0.0,0.0,0.0,5.0,0.0,0.04666585687454436,0.1488385056379973,straight,official,
0.25,0.0,1.252916616054659,0.017274847182025283,5.011666464218636,0.037209626409499326,0.23672551457010552,0.011992454611921652,straight,official,
0.5,0.021898441197531218,2.520439425953449,0.03616348379169227,5.070847842861163,0.040207740062479735,0.1543093041131678,0.004342989310661766,straight,official,
0.75,0.0680820267679946,3.7969605474802024,0.055710334411773615,5.109425168889454,0.04129348739014518,0.10163247544141929,0.0018056077372271134,straight,official,
1.0,0.1395608591678101,5.078677299469591,0.07556937582355217,5.134833287749809,0.04174488932445196,0.06726155889789662,0.0008846613661869368,straight,official,
1.25,0.236794969924917,6.362913758893218,0.09559913289549934,5.151648677474284,0.04196605466599869,0.04461073565052282,0.0004973084811942252,straight,official,
1.5,0.3599969418805184,7.647720609231981,0.11573179000917964,5.162801361386914,0.042090381786297246,0.02961547774528116,0.0003047371436442764,straight,official,
1.75,0.5092525126394187,8.931625456815878,0.13592985491441517,5.1702052308232345,0.04216656607220831,0.019668547094776587,0.00019527253936772737,straight,official,
2.0,0.6845748517134903,10.21347189746184,0.15617056350657246,5.175122367596929,0.04221538420705025,0.013064674824232453,0.00012775037061685257,straight,official,
2.25,0.885931989282986,11.492313968519465,0.17643938738679565,5.178388536302987,0.04224732179970446,0.008678697709234814,8.433691691145384e-05,straight,official,
2.5,1.1132618251318487,12.767346362874898,0.19672683542145913,5.180558210730296,0.04226840602893232,0.0057653026082818614,5.5889615616269706e-05,straight,official,
2.75,1.3664806898979305,14.037858132288417,0.2170266439555046,5.181999536382366,0.04228237843283639,0.0038299567528855636,3.7095550728810656e-05,straight,official,
3.0,1.6454883006211602,15.303201948693857,0.23733466186725102,5.1829570255705875,0.04229165232051859,0.0025442919369824115,2.4636472392272624e-05,straight,official,
3.25,1.9501706256519171,16.562773708866906,0.25764813349830284,5.183593098554833,0.04229781143861666,0.001690208357030518,1.6365637584420112e-05,straight,official,
3.5,2.2804015241468116,17.815999025923634,0.27796522842761884,5.18401565064409,0.042301902848012767,0.0011228285040809421,1.0872225900820931e-05,straight,official,
3.75,2.63604367044911,19.062324308142436,0.298284730578334,5.18429635777011,0.04230462090448797,0.0007459099809402449,7.222877939805361e-06,straight,official,
4.0,3.0169490672825354,20.30121089313952,0.3186058319944373,5.184482835265345,0.04230642662397292,0.0004955177644625446,4.798440427597472e-06,straight,official,
4.25,3.422959328286469,21.53213121635127,0.33892799588069017,5.184606714706461,0.042307626234079826,0.00032917883118934463,3.1877628851872952e-06,straight,official,
4.5,3.8539058360277623,22.754566333335767,0.35925086560649394,5.184689009414258,0.04230842317480112,0.00021867768466179868,2.1177182908532766e-06,straight,official,
4.75,4.309609836884218,23.968004342487824,0.3795742042428638,5.1847436788354235,0.04230895260437384,0.00014527034350912327,1.4068487752122438e-06,straight,official,
5.0,4.7898825075138385,25.17193940616524,0.3998978543880327,5.184779996421301,0.04230930431656764,9.650491016051073e-05,9.345972212526643e-07,straight,official,
5.25,5.2945250119153675,26.365871169140465,0.4202217114749101,5.184804122648841,0.04230953796587295,6.410941658165077e-05,6.208690808556794e-07,straight,official,
5.5,5.823328558995605,27.54930444053251,0.44054570603686577,5.184820150002986,0.04230969318314316,4.2588683570688734e-05,4.1245306159343187e-07,straight,official,
5.75,6.376074465419207,28.721749050157893,0.4608697919257238,5.184830797173879,0.04230979629640856,2.829219172674666e-05,2.739985853206228e-07,straight,official,
6.0,6.952534225702408,29.882719820054632,0.4811939384843979,5.18483787022181,0.04230986479605489,1.8794854104113942e-05,1.820210559083657e-07,straight,official,
6.25,7.552469590042782,31.03173661177442,0.5015181253468811,5.184842568935336,0.042309910301318865,1.2485654654885653e-05,1.2091901974153885e-07,straight,official,
6.5,8.17563264966758,32.16832442323675,0.5218423389837276,5.1848456903489994,0.0423099405310738,8.294375135627427e-06,8.032808070101982e-08,straight,official,
6.75,8.821765929189127,33.29201351771468,0.5421665704071343,5.184847763942783,0.04230996061309397,5.510056166767496e-06,5.3362973845283435e-08,straight,official,
7.0,9.490602485378153,34.40233957335523,0.5624908136463819,5.184849141456825,0.04230997395383743,3.660398561214755e-06,3.54496991900044e-08,straight,official,
7.25,10.18186601179257,35.498843845512866,0.5828150647350425,5.184850056556465,0.042309982816262234,2.4316480969179386e-06,2.3549681496537467e-08,straight,official,
7.5,10.895270948768554,36.58107333674878,0.6031393210381671,5.184850664468489,0.042309988703682605,3.8164451041860945e-06,4.342331491741236e-07,straight,official,
7.75,11.63052267639333,37.64858108435198,0.6234636332912875,5.184851618579765,0.042310097261969895,2.0704594494076164e-07,-2.828926663894782e-07,straight,official,
8.0,12.387317425878056,38.700925911329996,0.64378791173376,5.184851670341252,0.042310026538803294,2.2875892331900293e-07,-7.837213189532122e-08,straight,official,
