scenario,controller,group,end,steps,hdscore,rc,nc,dac,ttc,c,pdms,lat50_med,lon50_med,hd50_med_deg,lat25_med,xt_med,xt_max,dth_med_deg,n_stop,n_fwd_only
scene-034-easy-00,ideal,static,complete,36,0.5793650793650794,1.0,0.6388888888888888,1.0,0.5833333333333334,1.0,0.5793650793650794,0.00255,0.01061,0.04398,0.00032,0.00195,0.0083,0.12003,0,0
scene-034-easy-00,official,static,complete,34,0.5756302521008403,1.0,0.6176470588235294,1.0,0.5882352941176471,1.0,0.5756302521008403,0.11465,0.04819,0.71089,0.07496,0.1039,0.2322,0.49561,0,0
scene-0383-easy-00,fixed,static,complete,58,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.15637,0.12663,3.57287,0.09392,0.14025,0.3877,1.94462,0,0
scene-0383-easy-00,ideal,static,complete,59,0.9830508474576272,1.0,0.9830508474576272,1.0,1.0,1.0,0.9830508474576272,0.00646,0.012,0.23778,0.00028,0.0056,0.0628,0.70875,0,0
scene-0383-easy-00,official,static,complete,55,0.8467532467532466,1.0,1.0,1.0,0.8,0.9636363636363636,0.8467532467532466,0.59355,0.10608,10.11185,0.35728,0.5619,2.1533,4.38313,0,0
scene-0383-hard-00,fixed,actor,fg_collision,15,0.014274411019070224,0.24980219283372893,0.2,1.0,0.0,1.0,0.05714285714285714,0.03555,0.16099,0.52107,0.02032,0.0334,0.0573,0.57926,0,0
scene-0383-hard-00,ideal,actor,fg_collision,15,0.019549268786298285,0.256584152820165,0.26666666666666666,1.0,0.0,1.0,0.07619047619047618,0.0021,0.01304,0.05596,0.00034,0.0009,0.0628,0.12834,0,0
scene-0383-hard-00,official,actor,fg_collision,14,0.014809586092829806,0.24188990618288683,0.21428571428571427,1.0,0.0,1.0,0.061224489795918366,0.01268,0.11016,0.90297,0.00811,0.007,0.1292,0.72451,0,0
scene-0920-easy-00,fixed,static,complete,56,0.829081632653061,1.0,0.9821428571428571,1.0,0.7678571428571429,1.0,0.829081632653061,0.14588,0.21171,2.85521,0.09993,0.1434,0.568,2.3053,0,0
scene-0920-easy-00,ideal,static,complete,56,0.8163265306122447,1.0,0.9821428571428571,1.0,0.75,1.0,0.8163265306122447,0.01172,0.01919,0.26145,0.00037,0.01115,0.1244,0.81016,0,0
scene-0920-easy-00,official,static,complete,53,0.7628032345013475,1.0,0.9811320754716981,1.0,0.6981132075471698,0.9433962264150944,0.7628032345013475,1.45835,0.198,19.86347,0.9383,1.4471,2.0174,3.62969,0,0
scene-113792265837-easy-00,fixed,static,complete,71,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.03121,0.12103,0.27351,0.01951,0.0341,1.0225,0.20569,0,0
scene-113792265837-easy-00,ideal,static,complete,72,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.00177,0.00487,0.01722,0.00039,0.0015,0.2812,0.09139,0,0
scene-113792265837-easy-00,official,static,complete,70,0.9897959183673468,1.0,1.0,1.0,0.9857142857142858,1.0,0.9897959183673468,0.31027,0.07889,1.97118,0.19575,0.30965,1.2332,0.67867,0,0
scene-1290_1490-easy-00,fixed,static,complete,74,0.9575289575289576,1.0,1.0,0.9864864864864865,0.9594594594594594,1.0,0.9575289575289576,0.22216,0.15791,1.79628,0.12832,0.21035,1.095,1.17686,0,0
scene-1290_1490-easy-00,ideal,static,complete,75,0.9161904761904761,1.0,1.0,0.9733333333333334,0.92,1.0,0.9161904761904761,0.00303,0.00728,0.05257,0.0003,0.0039,0.0265,0.13407,0,0
scene-1290_1490-easy-00,official,static,bg_collision,35,0.4457686343682121,0.46872667562322734,1.0,0.9714285714285714,0.9714285714285714,1.0,0.9510204081632653,0.18059,0.20802,1.20582,0.12472,0.1707,1.5325,1.32869,0,0
scene-1290_1490-hard-00,fixed,actor,fg_collision,14,0.018598572433899663,0.1656963725929243,0.2857142857142857,0.9285714285714286,0.14285714285714285,1.0,0.11224489795918366,0.11037,0.22242,0.94826,0.06816,0.10625,0.1372,0.41769,0,0
scene-1290_1490-hard-00,ideal,actor,fg_collision,16,0.012439667612081404,0.17415534656913967,0.375,0.875,0.125,1.0,0.07142857142857142,0.00101,0.01275,0.01928,0.00018,0.00095,0.0021,0.05873,0,0
scene-1290_1490-hard-00,official,actor,fg_collision,14,0.03089099500077684,0.1681843061153406,0.35714285714285715,0.9285714285714286,0.21428571428571427,1.0,0.18367346938775508,0.03412,0.24563,0.53253,0.0248,0.03525,0.1707,0.69013,0,0
scene-130854534658-easy-00,fixed,static,complete,65,0.8923076923076924,1.0,0.8923076923076924,1.0,0.9538461538461539,1.0,0.8923076923076924,0.40319,0.03748,5.66638,0.2292,0.3584,0.7493,1.57907,0,0
scene-130854534658-easy-00,ideal,static,complete,67,0.9104477611940298,1.0,0.9104477611940298,1.0,0.9701492537313433,1.0,0.9104477611940298,0.00458,0.00501,0.11564,0.00034,0.0046,0.2673,0.33346,0,0
scene-130854534658-easy-00,official,static,complete,62,0.8594470046082948,1.0,0.9516129032258065,1.0,0.8709677419354839,1.0,0.8594470046082948,0.46095,0.09473,12.14113,0.27733,0.4203,1.8125,2.76853,0,0
scene-130854534658-hard-00,fixed,actor,complete,65,0.8923076923076924,1.0,0.8923076923076924,1.0,0.9538461538461539,1.0,0.8923076923076924,0.40319,0.03748,5.66638,0.2292,0.3584,0.7493,1.57907,0,0
scene-130854534658-hard-00,ideal,actor,complete,67,0.9104477611940298,1.0,0.9104477611940298,1.0,0.9701492537313433,1.0,0.9104477611940298,0.00458,0.00501,0.11564,0.00034,0.0046,0.2673,0.33346,0,0
scene-130854534658-hard-00,official,actor,fg_collision,24,0.34649991745088327,0.3615651312530956,0.9583333333333334,1.0,1.0,1.0,0.9583333333333334,0.5118,0.13683,16.8079,0.32242,0.4993,1.6114,6.35754,0,0
scene-2800_3000-easy-00,fixed,static,complete,76,0.7349624060150376,1.0,0.7631578947368421,0.9605263157894737,0.75,1.0,0.7349624060150376,0.05581,0.10143,0.58388,0.03515,0.0563,0.4704,0.51652,0,0
scene-2800_3000-easy-00,ideal,static,bg_collision,1,0.0,0.01088914017673912,0.0,0.0,0.0,1.0,0.0,nan,nan,nan,nan,0.4704,0.4704,1.40547,0,0
scene-2800_3000-easy-00,official,static,complete,74,0.7277992277992279,1.0,0.7567567567567568,0.9594594594594594,0.7432432432432432,1.0,0.7277992277992279,0.16737,0.11647,1.25402,0.10949,0.1742,0.4704,0.89496,0,0
