scenario,dataset,difficulty,agent,controller,tag,hdscore,rc,nc,dac,ttc,c,pdms,steps,end,wall_s,rc_code,finished,scene,run_dir
scene-0071-easy-00,nuscenes,easy,preset,ideal,preset-ideal,0.922077922077922,1.0,0.9818181818181818,1.0,0.9272727272727272,0.9272727272727272,0.922077922077922,55,complete,27.5,0,2026-09-25 15:31:37,scene-0071,/root/autodl-tmp/ujs/runs/infra-accept/hugsim/preset-ideal/pre/scene-0071_easy_00
scene-0071-easy-00,nuscenes,easy,preset,official,preset-official,0.9730458221024259,1.0,1.0,1.0,1.0,0.9056603773584906,0.9730458221024259,53,complete,27.6,0,2026-09-25 15:31:37,scene-0071,/root/autodl-tmp/ujs/runs/infra-accept/hugsim/preset-official/pre/scene-0071_easy_00
scene-0071-easy-00,nuscenes,easy,preset,fixed,preset-fixed,0.9841269841269841,1.0,1.0,1.0,1.0,0.9444444444444444,0.9841269841269841,54,complete,28.9,0,2026-09-25 15:31:38,scene-0071,/root/autodl-tmp/ujs/runs/infra-accept/hugsim/preset-fixed/pre/scene-0071_easy_00
scene-0383-easy-00,nuscenes,easy,preset,ideal,preset-ideal,0.9830508474576272,1.0,0.9830508474576272,1.0,1.0,1.0,0.9830508474576272,59,complete,29.6,0,2026-09-25 15:32:06,scene-0383,/root/autodl-tmp/ujs/runs/infra-accept/hugsim/preset-ideal/pre/scene-0383_easy_00
scene-0383-easy-00,nuscenes,easy,preset,official,preset-official,0.8467532467532466,1.0,1.0,1.0,0.8,0.9636363636363636,0.8467532467532466,55,complete,31.0,0,2026-09-25 15:32:08,scene-0383,/root/autodl-tmp/ujs/runs/infra-accept/hugsim/preset-official/pre/scene-0383_easy_00
scene-0383-easy-00,nuscenes,easy,preset,fixed,preset-fixed,1.0,1.0,1.0,1.0,1.0,1.0,1.0,58,complete,31.1,0,2026-09-25 15:32:09,scene-0383,/root/autodl-tmp/ujs/runs/infra-accept/hugsim/preset-fixed/pre/scene-0383_easy_00
scene-0920-easy-00,nuscenes,easy,preset,ideal,preset-ideal,0.8163265306122447,1.0,0.9821428571428571,1.0,0.75,1.0,0.8163265306122447,56,complete,23.6,0,2026-09-25 15:32:30,scene-0920,/root/autodl-tmp/ujs/runs/infra-accept/hugsim/preset-ideal/pre/scene-0920_easy_00
scene-0920-easy-00,nuscenes,easy,preset,official,preset-official,0.7628032345013475,1.0,0.9811320754716981,1.0,0.6981132075471698,0.9433962264150944,0.7628032345013475,53,complete,26.3,0,2026-09-25 15:32:34,scene-0920,/root/autodl-tmp/ujs/runs/infra-accept/hugsim/preset-official/pre/scene-0920_easy_00
scene-0920-easy-00,nuscenes,easy,preset,fixed,preset-fixed,0.829081632653061,1.0,0.9821428571428571,1.0,0.7678571428571429,1.0,0.829081632653061,56,complete,27.4,0,2026-09-25 15:32:37,scene-0920,/root/autodl-tmp/ujs/runs/infra-accept/hugsim/preset-fixed/pre/scene-0920_easy_00
scene-130854534658-easy-00,waymo,easy,preset,ideal,preset-ideal,0.9104477611940298,1.0,0.9104477611940298,1.0,0.9701492537313433,1.0,0.9104477611940298,67,complete,39.8,0,2026-09-25 15:33:10,130854534658_0_200,/root/autodl-tmp/ujs/runs/infra-accept/hugsim/preset-ideal/pre/130854534658_0_200_easy_00
scene-130854534658-easy-00,waymo,easy,preset,official,preset-official,0.8594470046082948,1.0,0.9516129032258065,1.0,0.8709677419354839,1.0,0.8594470046082948,62,complete,39.8,0,2026-09-25 15:33:14,130854534658_0_200,/root/autodl-tmp/ujs/runs/infra-accept/hugsim/preset-official/pre/130854534658_0_200_easy_00
scene-130854534658-easy-00,waymo,easy,preset,fixed,preset-fixed,0.8923076923076924,1.0,0.8923076923076924,1.0,0.9538461538461539,1.0,0.8923076923076924,65,complete,40.1,0,2026-09-25 15:33:17,130854534658_0_200,/root/autodl-tmp/ujs/runs/infra-accept/hugsim/preset-fixed/pre/130854534658_0_200_easy_00
scene-113792265837-easy-00,waymo,easy,preset,ideal,preset-ideal,1.0,1.0,1.0,1.0,1.0,1.0,1.0,72,complete,42.4,0,2026-09-25 15:33:52,113792265837_0_200,/root/autodl-tmp/ujs/runs/infra-accept/hugsim/preset-ideal/pre/113792265837_0_200_easy_00
