direction,tap,family,compare,subset,n,value,delta,lo,hi,halfwidth
0,L18_last,cls,head top-1 - ridge_late,pre_onset dec1-9,625,2.949122905731201,1.10885751247406,0.8857223677140975,1.3372797550043622,0.22577869364513237
0,L18_last,cls,vision increment: head family - ridge,pre_onset dec1-9,625,-0.0010255157249048352,0.05209166929125786,-0.11184238115203834,0.2333931229981522,0.17261775207509528
0,L18_last,cls,head top-1 - ridge_late,straight dec1-9,5410,2.9904837608337402,1.5913262367248535,1.3296519255169286,1.8946238414491157,0.28248595796609355
0,L18_last,cls,vision increment: head family - ridge,straight dec1-9,5410,0.24565386772155762,0.27883946895599365,0.13060569919604467,0.4604030794121499,0.16489869010805264
0,L18_last,cls,RFS head top-1 - ridge_late,rater frames,237,6.764246142962794,-0.3966008964283889,-0.7121922297450184,-0.09482485601135916,0.3086836868668296
0,L18_last,diff,head top-1 - ridge_late,pre_onset dec1-9,625,2.9373297691345215,1.09706449508667,0.831194720019196,1.3859885820330577,0.27739693100693086
0,L18_last,diff,vision increment: head family - ridge,pre_onset dec1-9,625,0.5196982622146606,0.572815477848053,0.29218582555068245,0.8568081196982302,0.2823111470737739
0,L18_last,diff,head top-1 - ridge_late,straight dec1-9,5410,2.309441328048706,0.9102839827537537,0.6700886853801187,1.1883813584470384,0.25914633653345986
0,L18_last,diff,vision increment: head family - ridge,straight dec1-9,5410,0.6368787884712219,0.6700643301010132,0.4448956230007929,0.9253157097560959,0.2402100433776515
0,L18_last,diff,RFS head top-1 - ridge_late,rater frames,237,7.212580968433429,0.051733929042246565,-0.22371756127546957,0.33453840928128314,0.27912798527837634
0,L18_mean,cls,head top-1 - ridge_late,pre_onset dec1-9,625,2.9131152629852295,1.0607894659042358,0.8403737916021558,1.2882492354307722,0.22393772191430822
0,L18_mean,cls,vision increment: head family - ridge,pre_onset dec1-9,625,-0.03703298419713974,0.004023585468530655,-0.148244007821969,0.1690764314145208,0.1586602196182449
0,L18_mean,cls,head top-1 - ridge_late,straight dec1-9,5410,2.953831911087036,1.5896973609924316,1.345696385242029,1.8613181942655888,0.2578109045117799
0,L18_mean,cls,vision increment: head family - ridge,straight dec1-9,5410,0.20900197327136993,0.277210533618927,0.14617746463161585,0.42558274480377556,0.13970264008607985
0,L18_mean,cls,RFS head top-1 - ridge_late,rater frames,237,6.8409463045581065,-0.2896532769497558,-0.6263195927326094,0.019908977536812842,0.32311428513471113
0,L18_mean,diff,head top-1 - ridge_late,pre_onset dec1-9,625,2.8302090167999268,0.9778832197189331,0.6741911614049301,1.2315116105164359,0.2786602245557529
0,L18_mean,diff,vision increment: head family - ridge,pre_onset dec1-9,625,0.41257762908935547,0.45363423228263855,0.18640611035629392,0.7232076139205875,0.2684007517821468
0,L18_mean,diff,head top-1 - ridge_late,straight dec1-9,5410,2.411587953567505,1.0474534034729004,0.795192702155649,1.3406177748953865,0.27271253636986875
0,L18_mean,diff,vision increment: head family - ridge,straight dec1-9,5410,0.7390252947807312,0.8072338700294495,0.5646680577170542,1.0948562241762503,0.26509408322959804
0,L18_mean,diff,RFS head top-1 - ridge_late,rater frames,237,7.2625384122698,0.13193883076193677,-0.18192383588963065,0.4407967108592886,0.31136027337445965
1,L18_last,cls,head top-1 - ridge_late,pre_onset dec1-9,640,2.985858201980591,1.1684620380401611,0.8698577224726385,1.4847867448372485,0.307464511182305
1,L18_last,cls,vision increment: head family - ridge,pre_onset dec1-9,640,-0.2164381444454193,-0.1710248589515686,-0.36614952975331466,0.01618746481515831,0.1911684972842365
1,L18_last,cls,head top-1 - ridge_late,straight dec1-9,5235,2.7409353256225586,1.3073185682296753,1.0527759553958864,1.5877558036318304,0.267489924117972
1,L18_last,cls,vision increment: head family - ridge,straight dec1-9,5235,0.04361671209335327,0.06558363884687424,-0.041936974305521894,0.18147394607742415,0.11170546019147302
1,L18_last,cls,RFS head top-1 - ridge_late,rater frames,241,6.64817307933398,-0.41116371267482693,-0.7198456774752109,-0.11216962034846321,0.30383802856337383
1,L18_last,diff,head top-1 - ridge_late,pre_onset dec1-9,640,2.852097272872925,1.0347011089324951,0.7466166307616885,1.3441295575807861,0.2987564634095488
1,L18_last,diff,vision increment: head family - ridge,pre_onset dec1-9,640,0.4184792935848236,0.46389254927635193,0.20928124160464326,0.7269936000180253,0.258856179206691
1,L18_last,diff,head top-1 - ridge_late,straight dec1-9,5235,2.281081438064575,0.8474648594856262,0.5972712489656963,1.195673684549675,0.2992012177919893
1,L18_last,diff,vision increment: head family - ridge,straight dec1-9,5235,0.6840247511863708,0.7059916853904724,0.46881529817706896,1.0323807846784643,0.28178274325069763
1,L18_last,diff,RFS head top-1 - ridge_late,rater frames,241,7.150792962767165,0.09145617075835745,-0.22087784448107653,0.382478453157731,0.30167814881940375
1,L18_mean,cls,head top-1 - ridge_late,pre_onset dec1-9,640,2.9929397106170654,1.2122831344604492,0.9268808210492261,1.5217329986574664,0.29742608880412014
1,L18_mean,cls,vision increment: head family - ridge,pre_onset dec1-9,640,-0.20935669541358948,-0.12720392644405365,-0.32382026681638565,0.05343098256525268,0.18862562469081917
1,L18_mean,cls,head top-1 - ridge_late,straight dec1-9,5235,2.7298710346221924,1.3196730613708496,1.0559172335192482,1.6129475999825678,0.2785151832316598
1,L18_mean,cls,vision increment: head family - ridge,straight dec1-9,5235,0.03255261480808258,0.0779380276799202,-0.046253905778583876,0.20831286192017706,0.12728338384938048
1,L18_mean,cls,RFS head top-1 - ridge_late,rater frames,241,6.6855670316630045,-0.32466124283937897,-0.6368459705871836,-0.015740249327912934,0.31055286062963533
1,L18_mean,diff,head top-1 - ridge_late,pre_onset dec1-9,640,3.063520908355713,1.2828642129898071,0.9705270146945661,1.5683597872366914,0.29891638627106265
1,L18_mean,diff,vision increment: head family - ridge,pre_onset dec1-9,640,0.6299029588699341,0.7120557427406311,0.42249034902911214,1.0129650320590304,0.2952373415149592
1,L18_mean,diff,head top-1 - ridge_late,straight dec1-9,5235,2.43831467628479,1.0281164646148682,0.6855135680076274,1.4350640556415255,0.37477524381694904
