direction,arm,lam,sel_ade,d,K,sel_iter_mean,sel_iter_max,sel_not_converged,iter_mean,iter_max,not_converged,epochs,params,M
0,ridge ego,3.162277660168379e-06,1.9832495152950287,,,,,,,,,,,
0,A ridge_late qwenvid L18_last,31.622776601683796,1.9434709548950195,2560.0,,,,,,,,,,
0,A ridge_late qwenvid L18_mean,31.622776601683796,1.9294748306274414,2560.0,,,,,,,,,,
0,cls ego K1024,1e-06,2.9489972591400146,,1024.0,435.1111111111111,600.0,4.0,600.0,600.0,1.0,,,
0,cls_late qwenvid L18_last,10.0,3.0949525833129883,,1024.0,284.44444444444446,600.0,2.0,113.0,113.0,0.0,,,
0,cls_late qwenvid L18_mean,10.0,3.0717368125915527,,1024.0,279.1111111111111,600.0,1.0,113.0,113.0,0.0,,,
0,diff ego M20,,1.9339351654052734,,,,,,,,,52.0,1764137.0,20.0
0,diff qwenvid L18_last,,2.4397847652435303,,,,,,,,,48.0,2420265.0,20.0
0,diff qwenvid L18_mean,,2.4265501499176025,,,,,,,,,54.0,2420265.0,20.0
1,ridge ego,1e-06,2.0030508041381836,,,,,,,,,,,
1,A ridge_late qwenvid L18_last,31.622776601683796,1.932360589504242,2560.0,,,,,,,,,,
1,A ridge_late qwenvid L18_mean,10.0,1.8906482458114624,2560.0,,,,,,,,,,
1,cls ego K1024,1e-06,3.472622871398926,,1024.0,438.3333333333333,600.0,3.0,600.0,600.0,1.0,,,
1,cls_late qwenvid L18_last,10.0,3.5455732345581055,,1024.0,331.22222222222223,600.0,3.0,332.0,332.0,0.0,,,
1,cls_late qwenvid L18_mean,10.0,3.5406417846679688,,1024.0,341.3333333333333,600.0,2.0,308.0,308.0,0.0,,,
1,diff ego M20,,2.0841946601867676,,,,,,,,,53.0,1764137.0,20.0
1,diff qwenvid L18_last,,2.594055414199829,,,,,,,,,51.0,2420265.0,20.0
1,diff qwenvid L18_mean,,2.5811893939971924,,,,,,,,,36.0,2420265.0,20.0
