base_id,seed,family,reason_ba,n_obs_ba,n_reactive_ba,lead_s_ba,d_min_ba,d_reactive_median_ba,reason_pdm,n_obs_pdm,n_reactive_pdm,lead_s_pdm,d_min_pdm,d_reactive_median_pdm
10552,0,VehicleTurningRoutePedestrian,ok,76.0,0.0,,0.0,,ok,176.0,0.0,,0.0,
10552,1,VehicleTurningRoutePedestrian,ok,76.0,0.0,,0.0,,ok,176.0,0.0,,0.0,
10552,2,VehicleTurningRoutePedestrian,ok,76.0,0.0,,0.0,,ok,176.0,0.0,,0.0,
10791,0,VehicleTurningRoutePedestrian,ok,76.0,0.0,,0.0,,ok,149.0,0.0,,0.0,
10791,1,VehicleTurningRoutePedestrian,ok,76.0,0.0,,0.0,,ok,150.0,0.0,,0.0,
10791,2,VehicleTurningRoutePedestrian,ok,76.0,0.0,,0.0,,ok,149.0,0.0,,-0.0009775161743164062,
10793,0,VehicleTurningRoutePedestrian,ok,27.0,0.0,,0.0,,ok,22.0,0.0,,0.0,
10793,1,VehicleTurningRoutePedestrian,ok,27.0,0.0,,-0.007910728454589844,,ok,14.0,0.0,,-2.86102294921875e-06,
10793,2,VehicleTurningRoutePedestrian,ok,27.0,0.0,,-0.07478952407836914,,ok,13.0,0.0,,-0.39975786209106445,
10857,0,VehicleTurningRoutePedestrian,ok,28.0,0.0,,-0.08687734603881836,,ok,15.0,5.0,2.0,-4.7202982902526855,-1.6632475852966309
10857,1,VehicleTurningRoutePedestrian,ok,27.0,0.0,,-0.023146629333496094,,ok,15.0,6.0,1.8,-6.188081741333008,-2.4279680252075195
10857,2,VehicleTurningRoutePedestrian,ok,27.0,0.0,,-0.22756099700927734,,ok,20.0,5.0,3.0,-8.124983087182045,-6.592779994010925
11010,0,VehicleTurningRoutePedestrian,ok,76.0,0.0,,0.0,,ok,79.0,0.0,,-0.2685580253601074,
11010,1,VehicleTurningRoutePedestrian,ok,76.0,0.0,,0.0,,ok,92.0,0.0,,0.0,
11010,2,VehicleTurningRoutePedestrian,ok,76.0,0.0,,0.0,,ok,78.0,0.0,,0.0,
11177,0,VehicleTurningRoutePedestrian,ok,76.0,0.0,,0.0,,ok,176.0,0.0,,0.0,
11177,1,VehicleTurningRoutePedestrian,ok,76.0,0.0,,0.0,,ok,176.0,0.0,,0.0,
11177,2,VehicleTurningRoutePedestrian,ok,76.0,0.0,,0.0,,ok,176.0,0.0,,0.0,
11215,0,VehicleTurningRoutePedestrian,ok,76.0,0.0,,0.0,,ok,176.0,0.0,,0.0,
11215,1,VehicleTurningRoutePedestrian,ok,76.0,0.0,,0.0,,ok,176.0,0.0,,0.0,
11215,2,VehicleTurningRoutePedestrian,ok,76.0,0.0,,0.0,,ok,176.0,0.0,,0.0,
11333,0,VehicleTurningRoutePedestrian,ok,76.0,0.0,,0.0,,ok,84.0,3.0,16.2,-8.021355424076319,-5.423635244369507
11333,1,VehicleTurningRoutePedestrian,ok,76.0,0.0,,0.0,,ok,79.0,5.0,14.8,-5.614648103713989,-2.567976951599121
11333,2,VehicleTurningRoutePedestrian,ok,76.0,0.0,,0.0,,ok,78.0,5.0,14.600000000000001,-6.52761173248291,-3.0982933044433594
11381,0,VehicleTurningRoutePedestrian,ok,76.0,0.0,,0.0,,ok,176.0,0.0,,0.0,
11381,1,VehicleTurningRoutePedestrian,ok,76.0,0.0,,0.0,,ok,176.0,0.0,,0.0,
11381,2,VehicleTurningRoutePedestrian,ok,76.0,0.0,,0.0,,ok,176.0,0.0,,0.0,
13674,0,PedestrianCrossing,ok,20.0,0.0,,0.0,,ok,8.0,0.0,,0.0,
13674,1,PedestrianCrossing,ok,20.0,0.0,,0.0,,ok,8.0,0.0,,0.0,
13674,2,PedestrianCrossing,ok,20.0,0.0,,0.0,,ok,8.0,0.0,,0.0,
14194,0,PedestrianCrossing,ok,14.0,1.0,1.2000000000000002,-0.5693354606628418,-0.5693354606628418,ok,4.0,1.0,0.6000000000000001,-0.7822864055633545,-0.7822864055633545
14194,1,PedestrianCrossing,ok,14.0,1.0,1.2000000000000002,-0.5693354606628418,-0.5693354606628418,ok,3.0,0.0,,-0.41503024101257324,
14194,2,PedestrianCrossing,ok,14.0,1.0,1.2000000000000002,-0.5693354606628418,-0.5693354606628418,ok,3.0,1.0,0.0,-0.4921882152557373,0.5360026359558105
14382,0,PedestrianCrossing,ok,17.0,8.0,1.8,-7.48910044785589,-7.26293825940229,ok,5.0,2.0,0.2,-2.025853157043457,0.14699745178222656
14382,1,PedestrianCrossing,ok,17.0,8.0,1.8,-7.488404742442071,-7.264755008975044,ok,6.0,3.0,0.2,-1.0837996006011963,0.8852910399436951
14382,2,PedestrianCrossing,ok,17.0,8.0,1.8,-7.488404742442071,-7.264755008975044,ok,6.0,2.0,0.2,-1.2331132888793945,0.601114422082901
14842,0,Light,background_drift,0.0,0.0,,,,expert_reacted_before_visible,0.0,0.0,,,
14842,1,Light,background_drift,0.0,0.0,,,,expert_reacted_before_visible,0.0,0.0,,,
14842,2,Light,background_drift,0.0,0.0,,,,expert_reacted_before_visible,0.0,0.0,,,
14862,0,Light,ok,1.0,1.0,0.0,-6.716616630554199,-6.716616630554199,expert_reacted_before_visible,0.0,0.0,,,
14862,1,Light,ok,1.0,1.0,0.0,-6.723601341247559,-6.723601341247559,expert_reacted_before_visible,0.0,0.0,,,
14862,2,Light,ok,1.0,1.0,0.0,-6.716616630554199,-6.716616630554199,expert_reacted_before_visible,0.0,0.0,,,
14909,0,Light,ok,1.0,1.0,0.0,-6.696638107299805,-6.696638107299805,background_drift,0.0,0.0,,,
14909,1,Light,ok,1.0,1.0,0.0,-6.696638107299805,-6.696638107299805,background_drift,0.0,0.0,,,
14909,2,Light,ok,1.0,1.0,0.0,-6.6673712730407715,-6.6673712730407715,background_drift,0.0,0.0,,,
14955,0,Light,background_drift,0.0,0.0,,,,ok,0.0,0.0,,,
14955,1,Light,background_drift,0.0,0.0,,,,ok,0.0,0.0,,,
14955,2,Light,background_drift,0.0,0.0,,,,ok,0.0,0.0,,,
15071,0,Light,never_visible,0.0,0.0,,,,expert_reacted_before_visible,0.0,0.0,,,
15071,1,Light,never_visible,0.0,0.0,,,,expert_reacted_before_visible,0.0,0.0,,,
15071,2,Light,never_visible,0.0,0.0,,,,expert_reacted_before_visible,0.0,0.0,,,
15102,0,Light,never_visible,0.0,0.0,,,,expert_reacted_before_visible,0.0,0.0,,,
15102,1,Light,never_visible,0.0,0.0,,,,expert_reacted_before_visible,0.0,0.0,,,
15102,2,Light,never_visible,0.0,0.0,,,,expert_reacted_before_visible,0.0,0.0,,,
15483,0,Light,background_drift,0.0,0.0,,,,background_drift,0.0,0.0,,,
15483,1,Light,background_drift,0.0,0.0,,,,background_drift,0.0,0.0,,,
15483,2,Light,background_drift,0.0,0.0,,,,background_drift,0.0,0.0,,,
15612,0,Light,ok,0.0,0.0,,,,expert_reacted_before_visible,0.0,0.0,,,
15612,1,Light,ok,0.0,0.0,,,,expert_reacted_before_visible,0.0,0.0,,,
15612,2,Light,ok,0.0,0.0,,,,expert_reacted_before_visible,0.0,0.0,,,
16390,0,Light,ok,0.0,0.0,,,,ok,0.0,0.0,,,
16390,1,Light,ok,0.0,0.0,,,,ok,0.0,0.0,,,
16390,2,Light,ok,0.0,0.0,,,,ok,0.0,0.0,,,
1711,0,ParkingCutIn,ok,36.0,9.0,6.2,-5.31369948387146,-4.418683052062988,ok,20.0,9.0,3.0,-7.127036094665527,-3.8632922172546387
1711,1,ParkingCutIn,ok,36.0,9.0,6.2,-5.220675230026245,-3.3599960803985596,ok,20.0,9.0,3.0,-5.737359523773193,-4.409187316894531
1711,2,ParkingCutIn,ok,36.0,9.0,6.2,-5.421383619308472,-3.7348697185516357,ok,20.0,9.0,3.0,-7.402400970458984,-4.002956390380859
17749,0,DynamicObjectCrossing,ok,12.0,8.0,0.8,-7.412189470604062,-6.952058993279934,ok,3.0,3.0,0.0,-6.270028352737427,-5.911002159118652
