level,route,seed,arm,step,sim_time_s,ds,rc,x,y,nearest_xml_turn_or_trigger_m,status
2,2084,0,C,512,25.650000382214785,50.76,50.76,-1347.8511962890625,5323.1357421875,44.14885047397447,Failed - Agent deviated from the route
2,2084,0,D,516,25.850000385195017,50.76,50.76,-1347.7796630859375,5323.134765625,44.22038503130519,Failed - Agent deviated from the route
2,2084,1,C,3536,176.85000263527036,30.456,50.76,-1347.4996337890625,5320.49169921875,44.58270388871974,Failed - Agent deviated from the route
2,2084,1,D,522,26.150000389665365,50.76,50.76,-1347.892578125,5323.1328125,44.10747304731235,Failed - Agent deviated from the route
2,2084,2,C,473,23.70000035315752,50.76,50.76,-1347.845703125,5323.142578125,44.154334213045985,Failed - Agent deviated from the route
2,2084,2,D,479,24.00000035762787,50.76,50.76,-1347.786376953125,5323.13720703125,44.21366763669443,Failed - Agent deviated from the route
2,27529,0,C,474,23.75000035390258,50.02,50.02,229.29312133789062,-249.51544189453125,42.007842461242504,Failed - Agent deviated from the route
2,27529,0,D,465,23.300000347197056,24.0096,50.02,229.08108520507812,-249.52603149414062,42.21980370872272,Failed - Agent deviated from the route
2,27529,1,C,459,23.000000342726707,40.016,50.02,229.2346649169922,-249.52310180664062,42.0662464246005,Failed - Agent deviated from the route
2,27529,1,D,457,22.90000034123659,24.0096,50.02,229.20384216308594,-249.53030395507812,42.09702175435964,Failed - Agent deviated from the route
2,27529,2,C,520,26.05000038817525,40.016,50.02,229.39817810058594,-249.5283966064453,41.902702143102985,Failed - Agent deviated from the route
2,27529,2,D,543,27.200000405311584,50.02,50.02,229.34996032714844,-249.52264404296875,41.95095654309591,Failed - Agent deviated from the route
