level,route,seed,arm,window_kind,step,sim_time_s,ego_x,ego_y,distance_to_dense_bend_m,prediction,endpoint_correct_dense_m,endpoint_wrong_straight_m,wrong_preferred_margin_2m
2,2084,0,C,approach,0,0.05000000074505806,-1416.0086669921875,5323.17724609375,32.40491917879269,route,,,False
2,2084,0,C,approach,0,0.05000000074505806,-1416.0086669921875,5323.17724609375,32.40491917879269,waypoint,,,False
2,2084,0,C,approach,1,0.10000000149011612,-1416.0086669921875,5323.17724609375,32.40491917879269,route,20.899710450194355,20.899710450194355,False
2,2084,0,C,approach,1,0.10000000149011612,-1416.0086669921875,5323.17724609375,32.40491917879269,waypoint,24.51429446105105,24.51429446105105,False
2,2084,0,C,approach,2,0.15000000223517418,-1416.0086669921875,5323.17724609375,32.40491917879269,route,20.89710693821996,20.89710693821996,False
2,2084,0,C,approach,2,0.15000000223517418,-1416.0086669921875,5323.17724609375,32.40491917879269,waypoint,25.323865046577136,25.323865046577136,False
2,2084,0,C,approach,3,0.20000000298023224,-1416.0086669921875,5323.17724609375,32.40491917879269,route,20.90491955853119,20.90491955853119,False
2,2084,0,C,approach,3,0.20000000298023224,-1416.0086669921875,5323.17724609375,32.40491917879269,waypoint,25.457328444008688,25.457328444008688,False
2,2084,0,C,approach,4,0.2500000037252903,-1416.0086669921875,5323.17724609375,32.40491917879269,route,20.899710320612748,20.899710320612748,False
2,2084,0,C,approach,4,0.2500000037252903,-1416.0086669921875,5323.17724609375,32.40491917879269,waypoint,25.47653371286849,25.47653371286849,False
2,2084,0,C,approach,5,0.30000000447034836,-1416.0086669921875,5323.17724609375,32.40491917879269,route,20.90491945770834,20.90491945770834,False
2,2084,0,C,approach,5,0.30000000447034836,-1416.0086669921875,5323.17724609375,32.40491917879269,waypoint,25.490857222268673,25.490857222268673,False
2,2084,0,C,approach,6,0.3500000052154064,-1416.0086669921875,5323.17724609375,32.40491917879269,route,20.891897962794886,20.891897962794886,False
2,2084,0,C,approach,6,0.3500000052154064,-1416.0086669921875,5323.17724609375,32.40491917879269,waypoint,25.415336186743314,25.415336186743314,False
2,2084,0,C,approach,7,0.4000000059604645,-1416.0089111328125,5323.17724609375,32.405163319327634,route,20.89995577909779,20.89995577909779,False
2,2084,0,C,approach,7,0.4000000059604645,-1416.0089111328125,5323.17724609375,32.405163319327634,waypoint,25.532280386795378,25.532280386795378,False
2,2084,0,C,approach,8,0.45000000670552254,-1416.0089111328125,5323.17724609375,32.405163319327634,route,20.897351053770173,20.897351053770173,False
2,2084,0,C,approach,8,0.45000000670552254,-1416.0089111328125,5323.17724609375,32.405163319327634,waypoint,25.598523030115267,25.598523030115267,False
2,2084,0,C,approach,9,0.5000000074505806,-1416.0089111328125,5323.17724609375,32.405163319327634,route,20.89735177022819,20.89735177022819,False
2,2084,0,C,approach,9,0.5000000074505806,-1416.0089111328125,5323.17724609375,32.405163319327634,waypoint,25.740450490172556,25.740450490172556,False
2,2084,0,C,approach,10,0.5500000081956387,-1416.0089111328125,5323.17724609375,32.405163319327634,route,20.892142033049865,20.892142033049865,False
2,2084,0,C,approach,10,0.5500000081956387,-1416.0089111328125,5323.17724609375,32.405163319327634,waypoint,25.68885517851962,25.68885517851962,False
2,2084,0,C,approach,11,0.6000000089406967,-1416.0089111328125,5323.17724609375,32.405163319327634,route,20.905163471195362,20.905163471195362,False
2,2084,0,C,approach,11,0.6000000089406967,-1416.0089111328125,5323.17724609375,32.405163319327634,waypoint,25.739148090995663,25.739148090995663,False
2,2084,0,C,approach,12,0.6500000096857548,-1416.0089111328125,5323.17724609375,32.405163319327634,route,20.899954543903036,20.899954543903036,False
2,2084,0,C,approach,12,0.6500000096857548,-1416.0089111328125,5323.17724609375,32.405163319327634,waypoint,25.615775667173043,25.615775667173043,False
2,2084,0,C,approach,13,0.7000000104308128,-1416.0089111328125,5323.17724609375,32.405163319327634,route,20.899954778055804,20.899954778055804,False
2,2084,0,C,approach,13,0.7000000104308128,-1416.0089111328125,5323.17724609375,32.405163319327634,waypoint,25.55571724513256,25.55571724513256,False
2,2084,0,C,approach,14,0.7500000111758709,-1416.0089111328125,5323.17724609375,32.405163319327634,route,20.899956318766115,20.899956318766115,False
2,2084,0,C,approach,14,0.7500000111758709,-1416.0089111328125,5323.17724609375,32.405163319327634,waypoint,25.453341365400455,25.453341365400455,False
2,2084,0,C,approach,15,0.800000011920929,-1416.0089111328125,5323.17724609375,32.405163319327634,route,20.897351072412953,20.897351072412953,False
2,2084,0,C,approach,15,0.800000011920929,-1416.0089111328125,5323.17724609375,32.405163319327634,waypoint,25.424694919757123,25.424694919757123,False
2,2084,0,C,approach,16,0.850000012665987,-1416.0089111328125,5323.17724609375,32.405163319327634,route,20.897351389120583,20.897351389120583,False
2,2084,0,C,approach,16,0.850000012665987,-1416.0089111328125,5323.17724609375,32.405163319327634,waypoint,25.54741637879883,25.54741637879883,False
2,2084,0,C,approach,17,0.9000000134110451,-1416.0089111328125,5323.17724609375,32.405163319327634,route,20.897351628629007,20.897351628629007,False
2,2084,0,C,approach,17,0.9000000134110451,-1416.0089111328125,5323.17724609375,32.405163319327634,waypoint,25.495333020548713,25.495333020548713,False
2,2084,0,C,approach,18,0.9500000141561031,-1416.0089111328125,5323.17724609375,32.405163319327634,route,20.897351306808847,20.897351306808847,False
2,2084,0,C,approach,18,0.9500000141561031,-1416.0089111328125,5323.17724609375,32.405163319327634,waypoint,25.51714271732094,25.51714271732094,False
2,2084,0,C,approach,19,1.0000000149011612,-1416.0089111328125,5323.17724609375,32.405163319327634,route,20.894746885784915,20.894746885784915,False
2,2084,0,C,approach,19,1.0000000149011612,-1416.0089111328125,5323.17724609375,32.405163319327634,waypoint,25.379773134126886,25.379773134126886,False
2,2084,0,C,approach,20,1.0500000156462193,-1415.9949951171875,5323.17724609375,32.39124730883755,route,20.886039805423618,20.886039805423618,False
2,2084,0,C,approach,20,1.0500000156462193,-1415.9949951171875,5323.17724609375,32.39124730883755,waypoint,24.766248275723818,24.766248275723818,False
2,2084,0,C,approach,21,1.1000000163912773,-1415.9644775390625,5323.17724609375,32.36072974198878,route,20.850317076197527,20.850317076197527,False
2,2084,0,C,approach,21,1.1000000163912773,-1415.9644775390625,5323.17724609375,32.36072974198878,waypoint,24.42778969572697,24.42778969572697,False
2,2084,0,C,approach,22,1.1500000171363354,-1415.926513671875,5323.17724609375,32.32276588885863,route,20.817558156605262,20.817558156605262,False
2,2084,0,C,approach,22,1.1500000171363354,-1415.926513671875,5323.17724609375,32.32276588885863,waypoint,24.447115479772474,24.447115479772474,False
2,2084,0,C,approach,23,1.2000000178813934,-1415.8858642578125,5323.1767578125,32.28211607260553,route,20.776909784171828,20.776909784171828,False
2,2084,0,C,approach,23,1.2000000178813934,-1415.8858642578125,5323.1767578125,32.28211607260553,waypoint,24.247611906388787,24.247611906388787,False
2,2084,0,C,approach,24,1.2500000186264515,-1415.839599609375,5323.1767578125,32.23585144078816,route,20.730647135812678,20.730647135812678,False
2,2084,0,C,approach,24,1.2500000186264515,-1415.839599609375,5323.1767578125,32.23585144078816,waypoint,23.99757326757338,23.99757326757338,False
2,2084,0,C,approach,25,1.3000000193715096,-1415.7882080078125,5323.1767578125,32.18445985774361,route,20.679252073454315,20.679252073454315,False
2,2084,0,C,approach,25,1.3000000193715096,-1415.7882080078125,5323.1767578125,32.18445985774361,waypoint,23.551647799016678,23.551647799016678,False
2,2084,0,C,approach,26,1.3500000201165676,-1415.7322998046875,5323.1767578125,32.128551674831314,route,20.623345004335693,20.623345004335693,False
2,2084,0,C,approach,26,1.3500000201165676,-1415.7322998046875,5323.1767578125,32.128551674831314,waypoint,23.460584292840426,23.460584292840426,False
2,2084,0,C,approach,27,1.4000000208616257,-1415.67041015625,5323.1767578125,32.066662048851214,route,20.561453855256463,20.561453855256463,False
2,2084,0,C,approach,27,1.4000000208616257,-1415.67041015625,5323.1767578125,32.066662048851214,waypoint,23.161714056688172,23.161714056688172,False
2,2084,0,C,approach,28,1.4500000216066837,-1415.6024169921875,5323.1767578125,31.99866890956098,route,20.493463977315276,20.493463977315276,False
2,2084,0,C,approach,28,1.4500000216066837,-1415.6024169921875,5323.1767578125,31.99866890956098,waypoint,22.815076843605983,22.815076843605983,False
2,2084,0,C,approach,29,1.5000000223517418,-1415.5286865234375,5323.1767578125,31.924938467792803,route,20.419731655352194,20.419731655352194,False
2,2084,0,C,approach,29,1.5000000223517418,-1415.5286865234375,5323.1767578125,31.924938467792803,waypoint,22.07988621733927,22.07988621733927,False
2,2084,0,C,approach,30,1.5500000230967999,-1415.449462890625,5323.1767578125,31.845714864111606,route,20.34051077150467,20.34051077150467,False
2,2084,0,C,approach,30,1.5500000230967999,-1415.449462890625,5323.1767578125,31.845714864111606,waypoint,22.080091654930705,22.080091654930705,False
2,2084,0,C,approach,31,1.600000023841858,-1415.364501953125,5323.1767578125,31.760753958014067,route,20.255548686189197,20.255548686189197,False
2,2084,0,C,approach,31,1.600000023841858,-1415.364501953125,5323.1767578125,31.760753958014067,waypoint,21.94565098992953,21.94565098992953,False
2,2084,0,C,approach,32,1.650000024586916,-1415.2724609375,5323.17626953125,31.668712558765613,route,20.163508633511942,20.163508633511942,False
2,2084,0,C,approach,32,1.650000024586916,-1415.2724609375,5323.17626953125,31.668712558765613,waypoint,21.619233623006295,21.619233623006295,False
2,2084,0,C,approach,33,1.700000025331974,-1415.1727294921875,5323.17626953125,31.568981149426115,route,20.063775353521905,20.063775353521905,False
2,2084,0,C,approach,33,1.700000025331974,-1415.1727294921875,5323.17626953125,31.568981149426115,waypoint,21.307262546532282,21.307262546532282,False
2,2084,0,C,approach,34,1.750000026077032,-1415.064453125,5323.17626953125,31.460704821551982,route,19.956802266901512,19.956802266901512,False
2,2084,0,C,approach,34,1.750000026077032,-1415.064453125,5323.17626953125,31.460704821551982,waypoint,21.021901215199712,21.021901215199712,False
2,2084,0,C,approach,35,1.8000000268220901,-1414.9471435546875,5323.17626953125,31.343395294139206,route,19.838189615467297,19.838189615467297,False
