level,route,seed,contrast,ds_arm,ds_B,ds_diff,rc_arm,rc_B,points_rc,points_collisions_pedestrian,points_collisions_vehicle,points_collisions_layout,points_red_light,points_stop_infraction,points_scenario_timeouts,points_yield_emergency_vehicle_infractions,points_outside_route_lanes,points_min_speed_infractions,points_route_dev,points_vehicle_blocked,points_route_timeout,points_rounding,zero_ds_excluded
1,2091,0,A-B,60.0,60.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
1,2091,0,C-B,26.604,60.0,-33.396,44.34,100.0,-33.396000000000036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6471446185507905e-14,False
1,2091,1,A-B,60.0,60.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
1,2091,1,C-B,28.374,60.0,-31.626,47.29,100.0,-31.62600000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.750915491247445e-14,False
1,2091,2,A-B,100.0,23.94,76.06,100.0,39.9,48.882560598832484,0.0,27.17743940116752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
1,2091,2,C-B,60.0,23.94,36.06,100.0,39.9,36.06000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.485843249045347e-14,False
1,3255,0,A-B,100.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
1,3255,0,C-B,100.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
1,3255,1,A-B,100.0,50.0,50.0,100.0,100.0,0.0,49.999999999999964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2034265038149155e-14,False
1,3255,1,C-B,100.0,50.0,50.0,100.0,100.0,0.0,49.999999999999964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2034265038149155e-14,False
1,3255,2,A-B,100.0,50.0,50.0,100.0,100.0,0.0,49.999999999999964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2034265038149155e-14,False
1,3255,2,C-B,100.0,50.0,50.0,100.0,100.0,0.0,49.999999999999964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2034265038149155e-14,False
1,3514,0,A-B,100.0,89.404472,10.595528000000002,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.60026016632682,0.0,0.0,0.0,0.0,-0.004732166326819043,False
1,3514,0,C-B,100.0,89.404472,10.595528000000002,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.60026016632682,0.0,0.0,0.0,0.0,-0.004732166326819043,False
1,3514,1,A-B,100.0,91.675022,8.324978000000002,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.319777389890433,0.0,0.0,0.0,0.0,0.005200610109567818,False
1,3514,1,C-B,100.0,91.675022,8.324978000000002,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.319777389890433,0.0,0.0,0.0,0.0,0.005200610109567818,False
1,3514,2,A-B,100.0,90.918173,9.081827000000004,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.079910217401247,0.0,0.0,0.0,0.0,0.00191678259875757,False
1,3514,2,C-B,100.0,90.918173,9.081827000000004,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.079910217401247,0.0,0.0,0.0,0.0,0.00191678259875757,False
1,17569,0,A-B,100.0,60.0,40.0,100.0,100.0,0.0,0.0,39.99999999999993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.95484625968566e-14,False
1,17569,0,C-B,100.0,60.0,40.0,100.0,100.0,0.0,0.0,39.99999999999993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.95484625968566e-14,False
1,17569,1,A-B,100.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
1,17569,1,C-B,100.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
1,17569,2,A-B,100.0,60.0,40.0,100.0,100.0,0.0,0.0,39.99999999999993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.95484625968566e-14,False
