source,repeat,level,route,seed,arm,frames,eligible_ticks,W2_phantom_ticks,W2b_phantom_ticks,bit_identical_points_past_L
formal,0,1,25424,2,B,2279,1867,900,0,3090
formal,0,1,25424,2,C,377,33,9,0,2653
formal,0,1,25424,2,D,430,78,16,0,2742
formal,0,1,26405,0,A,383,25,0,0,2879
formal,0,1,26405,0,B,1588,1288,550,0,6140
formal,0,1,26405,0,C,418,40,0,0,3104
formal,0,1,26405,0,D,443,63,0,0,3239
formal,0,1,26405,1,A,390,27,0,0,2924
formal,0,1,26405,1,B,540,91,66,0,3539
formal,0,1,26405,1,C,411,33,1,0,3075
formal,0,1,26405,1,D,432,51,1,0,3177
formal,0,1,26405,2,A,392,30,0,0,2919
formal,0,1,26405,2,B,1613,1235,1211,0,6458
formal,0,1,26405,2,C,443,62,0,0,3248
formal,0,1,26405,2,D,437,56,0,0,3211
formal,0,1,27494,0,A,488,202,24,0,2643
formal,0,1,27494,0,B,1518,1151,54,0,3260
formal,0,1,27494,0,C,506,28,5,0,3443
formal,0,1,27494,0,D,532,216,4,0,2676
formal,0,1,27494,1,A,493,209,124,0,2837
formal,0,1,27494,1,B,1518,1148,176,0,3273
formal,0,1,27494,1,C,698,383,1,0,3377
formal,0,1,27494,1,D,534,219,2,0,2788
formal,0,1,27494,2,A,489,201,0,0,2673
formal,0,1,27494,2,B,1516,1153,175,0,3243
formal,0,1,27494,2,C,535,221,2,0,2517
formal,0,1,27494,2,D,504,71,12,0,2995
formal,0,1,28198,0,A,314,63,1,0,1995
formal,0,1,28198,0,B,317,38,0,0,2201
formal,0,1,28198,0,C,305,52,19,0,1983
formal,0,1,28198,0,D,309,54,25,0,2006
formal,0,1,28198,1,A,311,67,0,0,1951
formal,0,1,28198,1,B,316,49,0,0,2101
formal,0,1,28198,1,C,305,53,23,0,1978
formal,0,1,28198,1,D,308,54,22,0,1991
formal,0,1,28198,2,A,303,64,0,0,1923
formal,0,1,28198,2,B,314,46,0,0,2128
formal,0,1,28198,2,C,304,55,25,0,1958
formal,0,1,28198,2,D,306,55,19,0,1972
formal,0,1r,2091,0,A,385,141,0,0,2073
formal,0,1r,3255,0,A,721,280,0,0,3551
formal,0,1r,3514,0,A,518,90,62,0,3472
formal,0,1r,17569,0,A,444,85,14,0,2978
formal,0,1r,25378,0,A,246,11,0,0,1907
formal,0,1r,25381,0,A,420,15,0,0,3242
formal,0,1r,25424,0,A,388,43,10,0,2650
formal,0,1r,26405,0,A,392,31,0,0,2921
formal,0,1r,27494,0,A,492,201,117,0,2828
formal,0,1r,28198,0,A,302,65,0,0,1898
formal,0,2,2050,0,A,256,31,1,0,1833
formal,0,2,2050,0,B,256,17,1,0,1896
formal,0,2,2050,0,C,299,49,1,0,2092
formal,0,2,2050,0,D,313,42,1,0,2214
formal,0,2,2050,1,A,329,83,9,0,2114
formal,0,2,2050,1,B,258,18,0,0,1906
formal,0,2,2050,1,C,313,43,0,0,2230
formal,0,2,2050,1,D,313,45,10,0,2175
formal,0,2,2050,2,A,329,81,31,0,2106
formal,0,2,2050,2,B,266,22,1,0,1967
formal,0,2,2050,2,C,300,50,0,0,2102
formal,0,2,2050,2,D,343,51,6,0,2404
formal,0,2,2084,0,A,460,182,0,0,2285
formal,0,2,2084,0,B,580,211,11,0,2885
formal,0,2,2084,0,C,391,56,27,0,2554
formal,0,2,2084,0,D,505,199,3,0,2660
formal,0,2,2084,1,A,458,171,2,0,2419
formal,0,2,2084,1,B,636,270,15,0,2964
formal,0,2,2084,1,C,4000,3793,198,0,1885
formal,0,2,2084,1,D,315,53,17,0,1979
formal,0,2,2084,2,A,460,171,0,0,2368
formal,0,2,2084,2,B,557,227,0,0,2553
formal,0,2,2084,2,C,519,218,17,0,2617
formal,0,2,2084,2,D,518,203,2,0,2760
formal,0,2,3072,0,A,389,12,0,0,3052
formal,0,2,3072,0,B,405,11,0,0,3182
formal,0,2,3072,0,C,414,19,0,0,3226
formal,0,2,3072,0,D,414,19,0,0,3226
formal,0,2,3072,1,A,391,12,0,0,3065
formal,0,2,3072,1,B,402,11,0,0,3160
formal,0,2,3072,1,C,414,19,0,0,3226
formal,0,2,3072,1,D,413,19,0,0,3219
formal,0,2,3072,2,A,390,12,0,0,3060
formal,0,2,3072,2,B,407,11,0,0,3207
formal,0,2,3072,2,C,413,19,0,0,3218
formal,0,2,3072,2,D,413,19,0,0,3219
formal,0,2,25318,0,A,531,34,5,0,3923
formal,0,2,25318,0,B,554,48,0,0,4039
formal,0,2,25318,0,C,4000,1825,1712,0,16095
formal,0,2,25318,0,D,4000,3447,2383,0,17830
formal,0,2,25318,1,A,568,76,7,0,3937
formal,0,2,25318,1,B,555,38,0,0,4103
formal,0,2,25318,1,C,478,18,0,0,3601
formal,0,2,25318,1,D,4000,2618,2437,0,18700
formal,0,2,25318,2,A,573,67,1,0,4010
formal,0,2,25318,2,B,558,66,28,0,3963
formal,0,2,25318,2,C,477,18,0,0,3607
formal,0,2,25318,2,D,4000,1659,1402,0,16937
formal,0,2,27529,0,A,542,279,0,0,2276
formal,0,2,27529,0,B,1239,843,0,0,3226
formal,0,2,27529,0,C,465,211,0,0,2297
formal,0,2,27529,0,D,470,214,0,0,2323
formal,0,2,27529,1,A,453,189,0,0,2190
formal,0,2,27529,1,B,672,339,0,0,2703
formal,0,2,27529,1,C,1639,216,0,0,9113
formal,0,2,27529,1,D,456,206,0,0,2269
formal,0,2,27529,2,A,471,193,0,0,2290
formal,0,2,27529,2,B,1239,837,4,0,3086
formal,0,2,27529,2,C,531,252,10,0,2448
formal,0,2,27529,2,D,509,225,4,0,2418
formal,0,2,28154,0,A,643,117,0,0,4113
formal,0,2,28154,0,B,649,76,0,0,4389
formal,0,2,28154,0,C,623,86,31,0,4302
formal,0,2,28154,0,D,637,101,67,0,4345
formal,0,2,28154,1,A,643,118,0,0,4108
formal,0,2,28154,1,B,651,82,0,0,4392
formal,0,2,28154,1,C,669,118,72,0,4503
formal,0,2,28154,1,D,638,89,60,0,4338
formal,0,2,28154,2,A,646,112,0,0,4157
formal,0,2,28154,2,B,653,75,0,0,4428
formal,0,2,28154,2,C,652,102,65,0,4410
formal,0,2,28154,2,D,630,89,50,0,4361
d2,1,1,26405,1,A,393,35,0,0,2919
d2,1,1,26405,1,B,466,34,5,0,3380
d2,1,1,3514,1,B,554,90,56,0,3779
d2,1,1,3514,1,C,518,22,19,0,3527
d2,1,2,27529,0,B,623,274,16,0,2854
d2,1,2,27529,0,C,465,211,0,0,2289
d2,1,2,28154,0,B,647,76,0,0,4387
d2,1,2,28154,0,C,629,33,12,0,4292
d2,2,1,26405,1,A,382,26,0,0,2869
d2,2,1,26405,1,B,1598,1122,1096,0,6320
d2,2,1,3514,1,B,2338,577,540,0,4502
d2,2,1,3514,1,C,516,21,18,0,3518
d2,2,2,27529,0,B,549,212,0,0,2666
d2,2,2,27529,0,C,467,209,0,0,2336
d2,2,2,28154,0,B,656,82,0,0,4431
d2,2,2,28154,0,C,613,90,59,0,4210
