level,route,seed,comparison,ds_diff,rc_diff,completed_diff,sr_diff,collisions_layout_per_km_diff,collisions_pedestrian_per_km_diff,collisions_vehicle_per_km_diff,red_light_per_km_diff,stop_infraction_per_km_diff,outside_route_lanes_per_km_diff,min_speed_infractions_per_km_diff,yield_emergency_vehicle_infractions_per_km_diff,scenario_timeouts_per_km_diff,route_dev_per_km_diff,vehicle_blocked_per_km_diff,route_timeout_per_km_diff
1,25378,1,D-C,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,25378,2,C-B,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,25378,2,A-B,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,25378,2,D-C,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,25381,0,C-B,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,25381,0,A-B,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,25381,0,D-C,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,25381,1,C-B,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,25381,1,A-B,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,25381,1,D-C,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,25381,2,C-B,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,25381,2,A-B,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,25381,2,D-C,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,25424,0,C-B,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,25424,0,A-B,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,25424,0,D-C,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,25424,1,C-B,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,25424,1,A-B,-3.7714320000000043,0,0,-1,0.0,0.0,0.0,0.0,0.0,9.428269723940263,0.0,0.0,0.0,0.0,0.0,0.0
1,25424,1,D-C,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,25424,2,C-B,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,25424,2,A-B,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,25424,2,D-C,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,26405,0,C-B,76.552851,27.290000000000006,1,1,0.0,0.0,-14.981610073634613,0.0,0.0,-7.4908050368173065,44.94483022090384,0.0,0.0,0.0,-7.4908050368173065,0.0
1,26405,0,A-B,76.552851,27.290000000000006,1,1,0.0,0.0,-14.981610073634613,0.0,0.0,-7.4908050368173065,44.94483022090384,0.0,0.0,0.0,-7.4908050368173065,0.0
1,26405,0,D-C,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,26405,1,C-B,93.402755,0,0,1,0.0,0.0,-37.45402518408653,0.0,0.0,-7.4908050368173065,0.0,0.0,0.0,0.0,0.0,0.0
1,26405,1,A-B,93.402755,0,0,1,0.0,0.0,-37.45402518408653,0.0,0.0,-7.4908050368173065,0.0,0.0,0.0,0.0,0.0,0.0
1,26405,1,D-C,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,26405,2,C-B,76.552851,27.290000000000006,1,1,0.0,0.0,-14.981610073634613,0.0,0.0,-7.4908050368173065,44.94483022090384,0.0,0.0,0.0,-7.4908050368173065,0.0
1,26405,2,A-B,76.552851,27.290000000000006,1,1,0.0,0.0,-14.981610073634613,0.0,0.0,-7.4908050368173065,44.94483022090384,0.0,0.0,0.0,-7.4908050368173065,0.0
1,26405,2,D-C,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,27494,0,C-B,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,27494,0,A-B,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,27494,0,D-C,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,27494,1,C-B,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,27494,1,A-B,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,27494,1,D-C,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,27494,2,C-B,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,27494,2,A-B,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,27494,2,D-C,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,28198,0,C-B,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,28198,0,A-B,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,28198,0,D-C,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,28198,1,C-B,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,28198,1,A-B,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,28198,1,D-C,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,28198,2,C-B,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,28198,2,A-B,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,28198,2,D-C,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2050,0,C-B,-40.0,0,0,-1,0.0,0.0,12.718924487745317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2050,0,A-B,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
