contrast,executed_arm,speed_bin,intent,curvature,axis,n,mean,median,p10,p90
C-B,C,0.5-3,cruise,straight,long,1792,-1.474858583576289,-1.9724998474121094,-2.1234656810760497,1.174254159629345
C-B,C,0.5-3,cruise,straight,steer,1792,0.03496860545792511,0.00026797207557441045,-0.02800664033544146,0.17648308616048783
C-B,C,0.5-3,decelerate,straight,long,63,-0.277753734777844,5.960464455334602e-09,-1.8152813661098475,5.960464455334602e-09
C-B,C,0.5-3,decelerate,straight,steer,63,0.0018009667989438176,0.0,0.0,0.0
C-B,C,0.5-3,target_stop,straight,long,444,0.5518810973367009,0.7027397006750107,0.0,1.3812657505273818
C-B,C,0.5-3,target_stop,straight,steer,444,-0.10207466737266768,-0.037371864542365074,-0.5205556822352938,0.10981096191373138
C-B,C,0.5-3,target_stop,turn,long,110,0.46403086992996656,1.235808826982975,-2.0267363786697388,1.75
C-B,C,0.5-3,target_stop,turn,steer,110,-0.02346585950515506,0.026494016995032628,-0.7002957761287689,0.27018352806568174
C-B,C,0.5-3,turn,turn,long,629,-1.5164477730084016,-1.9724998474121094,-2.1082817196846007,1.4901161138336505e-09
C-B,C,0.5-3,turn,turn,steer,629,0.03398621493783791,0.04038705219411188,-0.214782843493753,0.2702090284758147
C-B,C,3-8,cruise,straight,long,8755,-0.0968803792864391,0.3755806162953377,-1.9724998474121094,1.3270096421241762
C-B,C,3-8,cruise,straight,steer,8755,0.0020196426007498204,8.902365241940266e-05,-0.015032025102112023,0.017999003363980186
C-B,C,3-8,decelerate,straight,long,16,0.3392686480656266,0.7541416361927986,-0.46941809356212616,0.8030704259872437
C-B,C,3-8,decelerate,straight,steer,16,-0.009363527153169238,-0.016163401578863465,-0.019231499616677562,0.001965241480696325
C-B,C,3-8,target_stop,straight,long,1434,0.8425030195910624,1.0247313911095262,0.07598144114017498,1.388156419992447
C-B,C,3-8,target_stop,straight,steer,1434,-0.018306047554942733,5.426847829464048e-05,-0.08005986047784489,0.021030291090408965
C-B,C,3-8,turn,turn,long,819,-0.5282187669450401,-0.9631151556968689,-2.0406723737716677,1.4972745120525361
C-B,C,3-8,turn,turn,steer,819,-0.02398148069105486,0.006572449743592501,-0.2767180523607466,0.23451884784301125
C-B,C,<0.5,cruise,straight,long,724,0.2067538549707757,5.960464455334602e-09,-0.061568638682365506,1.2982288479804993
C-B,C,<0.5,cruise,straight,steer,724,-0.2601284843343276,-0.10163031386832395,-0.800000011920929,0.4839364776282264
C-B,C,<0.5,launch,straight,long,3179,-2.264943487697377,-2.3033765852451324,-2.6076670810580254,-1.6562925934791564
C-B,C,<0.5,launch,straight,steer,3179,0.016024205248460408,0.010738997360070546,-0.001098501612432301,0.04462295881865755
C-B,C,<0.5,launch,turn,long,364,-2.141915315674147,-2.196101099252701,-2.479506069421768,-1.7180627554655075
C-B,C,<0.5,launch,turn,steer,364,0.04810522396241385,0.06542925833000077,-0.11292145199742581,0.2900855327207181
C-B,C,<0.5,target_stop,straight,long,12805,-0.012463991786518977,0.0,-2.157311153411865,1.0987545982003213
C-B,C,<0.5,target_stop,straight,steer,12805,-0.056520674349737725,0.0,-0.5038304567337036,0.08269298515220495
C-B,C,<0.5,target_stop,turn,long,139,-1.9002690944090326,-2.1800358593463898,-3.045904779434204,0.0
C-B,C,<0.5,target_stop,turn,steer,139,0.07312976667823509,0.07656744296352067,-0.19141074589888254,0.30826791652043656
C-B,C,<0.5,turn,turn,long,10,-0.4719941414892673,-0.3388371132314205,-2.6330377951264383,1.37301487326622
C-B,C,<0.5,turn,turn,steer,10,0.20009060924458835,0.0969593738143643,-0.20841719596915773,0.800000011920929
C-B,C,>=8,cruise,straight,long,2802,0.10009916099356747,0.3043705224990845,-1.35615074634552,1.3343576937913895
C-B,C,>=8,cruise,straight,steer,2802,-0.0074736991364270896,6.977032526265248e-05,-0.05509111518692225,0.016184716643144692
C-B,C,3-8,target_stop,turn,long,125,0.4808879353115335,1.1171829774975777,-1.3993912935256958,1.4929094970226289
C-B,C,3-8,target_stop,turn,steer,125,-0.049438447674949274,-0.02953906461596489,-0.3108123356435034,0.29524505888091196
C-B,C,>=8,target_stop,straight,long,235,0.6989402479412866,0.9528721272945404,-0.177745646238327,1.2175433605909347
C-B,C,>=8,target_stop,straight,steer,235,-0.01684452036778572,-0.007283526994287966,-0.06713209705427288,0.056546064403322015
C-B,C,>=8,turn,turn,long,211,-0.2801112571634105,-0.03973734378814697,-1.8728569149971008,1.3672581017017365
C-B,C,>=8,turn,turn,steer,211,0.0065338393285634365,-5.714240897859582e-07,-0.11078944484392805,0.16407829512531558
C-B,C,>=8,target_stop,turn,long,6,0.3205680052439372,-0.16812290251255035,-0.3076155483722687,1.4374424666166306
C-B,C,>=8,target_stop,turn,steer,6,-0.07604213017004509,-0.18460336135493385,-0.26792250659730704,0.22439947744210562
