level,route,seed,contrast,ds_diff,diverged,divergence_step,divergence_time_s,distance_m,speed_delta_mps,speed_mps,target_mps,plan_first_mps,plan_mean8_mps,turn_deg,stop_sign,creep,intent,speed_bin,next_event_side,next_event_cause,next_event_step,next_event_delta_s
1,25381,1,A-B,0.0,True,42,2.1500000320374966,0.057844776572058346,1.513440705897735,4.588,5.219,5.01,5.966,0.01,False,False,cruise,3-8,,,,nan
1,25381,1,C-B,0.0,True,15,0.800000011920929,0.13852031662838465,1.116473751536924,0.0,1.078,0.742,3.938,-0.07,False,False,launch,<0.5,,,,nan
1,25381,2,A-B,0.0,True,35,1.8000000268220901,0.057714916123961645,1.1434678149443176,6.276,5.812,6.375,5.954,-0.01,False,False,cruise,3-8,,,,nan
1,25381,2,C-B,0.0,True,15,0.800000011920929,0.13939228170229945,1.134951434949836,0.0,1.078,0.73,3.962,-0.08,False,False,launch,<0.5,,,,nan
1,25424,0,A-B,0.0,True,39,2.0000000298023224,0.025897325402687733,1.9807627024274623,4.149,4.531,4.594,6.19,0.03,False,False,cruise,3-8,,,,nan
1,25424,0,C-B,0.0,True,14,0.7500000111758709,0.10220369263190864,1.1119602687201846,0.0,0.992,0.585,3.867,-0.02,False,False,launch,<0.5,,,,nan
1,25424,1,A-B,-3.7714320000000043,True,38,1.9500000290572643,0.05047278987434908,2.218861264155141,4.189,4.625,4.625,6.195,-0.02,False,False,cruise,3-8,arm,outside_route_lanes,198,8.0
1,25424,1,C-B,0.0,True,14,0.7500000111758709,0.10112050051870089,1.0831448912549113,0.0,1.0,0.581,3.881,-0.02,False,False,launch,<0.5,,,,nan
1,25424,2,A-B,0.0,True,38,1.9500000290572643,0.022236909251436916,2.0526887214065193,4.339,4.719,4.573,6.227,0.04,False,False,cruise,3-8,,,,nan
1,25424,2,C-B,0.0,True,14,0.7500000111758709,0.10067833665652123,1.0798159644687004,0.0,0.969,0.586,3.831,-0.02,False,False,launch,<0.5,,,,nan
1,26405,0,A-B,76.552851,True,158,7.9500001184642315,1.008246575992908,0.6062362469631823,8.543,8.312,8.521,6.626,-2.04,False,False,cruise,>=8,B,collisions_vehicle,261,5.15
1,26405,0,C-B,76.552851,True,14,0.7500000111758709,0.09655995131033315,1.040530184392116,0.0,0.945,0.565,4.026,-0.65,False,False,launch,<0.5,B,collisions_vehicle,261,12.350000000000001
1,26405,1,A-B,93.402755,True,45,2.3000000342726707,0.18508404680007498,1.0134161591327189,5.829,6.219,6.469,7.251,-1.65,False,False,cruise,3-8,B,collisions_vehicle,259,10.700000000000001
1,26405,1,C-B,93.402755,True,14,0.7500000111758709,0.09669548445063189,1.0446083347349,0.0,0.957,0.566,4.026,-0.65,False,False,launch,<0.5,B,collisions_vehicle,259,12.25
1,26405,2,A-B,76.552851,True,45,2.3000000342726707,0.17506726751744034,1.0965372682134564,5.906,6.25,6.531,7.221,-1.65,False,False,cruise,3-8,B,collisions_vehicle,257,10.600000000000001
1,26405,2,C-B,76.552851,True,15,0.800000011920929,0.15328748315081442,1.2812274727923678,0.0,0.969,0.568,4.052,-0.65,False,False,launch,<0.5,B,collisions_vehicle,257,12.100000000000001
1,27494,0,A-B,0.0,True,30,1.5500000230967999,0.10206588948130785,1.6765120564816076,5.773,5.875,5.96,5.024,3.6,False,False,cruise,3-8,,,,nan
1,27494,0,C-B,0.0,True,14,0.7500000111758709,0.10139431691454787,1.1055160009264173,0.0,1.164,0.541,3.629,2.42,False,False,launch,<0.5,,,,nan
1,27494,1,A-B,0.0,True,31,1.600000023841858,0.09022924916459525,1.3895621479509792,5.793,5.844,5.95,5.0,3.54,False,False,cruise,3-8,,,,nan
1,27494,1,C-B,0.0,True,14,0.7500000111758709,0.10140790199769505,1.1066383762288092,0.0,1.164,0.548,3.641,2.41,False,False,launch,<0.5,,,,nan
1,27494,2,A-B,0.0,True,30,1.5500000230967999,0.09063587765730242,1.4425919743532578,5.6,5.75,5.929,4.897,3.51,False,False,cruise,3-8,,,,nan
1,27494,2,C-B,0.0,True,14,0.7500000111758709,0.10140790199769505,1.1061126442887361,0.0,1.141,0.543,3.638,2.41,False,False,launch,<0.5,,,,nan
1,28198,0,A-B,0.0,True,32,1.650000024586916,0.15746857693441804,1.1203258538235659,6.421,6.562,6.699,5.817,-1.79,False,False,cruise,3-8,,,,nan
1,28198,0,C-B,0.0,True,14,0.7500000111758709,0.1042297713544429,1.1751441696682146,0.0,1.188,0.727,2.971,-1.07,False,False,launch,<0.5,,,,nan
1,28198,1,A-B,0.0,True,32,1.650000024586916,0.17728538445507094,1.195007189386338,6.438,6.562,6.678,5.798,-1.78,False,False,cruise,3-8,,,,nan
1,28198,1,C-B,0.0,True,14,0.7500000111758709,0.10192010808948561,1.1163138539512805,0.0,1.203,0.734,2.996,-1.07,False,False,launch,<0.5,,,,nan
