level,route,seed,arm,segment,horizon_s,n,long_median_m,long_p95_m,lateral_median_m,lateral_p95_m,long_accel_p95,lateral_accel_p95,long_jerk_p95,lateral_jerk_p95,steer_rate_p95
1,17569,0,A,pre,0.5,0,,,,,12.940898173365841,6.501210912147555,161.96141441800887,56.91096501731714,2.3920002633035127
1,17569,0,A,post,0.5,0,,,,,,,,,
1,17569,0,A,pre,1.0,0,,,,,12.940898173365841,6.501210912147555,161.96141441800887,56.91096501731714,2.3920002633035127
1,17569,0,A,post,1.0,0,,,,,,,,,
1,17569,1,A,pre,0.5,0,,,,,6.255062131910763,0.5588352959179063,44.731572457904186,7.709848710312967,0.39999998509883905
1,17569,1,A,post,0.5,0,,,,,,,,,
1,17569,1,A,pre,1.0,0,,,,,6.255062131910763,0.5588352959179063,44.731572457904186,7.709848710312967,0.39999998509883905
1,17569,1,A,post,1.0,0,,,,,,,,,
1,17569,2,A,pre,0.5,0,,,,,11.908118148461913,3.499240561560293,165.91046014761446,35.646830523678474,2.627999862611293
1,17569,2,A,post,0.5,0,,,,,,,,,
1,17569,2,A,pre,1.0,0,,,,,11.908118148461913,3.499240561560293,165.91046014761446,35.646830523678474,2.627999862611293
1,17569,2,A,post,1.0,0,,,,,,,,,
1,2091,0,A,pre,0.5,0,,,,,11.244004659707091,0.506452978246178,285.2398666089774,6.229331183632152,0.28700002972781546
1,2091,0,A,post,0.5,0,,,,,9.92708932787245,11.591965429177332,158.88935207151943,69.7330408488766,1.8790000695139155
1,2091,0,A,pre,1.0,0,,,,,11.244004659707091,0.506452978246178,285.2398666089774,6.229331183632152,0.28700002972781546
1,2091,0,A,post,1.0,0,,,,,9.92708932787245,11.591965429177332,158.88935207151943,69.7330408488766,1.8790000695139155
1,2091,1,A,pre,0.5,0,,,,,10.259689599176376,2.3457314971394787,143.25508717284112,36.57764118314642,0.9799999597668654
1,2091,1,A,post,0.5,0,,,,,0.20043041805593145,0.1263326692842466,5.245909671056008,3.9828702378255363,0.0
1,2091,1,A,pre,1.0,0,,,,,10.259689599176376,2.3457314971394787,143.25508717284112,36.57764118314642,0.9799999597668654
1,2091,1,A,post,1.0,0,,,,,0.20043041805593145,0.1263326692842466,5.245909671056008,3.9828702378255363,0.0
1,2091,2,A,pre,0.5,0,,,,,9.953618338010656,5.188324107699336,154.26827247938522,43.22726454118494,1.3919998199939736
1,2091,2,A,post,0.5,0,,,,,,,,,
1,2091,2,A,pre,1.0,0,,,,,9.953618338010656,5.188324107699336,154.26827247938522,43.22726454118494,1.3919998199939736
1,2091,2,A,post,1.0,0,,,,,,,,,
