level,route,seed,arm,context,offset_m_n,offset_m_mean,offset_m_median,offset_m_p10,offset_m_p90,abs_offset_m_median
1,2091,0,A,all,382,-0.1188908295801761,-0.00994928964647767,-0.46430725130284123,0.001803525388139556,0.00994928964647767
1,2091,0,A,turn,73,-0.31023354359506794,-0.2651655405178914,-0.6169287093924187,-0.026640132454170046,0.2651655405178914
1,2091,0,A,straight,264,-0.0805689051361302,-0.0008347829939291793,-0.2549490197778745,0.002501613753189181,0.004268962251258819
1,2091,0,B,all,746,-0.3469789904508703,-0.11585123524313906,-0.8146825031244136,0.0010275311739346093,0.11585123524313906
1,2091,0,B,turn,187,-0.6431872203969383,-0.7464484314641062,-0.8026446585719778,-0.18194333177485855,0.7464484314641062
1,2091,0,B,straight,385,-0.060284336684719025,-0.0009824965201583383,-0.14750239076345792,0.002044719054379458,0.002282883856468871
1,2091,0,C,all,3999,-0.34084277950534253,-0.5353920800084776,-0.6017368913012475,-0.03147378814772142,0.5353920800084776
1,2091,0,C,turn,106,-0.320394989144117,-0.37870526760108336,-0.5051602498757628,-0.10947486927911676,0.37870526760108336
1,2091,0,C,straight,1782,-0.09413339560447882,-0.051686560764085676,-0.1350218029237461,-0.021240870801718346,0.051686560764085676
1,2091,0,D,all,3999,-0.5134519887867547,-0.5670631284671938,-0.596692833118663,-0.05218870423583922,0.5670631284671938
1,2091,0,D,turn,89,-0.37850911836897955,-0.3858270692867226,-0.6163535650681803,-0.05237409147337033,0.3858270692867226
1,2091,0,D,straight,3754,-0.5214669454909046,-0.5676417545372094,-0.5967307466937837,-0.42024830762489945,0.5676417545372094
1,2091,1,A,all,3913,-0.8753138127252714,-0.979895625932619,-1.0061752515886733,-0.34303814312656533,0.979895625932619
1,2091,1,A,turn,136,-0.6524154451965581,-0.7184441706918845,-0.9925085490060744,-0.06398127212767953,0.7184441706918845
1,2091,1,A,straight,3467,-0.8975352810449759,-0.9799065123184046,-1.0068246130778464,-0.9521161968797628,0.9799065123184046
1,2091,1,B,all,506,-0.14060277349759864,-0.0021432223685793547,-0.581876444891011,0.002059934872100425,0.004083840912292367
1,2091,1,B,turn,94,-0.45267983990764427,-0.5154119395820242,-0.6680904731409905,-0.05053014736182394,0.5154119395820242
