level,route,seed,arm,ds,rc,completed,sr,wall_s,infra_retries,length_km,official_status,collisions_layout_per_km,collisions_pedestrian_per_km,collisions_vehicle_per_km,red_light_per_km,stop_infraction_per_km,outside_route_lanes_per_km,min_speed_infractions_per_km,yield_emergency_vehicle_infractions_per_km,scenario_timeouts_per_km,route_dev_per_km,vehicle_blocked_per_km,route_timeout_per_km
1,3514,0,D,100.0,100,True,True,155.01525751800364,0,0.133154,Completed,0.0,0.0,0.0,0.0,0.0,0.0,150.20202171921235,0.0,0.0,0.0,0.0,0.0
1,3514,1,A,100.0,100,True,True,149.3862097809979,0,0.133154,Completed,0.0,0.0,0.0,0.0,0.0,0.0,150.20202171921235,0.0,0.0,0.0,0.0,0.0
1,3514,1,B,91.675022,100,True,False,494.15039172699835,0,0.133154,Completed,0.0,0.0,0.0,0.0,0.0,7.510101085960617,150.20202171921235,0.0,0.0,0.0,0.0,0.0
1,3514,1,C,100.0,100,True,True,158.01385235099588,0,0.133154,Completed,0.0,0.0,0.0,0.0,0.0,0.0,150.20202171921235,0.0,0.0,0.0,0.0,0.0
1,3514,1,D,100.0,100,True,True,152.01569707599992,0,0.133154,Completed,0.0,0.0,0.0,0.0,0.0,0.0,150.20202171921235,0.0,0.0,0.0,0.0,0.0
1,3514,2,A,100.0,100,True,True,157.38776038200012,0,0.133154,Completed,0.0,0.0,0.0,0.0,0.0,0.0,150.20202171921235,0.0,0.0,0.0,0.0,0.0
1,3514,2,B,90.918173,100,True,False,516.3652888389988,0,0.133154,Completed,0.0,0.0,0.0,0.0,0.0,7.510101085960617,150.20202171921235,0.0,0.0,0.0,0.0,0.0
1,3514,2,C,100.0,100,True,True,155.01420152100036,0,0.133154,Completed,0.0,0.0,0.0,0.0,0.0,0.0,150.20202171921235,0.0,0.0,0.0,0.0,0.0
1,3514,2,D,100.0,100,True,True,154.01478240099823,0,0.133154,Completed,0.0,0.0,0.0,0.0,0.0,0.0,150.20202171921235,0.0,0.0,0.0,0.0,0.0
1,17569,0,A,100.0,100,True,True,108.14284102199963,0,0.115358,Completed,0.0,0.0,0.0,0.0,0.0,0.0,164.70465854123685,0.0,0.0,0.0,0.0,0.0
1,17569,0,B,60.0,100,True,False,118.74791215799996,0,0.115358,Completed,0.0,0.0,8.668666239012465,0.0,0.0,0.0,164.70465854123685,0.0,0.0,0.0,0.0,0.0
1,17569,0,C,100.0,100,True,True,141.0124513829942,0,0.115358,Completed,0.0,0.0,0.0,0.0,0.0,0.0,164.70465854123685,0.0,0.0,0.0,0.0,0.0
1,17569,0,D,100.0,100,True,True,109.01215147800394,0,0.115358,Completed,0.0,0.0,0.0,0.0,0.0,0.0,164.70465854123685,0.0,0.0,0.0,0.0,0.0
1,17569,1,A,100.0,100,True,True,438.8872211930029,0,0.115358,Completed,0.0,0.0,0.0,0.0,0.0,0.0,164.70465854123685,0.0,0.0,0.0,0.0,0.0
1,17569,1,B,100.0,100,True,True,136.77692315799868,0,0.115358,Completed,0.0,0.0,0.0,0.0,0.0,0.0,164.70465854123685,0.0,0.0,0.0,0.0,0.0
1,17569,1,C,100.0,100,True,True,114.0103440870007,0,0.115358,Completed,0.0,0.0,0.0,0.0,0.0,0.0,164.70465854123685,0.0,0.0,0.0,0.0,0.0
1,17569,1,D,100.0,100,True,True,123.01143340600538,0,0.115358,Completed,0.0,0.0,0.0,0.0,0.0,0.0,164.70465854123685,0.0,0.0,0.0,0.0,0.0
1,17569,2,A,100.0,100,True,True,131.16643459699844,0,0.115358,Completed,0.0,0.0,0.0,0.0,0.0,0.0,164.70465854123685,0.0,0.0,0.0,0.0,0.0
1,17569,2,B,60.0,100,True,False,122.56107608900129,0,0.115358,Completed,0.0,0.0,8.668666239012465,0.0,0.0,0.0,164.70465854123685,0.0,0.0,0.0,0.0,0.0
1,17569,2,C,60.0,100,True,False,113.01110309398791,0,0.115358,Completed,0.0,0.0,8.668666239012465,0.0,0.0,0.0,164.70465854123685,0.0,0.0,0.0,0.0,0.0
1,17569,2,D,60.0,100,True,False,105.01025259500602,0,0.115358,Completed,0.0,0.0,8.668666239012465,0.0,0.0,0.0,164.70465854123685,0.0,0.0,0.0,0.0,0.0
1,25378,0,A,70.0,100,True,False,55.28343958100231,0,0.095145,Completed,0.0,0.0,0.0,0.0,0.0,0.0,199.69520206001368,10.510273792632299,0.0,0.0,0.0,0.0
1,25378,0,B,70.0,100,True,False,56.28758899600143,0,0.095145,Completed,0.0,0.0,0.0,0.0,0.0,0.0,199.69520206001368,10.510273792632299,0.0,0.0,0.0,0.0
1,25378,0,C,70.0,100,True,False,54.00532868599839,0,0.095145,Completed,0.0,0.0,0.0,0.0,0.0,0.0,199.69520206001368,10.510273792632299,0.0,0.0,0.0,0.0
1,25378,0,D,70.0,100,True,False,59.00588217100449,0,0.095145,Completed,0.0,0.0,0.0,0.0,0.0,0.0,199.69520206001368,10.510273792632299,0.0,0.0,0.0,0.0
1,25378,1,A,70.0,100,True,False,55.29149790199881,0,0.095145,Completed,0.0,0.0,0.0,0.0,0.0,0.0,199.69520206001368,10.510273792632299,0.0,0.0,0.0,0.0
1,25378,1,B,70.0,100,True,False,55.28590026900201,0,0.095145,Completed,0.0,0.0,0.0,0.0,0.0,0.0,199.69520206001368,10.510273792632299,0.0,0.0,0.0,0.0
1,25378,1,C,70.0,100,True,False,55.0050467330002,0,0.095145,Completed,0.0,0.0,0.0,0.0,0.0,0.0,199.69520206001368,10.510273792632299,0.0,0.0,0.0,0.0
1,25378,1,D,70.0,100,True,False,59.00583077700867,0,0.095145,Completed,0.0,0.0,0.0,0.0,0.0,0.0,199.69520206001368,10.510273792632299,0.0,0.0,0.0,0.0
1,25378,2,A,70.0,100,True,False,52.28186630200071,0,0.095145,Completed,0.0,0.0,0.0,0.0,0.0,0.0,199.69520206001368,10.510273792632299,0.0,0.0,0.0,0.0
