examinee,scope,n_reactive,flip_rate,flip_lo,flip_hi,tau_model
prior [cinque],DynamicObjectCrossing,293,0,0,0,1.165
prior [cinque],HighwayCutIn,207,1,1,1,1.165
prior [cinque],Light,9,0,0,0,1.165
prior [cinque],OppositeVehicleRunningRedLight,0,,,,1.165
prior [cinque],ParkingCrossingPedestrian,76,0.01316,0,0.03371,1.165
prior [cinque],ParkingCutIn,217,0.6313,0.4612,0.7361,1.165
prior [cinque],PedestrianCrossing,27,0,0,0,1.165
prior [cinque],StaticCutIn,252,0.6984,0.567,0.8238,1.165
prior [cinque],VehicleTurningRoutePedestrian,10,0,0,0,1.165
Q9b pair grid s0 [cinque],DynamicObjectCrossing,293,0.4915,0.3891,0.5772,1.903
Q9b pair grid s0 [cinque],HighwayCutIn,207,0.8164,0.5942,0.9851,1.903
Q9b pair grid s0 [cinque],Light,9,0,0,0,1.903
Q9b pair grid s0 [cinque],OppositeVehicleRunningRedLight,0,,,,1.903
Q9b pair grid s0 [cinque],ParkingCrossingPedestrian,76,0.4737,0.2712,0.5932,1.903
Q9b pair grid s0 [cinque],ParkingCutIn,217,0.4378,0.2488,0.6575,1.903
Q9b pair grid s0 [cinque],PedestrianCrossing,27,0.2593,0.1667,1,1.903
Q9b pair grid s0 [cinque],StaticCutIn,252,0.7619,0.6216,0.8907,1.903
Q9b pair grid s0 [cinque],VehicleTurningRoutePedestrian,10,0,0,0,1.903
Q9b pair grid s1 [cinque],DynamicObjectCrossing,293,0.587,0.5054,0.6599,1.941
Q9b pair grid s1 [cinque],HighwayCutIn,207,0.9517,0.8667,1,1.941
Q9b pair grid s1 [cinque],Light,9,0,0,0,1.941
Q9b pair grid s1 [cinque],OppositeVehicleRunningRedLight,0,,,,1.941
Q9b pair grid s1 [cinque],ParkingCrossingPedestrian,76,0.4211,0.2373,0.5593,1.941
Q9b pair grid s1 [cinque],ParkingCutIn,217,0.7005,0.5647,0.8287,1.941
Q9b pair grid s1 [cinque],PedestrianCrossing,27,0.2963,0.2917,0.3333,1.941
Q9b pair grid s1 [cinque],StaticCutIn,252,0.7698,0.619,0.9059,1.941
Q9b pair grid s1 [cinque],VehicleTurningRoutePedestrian,10,0,0,0,1.941
Q9b pair grid s2 [cinque],DynamicObjectCrossing,293,0.5085,0.3979,0.6006,2.126
Q9b pair grid s2 [cinque],HighwayCutIn,207,0.8599,0.719,0.9908,2.126
Q9b pair grid s2 [cinque],Light,9,0,0,0,2.126
Q9b pair grid s2 [cinque],OppositeVehicleRunningRedLight,0,,,,2.126
Q9b pair grid s2 [cinque],ParkingCrossingPedestrian,76,0.3947,0.2326,0.5714,2.126
Q9b pair grid s2 [cinque],ParkingCutIn,217,0.5853,0.4768,0.6944,2.126
Q9b pair grid s2 [cinque],PedestrianCrossing,27,0.1852,0,0.2083,2.126
Q9b pair grid s2 [cinque],StaticCutIn,252,0.6349,0.4701,0.7928,2.126
Q9b pair grid s2 [cinque],VehicleTurningRoutePedestrian,10,0,0,0,2.126
Q9b hard grid [cinque],DynamicObjectCrossing,293,0.02048,0,0.05724,2.543
Q9b hard grid [cinque],HighwayCutIn,207,0.6184,0.393,0.831,2.543
Q9b hard grid [cinque],Light,9,0,0,0,2.543
Q9b hard grid [cinque],OppositeVehicleRunningRedLight,0,,,,2.543
Q9b hard grid [cinque],ParkingCrossingPedestrian,76,0.05263,0,0.2143,2.543
Q9b hard grid [cinque],ParkingCutIn,217,0.1567,0.05479,0.2811,2.543
Q9b hard grid [cinque],PedestrianCrossing,27,0,0,0,2.543
Q9b hard grid [cinque],StaticCutIn,252,0.4206,0.2822,0.5603,2.543
Q9b hard grid [cinque],VehicleTurningRoutePedestrian,10,0,0,0,2.543
Q9b pair pooled-linear [cinque],DynamicObjectCrossing,293,0.1502,0.04412,0.2615,1.384
Q9b pair pooled-linear [cinque],HighwayCutIn,207,1,1,1,1.384
Q9b pair pooled-linear [cinque],Light,9,0,0,0,1.384
Q9b pair pooled-linear [cinque],OppositeVehicleRunningRedLight,0,,,,1.384
Q9b pair pooled-linear [cinque],ParkingCrossingPedestrian,76,0.1579,0,0.3371,1.384
