arm,ped_reactive,ped_flip,ped_lo,ped_hi,null_ff_oos,cutin_flip,cutin_delta_vs_prior,cutin_lo,cutin_hi,a_ped,b_cutin,c_null,pass
prior [cinque],406,0.0024630541871921183,0.0,0.0079155672823219,0.0505208708096483,0.7692307692307693,0.0,0.0,0.0,False,True,True,False
M-C pair [cinque],406,0.43349753694581283,0.350400550029417,0.5067287505095801,0.05095939366320486,0.8002958579881657,0.03106508875739645,0.005830691602904418,0.05794947994056464,True,True,True,True
M-C pair op [cinque],406,0.06896551724137931,0.02992456566225632,0.11601337674212112,0.05009753835575916,0.8505917159763313,0.08136094674556213,0.051846116027531954,0.1139980633401686,False,True,True,False
E5 A s0 [cinque],406,0.5270935960591133,0.4171548701985554,0.6206956696070569,0.05149105765156421,0.7559171597633136,-0.013313609467455622,-0.051439945724222905,0.02110149596936357,True,True,True,True
E5 A s1 [cinque],406,0.5221674876847291,0.40999930747922436,0.6160464848546868,0.0511452761854508,0.757396449704142,-0.011834319526627219,-0.05186179648443799,0.023704582921200125,True,True,True,True
E5 A s2 [cinque],406,0.5344827586206896,0.4244086297309621,0.6289004975124378,0.048544120116086636,0.7396449704142012,-0.029585798816568046,-0.07856848157365878,0.014706423806636053,True,True,True,True
E5 B s0 [cinque],406,0.5147783251231527,0.3926351700017201,0.6186125078566939,0.05027822416232941,0.7928994082840237,0.023668639053254437,0.004424615845790921,0.043219076005961254,True,True,True,True
E5 B s1 [cinque],406,0.5394088669950738,0.42893644535562214,0.6341508918820531,0.05124841100424532,0.8062130177514792,0.03698224852071006,0.011781167346815197,0.06432983997328605,True,True,True,True
E5 B s2 [cinque],406,0.5665024630541872,0.45931367436686305,0.6552570720052383,0.04901382326369734,0.7943786982248521,0.02514792899408284,0.0015058547533462186,0.04992841409691629,True,True,True,True
prior [lebowski],406,0.027093596059113302,0.0030950284507815684,0.0589570498010525,0.051578602323331654,0.7056213017751479,0.0,0.0,0.0,False,True,True,False
M-C pair [lebowski],406,0.41625615763546797,0.3243885959129862,0.5,0.04956067765172412,0.772189349112426,0.06656804733727811,0.01622359143456671,0.12136654508850354,True,True,True,True
M-C pair op [lebowski],406,0.17733990147783252,0.10659490124139318,0.24500082781456953,0.05198114791451802,0.8372781065088757,0.13165680473372782,0.07142046682515668,0.2059335641279261,False,True,True,False
E5 A s0 [lebowski],406,0.5566502463054187,0.46944444444444444,0.6311645769245745,0.051134882754099414,0.7707100591715976,0.0650887573964497,0.0,0.13451278489478824,True,True,True,True
E5 A s1 [lebowski],406,0.5517241379310345,0.46299550176806675,0.6296338098821169,0.050789101287986,0.7795857988165681,0.07396449704142012,0.00453155117496685,0.14970930232558138,True,True,True,True
E5 A s2 [lebowski],406,0.5640394088669951,0.4817472114675516,0.6353679952644041,0.04911176136681617,0.772189349112426,0.06656804733727811,0.0029801843572335378,0.13869017455713806,True,True,True,True
E5 B s0 [lebowski],406,0.5147783251231527,0.41073398641915476,0.6030160343703248,0.050562044787694174,0.7455621301775148,0.03994082840236687,-0.04831680474890854,0.12503250371471009,True,True,True,True
E5 B s1 [lebowski],406,0.5073891625615764,0.40533428067826255,0.6000141643059489,0.05032459485605097,0.7322485207100592,0.026627218934911243,-0.07725947521865889,0.11624615602811333,True,True,True,True
E5 B s2 [lebowski],406,0.5098522167487685,0.40615625282371015,0.6016949152542372,0.04962783520814845,0.7470414201183432,0.04142011834319527,-0.04185942452504767,0.12463376427578572,True,True,True,True
