arm,scope,n,nonreactive_flip
prior [cinque],all,6752,0.04206161137440758
prior [cinque],DynamicObjectCrossing,316,0.0031645569620253164
M-C pair [cinque],all,6752,0.04013625592417062
M-C pair [cinque],DynamicObjectCrossing,316,0.11708860759493671
M-C pair op [cinque],all,6752,0.04072867298578199
M-C pair op [cinque],DynamicObjectCrossing,316,0.00949367088607595
E5 A s0 [cinque],all,6752,0.03821090047393365
E5 A s0 [cinque],DynamicObjectCrossing,316,0.12658227848101267
E5 A s1 [cinque],all,6752,0.03658175355450237
E5 A s1 [cinque],DynamicObjectCrossing,316,0.12658227848101267
E5 A s2 [cinque],all,6752,0.03347156398104265
E5 A s2 [cinque],DynamicObjectCrossing,316,0.0981012658227848
E5 B s0 [cinque],all,6752,0.0404324644549763
E5 B s0 [cinque],DynamicObjectCrossing,316,0.12341772151898735
E5 B s1 [cinque],all,6752,0.037618483412322275
E5 B s1 [cinque],DynamicObjectCrossing,316,0.12341772151898735
E5 B s2 [cinque],all,6752,0.03613744075829384
E5 B s2 [cinque],DynamicObjectCrossing,316,0.13924050632911392
prior [lebowski],all,6752,0.054206161137440756
prior [lebowski],DynamicObjectCrossing,316,0.006329113924050633
M-C pair [lebowski],all,6752,0.03998815165876777
M-C pair [lebowski],DynamicObjectCrossing,316,0.10443037974683544
M-C pair op [lebowski],all,6752,0.04457938388625592
M-C pair op [lebowski],DynamicObjectCrossing,316,0.0031645569620253164
E5 A s0 [lebowski],all,6752,0.049022511848341235
E5 A s0 [lebowski],DynamicObjectCrossing,316,0.11392405063291139
E5 A s1 [lebowski],all,6752,0.04576421800947867
E5 A s1 [lebowski],DynamicObjectCrossing,316,0.11708860759493671
E5 A s2 [lebowski],all,6752,0.04724526066350711
E5 A s2 [lebowski],DynamicObjectCrossing,316,0.11392405063291139
E5 B s0 [lebowski],all,6752,0.033619668246445494
E5 B s0 [lebowski],DynamicObjectCrossing,316,0.10126582278481013
E5 B s1 [lebowski],all,6752,0.028732227488151657
E5 B s1 [lebowski],DynamicObjectCrossing,316,0.10443037974683544
E5 B s2 [lebowski],all,6752,0.032286729857819906
E5 B s2 [lebowski],DynamicObjectCrossing,316,0.0981012658227848
