t,kind,fold,arm,model,group,n,slope_fit,slope_prior
1.79e+09,q9b_insample,1,Q9b pair grid s2,lebowski,cut-in,474,0.2583,0.2188
1.79e+09,q9b_insample,1,Q9b hard grid,lebowski,pedestrian,353,0.06097,0.02908
1.79e+09,q9b_insample,1,Q9b hard grid,lebowski,cut-in,474,0.2066,0.2188
1.79e+09,q9b_insample,1,Q9b pair pooled-linear,lebowski,pedestrian,353,0.1016,0.02908
1.79e+09,q9b_insample,1,Q9b pair pooled-linear,lebowski,cut-in,474,0.2477,0.2188
1.79e+09,q9b_insample,2,Q9b pair grid s0,lebowski,pedestrian,300,0.1195,0.02189
1.79e+09,q9b_insample,2,Q9b pair grid s0,lebowski,cut-in,570,0.2342,0.1934
1.79e+09,q9b_insample,2,Q9b pair grid s1,lebowski,pedestrian,300,0.6476,0.02189
1.79e+09,q9b_insample,2,Q9b pair grid s1,lebowski,cut-in,570,0.5456,0.1934
1.79e+09,q9b_insample,2,Q9b pair grid s2,lebowski,pedestrian,300,0.6093,0.02189
1.79e+09,q9b_insample,2,Q9b pair grid s2,lebowski,cut-in,570,0.5383,0.1934
1.79e+09,q9b_insample,2,Q9b hard grid,lebowski,pedestrian,300,0.03298,0.02189
1.79e+09,q9b_insample,2,Q9b hard grid,lebowski,cut-in,570,0.2455,0.1934
1.79e+09,q9b_insample,2,Q9b pair pooled-linear,lebowski,pedestrian,300,0.0417,0.02189
1.79e+09,q9b_insample,2,Q9b pair pooled-linear,lebowski,cut-in,570,0.2154,0.1934
1.79e+09,q9b_insample,3,Q9b pair grid s0,lebowski,pedestrian,362,0.6953,0.02368
1.79e+09,q9b_insample,3,Q9b pair grid s0,lebowski,cut-in,490,0.5288,0.2254
1.79e+09,q9b_insample,3,Q9b pair grid s1,lebowski,pedestrian,362,0.3902,0.02368
1.79e+09,q9b_insample,3,Q9b pair grid s1,lebowski,cut-in,490,0.2716,0.2254
1.79e+09,q9b_insample,3,Q9b pair grid s2,lebowski,pedestrian,362,0.2995,0.02368
1.79e+09,q9b_insample,3,Q9b pair grid s2,lebowski,cut-in,490,0.3269,0.2254
1.79e+09,q9b_insample,3,Q9b hard grid,lebowski,pedestrian,362,0.02037,0.02368
1.79e+09,q9b_insample,3,Q9b hard grid,lebowski,cut-in,490,0.06842,0.2254
1.79e+09,q9b_insample,3,Q9b pair pooled-linear,lebowski,pedestrian,362,0.0958,0.02368
1.79e+09,q9b_insample,3,Q9b pair pooled-linear,lebowski,cut-in,490,0.2421,0.2254
1.79e+09,q9b_insample,4,Q9b pair grid s0,lebowski,pedestrian,295,0.6269,0.01043
1.79e+09,q9b_insample,4,Q9b pair grid s0,lebowski,cut-in,623,0.4872,0.2044
1.79e+09,q9b_insample,4,Q9b pair grid s1,lebowski,pedestrian,295,0.5295,0.01043
1.79e+09,q9b_insample,4,Q9b pair grid s1,lebowski,cut-in,623,0.4199,0.2044
1.79e+09,q9b_insample,4,Q9b pair grid s2,lebowski,pedestrian,295,0.664,0.01043
1.79e+09,q9b_insample,4,Q9b pair grid s2,lebowski,cut-in,623,0.5308,0.2044
1.79e+09,q9b_insample,4,Q9b hard grid,lebowski,pedestrian,295,0.01231,0.01043
1.79e+09,q9b_insample,4,Q9b hard grid,lebowski,cut-in,623,0.1967,0.2044
1.79e+09,q9b_insample,4,Q9b pair pooled-linear,lebowski,pedestrian,295,0.1799,0.01043
1.79e+09,q9b_insample,4,Q9b pair pooled-linear,lebowski,cut-in,623,0.3493,0.2044
