direction,arm,n_modes,pool,n_rater,minade1 [all],minade6 [all],minade20 [all],oracle_pool [all],minade1 [pre_onset dec1-9],minade6 [pre_onset dec1-9],minade20 [pre_onset dec1-9],oracle_pool [pre_onset dec1-9],minade1 [straight dec1-9],minade6 [straight dec1-9],minade20 [straight dec1-9],oracle_pool [straight dec1-9],rfs_top1,rfs_oracle_modes,uncovered_modes,uncovered_pool,oracle_modes - oracle_pool [all]
0,cls ego K1024,20,vocab K1024,478,2.2504938,1.0993836,0.75925887,0.54910225,2.2732258,1.3237473,1.0305592,0.8023589,1.8504624,0.7518883,0.49366078,0.4000823,7.2506780203342345,9.077442699296014,0.04602510460251046,0.0020920502092050207,0.21015662
0,cls_late qwenvid L18_last,20,vocab K1024,478,2.2603443,1.0861036,0.7496563,0.54910225,2.2588816,1.302842,1.0231304,0.8023589,1.8490508,0.7457782,0.48850188,0.4000823,7.245996018979305,9.112939865847805,0.04184100418410042,0.0020920502092050207,0.20055407
0,cls_late qwenvid L18_mean,20,vocab K1024,478,2.2743456,1.0843858,0.74788827,0.54910225,2.2350614,1.3148481,1.0239104,0.8023589,1.866707,0.75138396,0.48699242,0.4000823,7.298648489568518,9.102181229995452,0.04184100418410042,0.0020920502092050207,0.19878602
0,diff ego M20,20,anchors M20,478,1.8501004,0.9732849,0.9571068,1.8298235,2.064901,1.3312976,1.3312976,2.6740024,1.3653145,0.75363624,0.7533924,1.3510206,7.428295857497919,8.811963407771772,0.1108786610878661,0.1799163179916318,-0.87271667
0,diff qwenvid L18_last,20,anchors M20,478,1.9495782,1.0699083,1.0499846,1.8298235,2.1029096,1.3597815,1.3561653,2.6740024,1.5638812,0.8477772,0.8449219,1.3510206,7.546295858077466,8.846037381680574,0.1087866108786611,0.1799163179916318,-0.7798389
0,diff qwenvid L18_last pca16,20,anchors M20,478,1.8977617,0.9975941,0.98282486,1.8298235,2.1789598,1.3650485,1.3644239,2.6740024,1.439546,0.78638417,0.7858485,1.3510206,7.474268656128024,8.840914683243971,0.100418410041841,0.1799163179916318,-0.84699863
0,diff qwenvid L18_mean,20,anchors M20,478,2.0046966,1.0892068,1.0513093,1.8298235,2.0205004,1.3522074,1.3504648,2.6740024,1.6225059,0.8582057,0.8520372,1.3510206,7.560745394174819,8.88908074146177,0.11297071129707113,0.1799163179916318,-0.77851415
0,diff qwenvid L18_mean pca16,20,anchors M20,478,1.8696419,1.000229,0.9853567,1.8298235,1.9924742,1.345645,1.3455828,2.6740024,1.4212507,0.78944093,0.78857845,1.3510206,7.536463710951871,8.844227134291918,0.100418410041841,0.1799163179916318,-0.8444668
0,diff qwenvid L18_grid 4x4,20,anchors M20,478,1.9152678,1.084125,1.0536416,1.8298235,2.1375773,1.3890866,1.3751897,2.6740024,1.5726293,0.8685453,0.86350846,1.3510206,7.432434871569845,8.887455204281235,0.1108786610878661,0.1799163179916318,-0.77618194
