direction,arm,lam,sel_ade,d,K,sel_iter_mean,sel_iter_max,sel_not_converged,iter_mean,iter_max,not_converged,epochs,params,M
0,ridge ego,9.999999999999999e-06,1.8824386298656464,,,,,,,,,,,
0,A ridge_late qwenvid L18_last,0.09999999999999999,1.8090435564517975,2560.0,,,,,,,,,,
0,A ridge_late qwenvid L18_mean,0.31622776601683794,1.7895590662956238,2560.0,,,,,,,,,,
0,cls ego K1024,1e-07,2.1605148315429688,,1024.0,368.6666666666667,600.0,2.0,600.0,600.0,1.0,,,
0,cls_late qwenvid L18_last,0.09999999999999999,2.155334949493408,,1024.0,428.6666666666667,600.0,4.0,297.0,297.0,0.0,,,
0,cls_late qwenvid L18_mean,0.09999999999999999,2.1553385257720947,,1024.0,404.6666666666667,600.0,5.0,214.0,214.0,0.0,,,
0,diff ego M20,,1.6896532773971558,,,,,,,,,46.0,1764137.0,20.0
0,diff qwenvid L18_last,,1.8121566772460938,,,,,,,,,38.0,2420265.0,20.0
0,diff qwenvid L18_last pca16,,1.8046157360076904,,,,,,,,,59.0,1769001.0,20.0
0,diff qwenvid L18_mean,,1.786429762840271,,,,,,,,,53.0,2420265.0,20.0
0,diff qwenvid L18_mean pca16,,1.7241878509521484,,,,,,,,,45.0,1769001.0,20.0
0,diff qwenvid L18_grid 4x4,,1.7194217443466187,,,,,,,,,59.0,2432553.0,20.0
