direction,tap,family,arm,compare,subset,n,value,delta,lo,hi,halfwidth
0,L18_last,cls,cls_late qwenvid L18_last,head top-1 - ridge_late,pre_onset dec1-9,1281,2.2588813304901123,0.4226299226284027,0.2756529298473935,0.5640464819741973,0.1441967760634019
0,L18_last,cls,cls_late qwenvid L18_last,vision increment: head family - ridge,pre_onset dec1-9,1281,-0.014344357885420322,0.004795241169631481,-0.09043159571257917,0.09128880021319587,0.09086019796288752
0,L18_last,cls,cls_late qwenvid L18_last,head top-1 - ridge_late,straight dec1-9,10658,1.849050760269165,0.48144251108169556,0.38557245581288413,0.5821094424746233,0.09826849333086957
0,L18_last,cls,cls_late qwenvid L18_last,vision increment: head family - ridge,straight dec1-9,10658,-0.0014117071405053139,0.038332100957632065,-0.014609209756411794,0.09261179288464241,0.0536105013205271
0,L18_last,cls,cls_late qwenvid L18_last,RFS head top-1 - ridge_late,rater frames,478,7.2459960219064525,0.6656670832763341,0.43528101117448975,0.8806465058500788,0.2226827473377945
0,L18_last,diff,diff qwenvid L18_last,head top-1 - ridge_late,pre_onset dec1-9,1281,2.102909564971924,0.26665812730789185,0.10363413663762727,0.40720686212366736,0.15178636274302004
0,L18_last,diff,diff qwenvid L18_last,vision increment: head family - ridge,pre_onset dec1-9,1281,0.03800874948501587,0.05714835971593857,-0.07749525399282292,0.20666355939495054,0.14207940669388675
0,L18_last,diff,diff qwenvid L18_last,head top-1 - ridge_late,straight dec1-9,10658,1.5638811588287354,0.1962728500366211,0.13229661638564916,0.26484679442247744,0.06627508901841414
0,L18_last,diff,diff qwenvid L18_last,vision increment: head family - ridge,straight dec1-9,10658,0.19856660068035126,0.23831041157245636,0.17809538239129286,0.3102415799845647,0.06607309879663592
0,L18_last,diff,diff qwenvid L18_last,RFS head top-1 - ridge_late,rater frames,478,7.546295857225348,0.9659669185952302,0.7429043262689448,1.1713946016764736,0.2142451377037644
0,L18_last,diff,diff qwenvid L18_last pca16,head top-1 - ridge_late,pre_onset dec1-9,1281,2.178959846496582,0.34270840883255005,0.18402343972064283,0.4813723043942488,0.14867443233680297
0,L18_last,diff,diff qwenvid L18_last pca16,vision increment: head family - ridge,pre_onset dec1-9,1281,0.11405899375677109,0.1331986039876938,0.009373195028703188,0.24843492562075933,0.11953086529602808
0,L18_last,diff,diff qwenvid L18_last pca16,head top-1 - ridge_late,straight dec1-9,10658,1.43954598903656,0.07193779945373535,0.026447734225488084,0.11691665887911484,0.04523446232681338
