route,segment,variant,subset,n,rate_n,rate_rms,rate_p95_abs,raw_rate_n,raw_rate_rms,raw_rate_p95_abs,lateral_jerk_n,lateral_jerk_rms,lateral_jerk_p95_abs
26966,1,baseline-linear,all,70,70,0.3763785457434299,0.80010558695692,70,0.3763785457434299,0.80010558695692,70,19.079470973663966,33.81120271213004
26966,1,baseline-linear,update,18,18,0.5791813838524945,1.0022964658032953,18,0.5791813838524945,1.0022964658032953,18,19.341091296970294,31.281059817772007
26966,1,baseline-linear,nonupdate,52,52,0.2730925921273882,0.5830289950531176,52,0.2730925921273882,0.5830289950531176,52,18.988070272189063,35.08580742575029
26966,1,baseline-linear,unknown_update,0,0,,,0,,,0,,
26966,1,candidate-hermite,all,71,71,0.3754128998366837,0.9406870658797719,71,0.3754128998366837,0.9406870658797719,71,19.343502232429174,31.664052370086623
26966,1,candidate-hermite,update,18,18,0.6311841381195599,1.089894667371112,18,0.6311841381195599,1.089894667371112,18,18.541681333001723,30.125562385901752
26966,1,candidate-hermite,nonupdate,53,53,0.231292207937246,0.544639573575704,53,0.231292207937246,0.544639573575704,53,19.608361492338066,33.12787295908329
26966,1,candidate-hermite,unknown_update,0,0,,,0,,,0,,
24240,1,baseline-linear,all,117,117,0.09998371333631458,0.2183799830629378,117,0.09998371333631458,0.2183799830629378,117,7.229009466917632,11.891843395910433
24240,1,baseline-linear,update,30,30,0.1845376935718405,0.33129773280351027,30,0.1845376935718405,0.33129773280351027,30,4.994524797753527,6.5658455284276664
24240,1,baseline-linear,nonupdate,87,87,0.04124417236998657,0.08602579631577664,87,0.04124417236998657,0.08602579631577664,87,7.8534678425935,14.479596177745421
24240,1,baseline-linear,unknown_update,0,0,,,0,,,0,,
24240,1,candidate-hermite,all,117,117,0.11536580901268947,0.23256624384753904,117,0.11536580901268947,0.23256624384753904,117,4.958088926606237,8.73769990527716
24240,1,candidate-hermite,update,30,30,0.19148009259091814,0.34630937603020623,30,0.19148009259091814,0.34630937603020623,30,3.219256123133328,4.555061722629123
24240,1,candidate-hermite,nonupdate,87,87,0.0724961989706751,0.11927644521455226,87,0.0724961989706751,0.11927644521455226,87,5.430079336748049,9.499276770233166
24240,1,candidate-hermite,unknown_update,0,0,,,0,,,0,,
17563,1,baseline-linear,all,70,70,0.8402318251941534,2.0,70,0.9362770220847488,2.4244975775955067,70,18.94144955813879,44.6895802980948
17563,1,baseline-linear,update,18,18,1.1698667563206844,2.0,18,1.5252867749072976,2.894638204876383,18,8.628145820130824,18.305981305737212
17563,1,baseline-linear,nonupdate,52,52,0.6903828133868899,1.396721101055661,52,0.6121530559481158,1.3178259783783342,52,21.382275005860212,46.46650783909782
17563,1,baseline-linear,unknown_update,0,0,,,0,,,0,,
17563,1,candidate-hermite,all,70,70,0.8602279462464987,2.0,70,0.9650133275868809,2.298483668277532,70,19.0863924631165,42.892511744103935
17563,1,candidate-hermite,update,18,18,1.1996083886144935,2.0,18,1.6024735700059056,3.2469907473481867,18,10.597295195746268,20.493872877402424
17563,1,candidate-hermite,nonupdate,52,52,0.705696099560652,1.4237905290818367,52,0.6039129267854699,1.1738172757488723,52,21.24892686409922,43.78210879214064
17563,1,candidate-hermite,unknown_update,0,0,,,0,,,0,,
17563,2,baseline-linear,all,71,71,0.9457162416990018,2.0,71,1.1076489355829187,2.675977129119672,71,22.96920744222823,50.21428505542657
17563,2,baseline-linear,update,17,17,1.281400135966734,2.0,17,1.9579034928815926,3.632056440584047,17,12.304698153745534,22.189992938449738
17563,2,baseline-linear,nonupdate,54,54,0.811801342386162,1.8643860093872413,54,0.6374334270673272,1.5555339617270951,54,25.416749975849115,52.18722495707797
17563,2,baseline-linear,unknown_update,0,0,,,0,,,0,,
17563,2,candidate-hermite,all,71,71,0.9129486922754833,2.0,71,1.067344028005449,2.4414908338201777,71,20.665590701424453,45.594194696300235
17563,2,candidate-hermite,update,17,17,1.299650460419803,2.0,17,1.90395185394209,3.7022384616834088,17,12.720137596817501,23.855942636210923
17563,2,candidate-hermite,nonupdate,54,54,0.7510757090367572,1.704198549248517,54,0.5972048659944118,1.4302075054542922,54,22.595926814018267,48.5284531023909
17563,2,candidate-hermite,unknown_update,0,0,,,0,,,0,,
