binned_by,bin,n,lo,hi,log_rfs,log_floored,log_ade_best,outside_all,inside_and_low,rfs_given_inside,rfs_given_outside,rater_max,rater_min,speed,abs_a0,path_len,ade_over_path,rater_spread,lat_thr5,lng_thr5
s_ego (out-of-fold),1,48,0.07877725665565857,0.4484151314285302,8.724302515528406,0.041666666666666664,1.8220854504408017,0.08333333333333333,0.0,9.022727272727273,5.441630186340877,9.583333333333334,6.375,3.2415218,0.42205086,16.977340664425743,48.903028165660714,1.7112590700928358,1.1124333688989283,4.449733475595713
s_ego (out-of-fold),2,48,0.45099758814997115,0.69362344203001,8.979397999115706,0.020833333333333332,1.6592601218171616,0.14583333333333334,0.020833333333333332,9.207317073170731,7.644443422507697,9.645833333333334,6.4375,4.3773217,0.5050781,21.274750368269476,21.539632189717693,1.7838480313676148,1.2006323486566546,4.802529394626618
s_ego (out-of-fold),3,48,0.6968349182819324,0.9780489916299308,8.597708409813634,0.041666666666666664,1.361533297009979,0.10416666666666667,0.020833333333333332,8.874379264184501,6.218339062224177,9.395833333333334,5.958333333333333,5.2789383,0.48575184,25.58308965380751,398.9592073892664,1.8318686280237284,1.231031971098855,4.92412788439542
s_ego (out-of-fold),4,48,0.9860370574303111,1.24780167201237,8.77018939508919,0.020833333333333332,1.5416127379032896,0.125,0.0,9.125289965185251,6.284485404416761,9.520833333333334,6.375,4.4530263,0.4775016,21.79738121326967,0.14982224226229446,1.5475134552248069,1.1990831051021815,4.796332420408726
s_ego (out-of-fold),5,47,1.251765613279069,1.5320337121866738,9.004546331508946,0.0,2.1331542287678085,0.0425531914893617,0.0,9.153250130897439,5.6587108452678585,9.48936170212766,6.48936170212766,4.9873157,0.59252614,25.17226264335223,inf,2.200015269964332,1.2313410342373743,4.925364136949497
s_ego (out-of-fold),6,48,1.5410020613478608,1.9808478933888047,7.984211540137241,0.0625,2.508062928295869,0.25,0.0,8.79697630110843,5.545917257223675,9.416666666666666,6.020833333333333,4.0792613,0.61650294,20.16014541092143,0.8953332702544574,2.3606458381481246,1.1633880533277987,4.653552213311195
s_ego (out-of-fold),7,48,1.989681753705688,2.6862372323935495,8.580100487906991,0.0625,1.9072963277150514,0.20833333333333334,0.0,9.283634606496156,5.906670837268155,9.625,6.416666666666667,3.5243568,0.42057702,19.814815629677792,374.1956413458433,1.985620790061385,1.1328927704133094,4.5315710816532375
s_ego (out-of-fold),8,48,2.703176191587265,3.7178669026011213,7.561715795254844,0.16666666666666666,3.0194025989932123,0.3333333333333333,0.020833333333333332,8.706297317444745,5.272552750875043,9.729166666666666,6.354166666666667,4.944574,0.95019484,27.0447138765655,0.32909464268938843,2.5557251196175477,1.1680616924073546,4.672246769629418
s_ego (out-of-fold),9,48,3.7251484430347213,5.450804628663758,7.774575369788757,0.10416666666666667,3.048061232552364,0.2916666666666667,0.0,8.716873645861124,5.486136699327297,9.729166666666666,6.333333333333333,4.9037113,1.1572372,24.356040768932747,0.6556988011896365,2.707590822852975,1.1523840935435146,4.609536374174058
s_ego (out-of-fold),10,48,5.502200560124606,14.218866412157386,5.791980621855327,0.4166666666666667,7.979556083767037,0.6875,0.0,8.461492522221379,4.57856612168894,9.875,6.479166666666667,6.986933,1.1181942,20.761480156604158,0.5366491800770089,3.212489093937289,1.3881679420825093,5.552671768330037
"s_ego (in-fold, sensitivity)",1,48,0.12165483252727172,0.48832531036966964,9.071987546991553,0.020833333333333332,1.5408691176020302,0.0625,0.0,9.21111111111111,6.9851340851981645,9.666666666666666,6.604166666666667,3.3545074,0.43815747,16.6613741452735,99.70571019345785,1.6563729002068552,1.1184065530542284,4.473626212216914
"s_ego (in-fold, sensitivity)",2,48,0.49616010945774597,0.7307574509970512,8.898615626875797,0.020833333333333332,1.353428771564462,0.125,0.020833333333333332,9.119047619047619,7.3555916816730464,9.5,6.25,4.082429,0.39988026,20.978576162420286,inf,1.8353156974083966,1.1852183064911515,4.740873225964606
"s_ego (in-fold, sensitivity)",3,48,0.7319888904797199,0.9861425412801491,8.627083917804965,0.041666666666666664,1.7682967514780037,0.14583333333333334,0.020833333333333332,9.060975609756097,6.085718293519764,9.541666666666666,6.020833333333333,4.9360394,0.5469204,23.94833126812368,inf,1.819131989782548,1.2117854966782033,4.847141986712813
"s_ego (in-fold, sensitivity)",4,48,0.9925639666149507,1.240908490253735,8.534494740208638,0.041666666666666664,2.418629911633697,0.1875,0.0,9.028161752818809,6.395271018897903,9.5625,6.291666666666667,4.930948,0.47801575,24.5673940517884,0.5848382123036081,2.0632722812652227,1.2311086229514332,4.924434491805733
"s_ego (in-fold, sensitivity)",5,47,1.2443432859259167,1.538398526612534,8.687454722613593,0.0,1.8734488305809924,0.0851063829787234,0.0,9.029352989250711,5.012048356264573,9.446808510638299,6.297872340425532,4.447159,0.67982197,22.25719518829903,0.2209475466125531,2.143274816765512,1.181815989711817,4.727263958847268
"s_ego (in-fold, sensitivity)",6,48,1.5480772836697978,1.9460173029426493,8.562804326468534,0.0,1.7392445964544698,0.08333333333333333,0.0,8.838551270236017,5.529587945026222,9.375,6.270833333333333,4.08777,0.5972043,20.342244235440692,660.3128188705865,1.756163616344611,1.1707420292776078,4.682968117110431
"s_ego (in-fold, sensitivity)",7,48,1.946833946803564,2.674274357861825,8.147410162742,0.125,2.2269038746571233,0.2916666666666667,0.0,9.167386671761866,5.670324355122327,9.5625,6.145833333333333,4.8632236,0.4371169,25.85972116130199,0.3405107625629493,2.32385383204899,1.206272164499387,4.825088657997548
"s_ego (in-fold, sensitivity)",8,48,2.6757148611811714,3.693603328143187,7.482423177311767,0.1875,3.169508407262233,0.3333333333333333,0.020833333333333332,8.775670804320114,4.895927923295071,9.729166666666666,6.541666666666667,4.6822243,0.8755229,25.246119064010262,0.3382282723114649,2.3412171542181257,1.156954254861921,4.627817019447684
"s_ego (in-fold, sensitivity)",9,48,3.7337682376292443,5.5491076504948555,7.9074683251396864,0.08333333333333333,3.043855309627542,0.2916666666666667,0.0,8.779411764705882,5.789891400478923,9.791666666666666,6.395833333333333,4.5685062,1.2001992,22.300703002522834,0.6644669715441552,2.728092645284265,1.141494534770027,4.565978139080108
"s_ego (in-fold, sensitivity)",10,48,5.567615028881862,14.404424906943083,5.842379844657188,0.4166666666666667,7.840428907273129,0.6666666666666666,0.0,8.334640953715063,4.596249290128251,9.833333333333334,6.416666666666667,6.8129005,1.0945941,20.719631534665297,0.5299833727652447,3.2286990931911372,1.3745866557117552,5.498346622847021
ctrv residual,1,48,0.0,0.44416343330259134,8.93101836479648,0.020833333333333332,1.6239962365401743,0.0625,0.0,9.022222222222222,7.562960503410328,9.604166666666666,6.458333333333333,3.7074172,0.09339833,18.543219110582964,inf,1.670330351619313,1.1311864922754467,4.524745969101787
ctrv residual,2,48,0.4657675493405815,0.8095910688263268,8.667819409801387,0.041666666666666664,1.580199776097179,0.08333333333333333,0.020833333333333332,8.943181818181818,5.63883291761664,9.458333333333334,6.333333333333333,5.3757997,0.29465246,27.10292853384793,0.5782530475883364,1.6022887936014956,1.2177085686940698,4.870834274776279
ctrv residual,3,48,0.8202683135637596,1.218755220265333,8.812982052885799,0.020833333333333332,1.7057562874770154,0.14583333333333334,0.0,9.15312475724034,6.820717641666336,9.541666666666666,6.354166666666667,4.9920635,0.3356332,25.320246344361948,0.2332255903800077,1.79816379387689,1.2222834031097591,4.8891336124390365
ctrv residual,4,48,1.2487612906528385,1.7991542732116224,8.254736936343123,0.08333333333333333,2.191466274701499,0.1875,0.020833333333333332,8.86194818015335,5.623488213165475,9.5,5.895833333333333,4.8663898,0.51978356,24.64230493320473,0.6398031002280956,2.13215960264781,1.2049782539252192,4.819913015700877
ctrv residual,5,47,1.8014914605682346,2.2990014790487403,8.518461444168382,0.0,1.684543317143701,0.19148936170212766,0.0,9.03275020715088,6.347020000464499,9.46808510638298,6.148936170212766,3.6912484,0.7036059,19.289339964747025,0.6229898399634949,1.763289265506192,1.0899866852513016,4.359946741005206
