frame_name,sequence,frame,cluster,intent,half,s_ego,speed,a0,yaw_rate,log_path_len,log_rfs,log_inside,log_floored,log_ade_best,nearest_rater,nearest_norm,nearest_score,rater_max,rater_min,rater_mean,lat_thr3,lat_thr5,lng_thr3,lng_thr5,ade_best_rater_spread,s_ctrv,s_cv,case,best_rater_score,n_rater_raw,n_padded,any_padded,min_max_dev_to_rated,log_rfs_no_padded_horizon,log_floored_no_padded_horizon,group
053cb7c6b8b71cc8ed1d9f3b2b5b8636-150,053cb7c6b8b71cc8ed1d9f3b2b5b8636,150,Cut_ins,1,1.0,8.30468233705093,6.146259,-0.6875458,-0.0007364012766629457,13.070907789951066,4.0,False,True,8.630209516919345,1,2.822812290554308,6.0,10.0,6.0,8.333333333333334,0.7472009807825089,1.344961765408516,2.9888039231300354,5.379847061634064,1.380343360622127,9.037799238265334,9.037656005781786,outside,10.0,3,0,False,9.352913656953273,4.0,True,top_decile
06a6ff41e238ac25ca0ce315ab895329-149,06a6ff41e238ac25ca0ce315ab895329,149,Foreign Object Debris,1,0.0,5.941591255228301,1.812597,-1.2936926,0.13730918876826764,14.413713898879324,8.0,True,False,0.7917237650331643,1,0.4738941251624641,8.0,8.0,5.0,6.333333333333333,0.5214894289771715,0.9386809721589088,2.085957715908686,3.754723888635635,2.063098675398606,1.7517287924830847,1.6273785230102409,inside,8.0,3,0,False,1.638980025433367,8.0,False,top_decile
0e871c9836cb94ce7adaf502567b2b35-148,0e871c9836cb94ce7adaf502567b2b35,148,Cut_ins,1,1.0,5.640263429548169,8.353619,-1.1328049,0.002513888361863792,20.249842085915894,4.012704731631006,False,False,8.485115103694934,0,1.7135506183575566,9.0,10.0,8.0,9.0,0.8621676365534465,1.5519017457962039,3.448670546213786,6.2076069831848155,1.7489431340668589,11.083715874497264,11.08325233262643,outside,10.0,3,0,False,7.219494027994266,4.012704731631006,False,top_decile
14422f0ae5fd5f08c4be6039493da2d8-147,14422f0ae5fd5f08c4be6039493da2d8,147,Single-Lane Maneuvers,1,0.0,6.47865053242622,2.7769322,0.8193836,-0.04012011494487524,6.519969290291282,10.0,True,False,0.22850725647048056,2,0.10863234160021944,10.0,10.0,5.0,7.0,0.5717152208089828,1.0290873974561692,2.2868608832359314,4.116349589824677,5.459026201189722,4.415625328594768,4.4170238653343885,inside,10.0,3,0,False,0.44797179120865654,10.0,False,top_decile
1c606b71cbbb08251345d152bd5d4d4b-148,1c606b71cbbb08251345d152bd5d4d4b,148,Others,1,0.0,7.011706702606142,0.0,0.0,-0.6283185362815857,23.121236107452606,10.0,True,False,0.289830709669186,0,0.11401615353779423,8.0,10.0,6.0,8.0,0.5,0.9,2.0,3.6,0.5570235039924044,7.297092675738098,7.297092675738098,inside,10.0,3,0,False,0.40019250453049415,10.0,False,top_decile
22fe0c6fde62bfb5a4d43d5c1f4101d0-149,22fe0c6fde62bfb5a4d43d5c1f4101d0,149,Cut_ins,1,1.0,8.36389570283952,1.6557218,-4.4570713,-0.004979903623461723,13.244605057553223,6.756242255524167,False,False,1.175490116276913,2,1.235834211954494,6.0,10.0,6.0,8.0,0.5133188428978125,0.9239739172160625,2.05327537159125,3.69589566886425,0.9283920732005234,1.8391935712478182,1.8407262462808915,outside,10.0,3,0,False,4.586623008591486,6.756242255524167,False,top_decile
3863d816ff1b1aa7a40de54c4ba821eb-148,3863d816ff1b1aa7a40de54c4ba821eb,148,Cyclist,1,1.0,10.131843254209624,8.093613,1.0877514,0.1786967433989048,21.600427464408245,6.0,True,False,7.54083186375675,0,0.7530724082619549,6.0,10.0,6.0,8.0,0.848625659942627,1.5275261878967286,3.394502639770508,6.110104751586914,3.7324570577563083,8.336257654162072,7.907332426524259,inside,10.0,3,0,False,2.573175608925069,6.0,False,top_decile
3c87e8251965c3ffbc95a320e49d20f6-149,3c87e8251965c3ffbc95a320e49d20f6,149,Cyclist,1,1.0,5.502200560124606,9.034061,-1.445301,0.001652413886040449,25.741550453201484,4.0,False,True,10.492140243497486,1,2.291295317241861,9.0,10.0,8.0,9.0,0.8976073662439983,1.615693259239197,3.590429464975993,6.462773036956788,1.7691153822186758,10.594861660187169,10.595799974904434,outside,10.0,3,0,False,10.299873734190204,4.0,True,top_decile
474a369cbdce69432665f10ee171ac55-148,474a369cbdce69432665f10ee171ac55,148,Cut_ins,1,0.0,7.647683229252989,10.988107,-2.1249924,-0.0003810868132859468,18.6241322750346,4.0,False,True,13.75740805059211,1,3.1819526749491023,6.0,10.0,6.0,8.333333333333334,0.9993805587291718,1.7988850057125092,3.997522234916687,7.195540022850037,2.015950193237961,14.642979492701013,14.642782214093918,outside,10.0,3,0,False,22.89599602333832,4.0,True,top_decile
54a8d79d034d3de050a3f29351499731-149,54a8d79d034d3de050a3f29351499731,149,Pedestrian,1,1.0,14.218866412157386,12.393864,0.09037399,0.02642102651298046,15.510964087628366,4.0,False,True,19.074303006919745,1,4.266937828990514,8.0,10.0,8.0,9.0,1.0,1.8,4.0,7.2,2.982086582134771,19.464524991778934,19.443186404495382,outside,10.0,3,0,False,28.79046009285982,4.0,True,top_decile
