subset,arm,vs,n,value,delta,lo,hi,halfwidth
all rater frames,cls_late op-cinque temporal,cv,479,7.6526077439992735,0.6068957039888294,0.3650317026786685,0.8487987083776235,0.2418835028494775
all rater frames,cls_late op-cinque temporal,cls ego K1024,479,7.6526077439992735,0.37526742276980213,0.2135662418152394,0.544103819199735,0.16526878869224781
all rater frames,cls_late op-cinque temporal,native op-cinque,479,7.6526077439992735,-0.2885984564655857,-0.472199560080071,-0.10007938800950653,0.18606008603528223
all rater frames,A ridge_late op-cinque temporal,cv,479,7.457946164918519,0.41223412490807476,0.17711685459109705,0.6559861170170972,0.23943463121300007
all rater frames,native op-cinque,cv,479,7.941206200464859,0.895494160454415,0.6666789530075264,1.1256647546144654,0.22949290080346946
all rater frames,cls_late op-lebowski temporal,cv,479,7.703487033288038,0.6577749932775947,0.4358930162004459,0.8868268234430817,0.2254669036213179
all rater frames,cls_late op-lebowski temporal,cls ego K1024,479,7.703487033288038,0.4261467120585674,0.2623362254115513,0.5837209594821566,0.16069236703530265
all rater frames,cls_late op-lebowski temporal,native op-lebowski,479,7.703487033288038,-0.1011986558656906,-0.29223218616410307,0.09355344160579585,0.19289281388494944
all rater frames,A ridge_late op-lebowski temporal,cv,479,7.471683309214765,0.42597126920432193,0.19950553890102818,0.6715505731366052,0.2360225171177885
all rater frames,native op-lebowski,cv,479,7.80468568915373,0.7589736491432854,0.5370813321340652,1.0102051412998052,0.23656190458287002
all rater frames,cls ego K1024,cv,479,7.277340321229472,0.23162828121902734,0.012888705446205387,0.453452243135132,0.2202817688444633
all rater frames,ridge ego,cv,479,7.055030071506471,0.009318031496026608,-0.2123199239387761,0.2520938792674186,0.23220690160309737
standstill (v0 < 0.5 m/s),cls_late op-cinque temporal,cv,120,7.624813981097712,-0.02394752377972047,-0.3866140872610011,0.33616467114947474,0.36138937920523795
standstill (v0 < 0.5 m/s),cls_late op-cinque temporal,cls ego K1024,120,7.624813981097712,0.3081634498646722,0.0017575676644559794,0.6066289770338321,0.30243570468468806
standstill (v0 < 0.5 m/s),cls_late op-cinque temporal,native op-cinque,120,7.624813981097712,-0.1844920470186485,-0.417931893678192,0.015697806836883384,0.2168148502575377
standstill (v0 < 0.5 m/s),A ridge_late op-cinque temporal,cv,120,6.9082897104773116,-0.7404717944001197,-1.2160379265309642,-0.2803828293693295,0.4678275485808173
standstill (v0 < 0.5 m/s),native op-cinque,cv,120,7.809306028116359,0.16054452323892804,-0.17465834994396992,0.5229415951209743,0.3487999725324721
standstill (v0 < 0.5 m/s),cls_late op-lebowski temporal,cv,120,7.651991927207119,0.003230422329686866,-0.3182654086506027,0.33863492568565245,0.3284501671681276
standstill (v0 < 0.5 m/s),cls_late op-lebowski temporal,cls ego K1024,120,7.651991927207119,0.33534139597407964,0.028239116227612902,0.6203932037080725,0.2960770437402298
standstill (v0 < 0.5 m/s),cls_late op-lebowski temporal,native op-lebowski,120,7.651991927207119,0.06065164411101934,-0.2195692132546584,0.3284728274447419,0.2740210203497001
standstill (v0 < 0.5 m/s),A ridge_late op-lebowski temporal,cv,120,7.013715600292068,-0.6350459045853644,-1.0992715222814624,-0.18222938481268947,0.45852106873438647
standstill (v0 < 0.5 m/s),native op-lebowski,cv,120,7.5913402830961,-0.05742122178133244,-0.4172760325864599,0.2845461875369666,0.35091111006171327
standstill (v0 < 0.5 m/s),cls ego K1024,cv,120,7.316650531233039,-0.33211097364439274,-0.5503124415993643,-0.12256768973789967,0.21387237593073233
standstill (v0 < 0.5 m/s),ridge ego,cv,120,7.014836804644604,-0.6339247002328278,-1.0210561485290357,-0.23605064605503473,0.3925027512370005
Interections + Multi-Lane,cls_late op-cinque temporal,cv,158,7.619600700925117,0.5811564193061379,0.1921459265839881,0.948825663899317,0.37833986865766445
Interections + Multi-Lane,cls_late op-cinque temporal,cls ego K1024,158,7.619600700925117,0.36645895083360946,0.1270145626289152,0.6227315669616104,0.24785850216634758
Interections + Multi-Lane,cls_late op-cinque temporal,native op-cinque,158,7.619600700925117,-0.06864611519350633,-0.39716030910600914,0.2565133571905748,0.3268368331482919
Interections + Multi-Lane,A ridge_late op-cinque temporal,cv,158,7.441253778284657,0.40280949666567567,-0.03305660460140685,0.8186689780859205,0.42586279134366367
Interections + Multi-Lane,native op-cinque,cv,158,7.688246816118624,0.6498025344996442,0.24866425975542197,1.0642627240788693,0.4077992321617237
Interections + Multi-Lane,cls_late op-lebowski temporal,cv,158,7.647766344442732,0.6093220628237527,0.22562739115031508,0.9636778456003533,0.3690252272250191
Interections + Multi-Lane,cls_late op-lebowski temporal,cls ego K1024,158,7.647766344442732,0.39462459435122416,0.12554101001114146,0.6467899701200237,0.2606244800544411
Interections + Multi-Lane,cls_late op-lebowski temporal,native op-lebowski,158,7.647766344442732,0.18912861343456833,-0.16591931016469885,0.5418636390159838,0.3538914745903413
Interections + Multi-Lane,A ridge_late op-lebowski temporal,cv,158,7.398740061232674,0.3602957796136947,-0.07111286575577044,0.7416499814558387,0.4063814236058046
Interections + Multi-Lane,native op-lebowski,cv,158,7.458637731008165,0.4201934493891842,-0.028434390081066217,0.8429453331013291,0.43568986159119766
Interections + Multi-Lane,cls ego K1024,cv,158,7.253141750091509,0.21469746847252846,-0.14032155144489006,0.5741360968009229,0.35722882412290646
Interections + Multi-Lane,ridge ego,cv,158,7.002723256731551,-0.035721024887429745,-0.40888914220219175,0.32970924132458806,0.3692991917633899
Interections,cls_late op-cinque temporal,cv,116,7.728263385921989,0.6164087852420848,0.19382370281564387,1.021764608250897,0.4139704527176266
Interections,cls_late op-cinque temporal,cls ego K1024,116,7.728263385921989,0.38800611109921634,0.08980974942742552,0.6968986174582917,0.30354443401543313
Interections,cls_late op-cinque temporal,native op-cinque,116,7.728263385921989,-0.01294353206136089,-0.3705096157178212,0.35451974193443403,0.36251467882612765
Interections,A ridge_late op-cinque temporal,cv,116,7.551647503481544,0.4397929028016389,-0.07381810430620256,0.8937907704255952,0.48380443736589884
Interections,native op-cinque,cv,116,7.74120691798335,0.6293523173034457,0.12571186537878873,1.111483424693407,0.4928857796573092
Interections,cls_late op-lebowski temporal,cv,116,7.684902116702406,0.5730475160225019,0.1716925556932904,0.9810400053624971,0.4046737248346034
Interections,cls_late op-lebowski temporal,cls ego K1024,116,7.684902116702406,0.3446448418796333,-0.0038120918193525906,0.694712832926273,0.3492624623728128
Interections,cls_late op-lebowski temporal,native op-lebowski,116,7.684902116702406,0.17762483526838468,-0.21581845143894154,0.5897312455083568,0.40277484847364914
Interections,A ridge_late op-lebowski temporal,cv,116,7.488000398375138,0.37614579769523526,-0.10172763063377228,0.8382200931483568,0.46997386189106455
Interections,native op-lebowski,cv,116,7.50727728143402,0.39542268075411696,-0.11363808428917321,0.9056668093637705,0.5096524468264718
Interections,cls ego K1024,cv,116,7.340257274822773,0.22840267414286844,-0.16291269818525475,0.619833937352991,0.3913733177691229
Interections,ridge ego,cv,116,7.040167857989752,-0.0716867426901518,-0.4680620213452984,0.3267337757509132,0.3973978985481058
Multi-Lane Maneuvers,cls_late op-cinque temporal,cv,42,7.319484713790902,0.483792741959237,-0.29245942285720167,1.2324201550187417,0.7624397889379717
Multi-Lane Maneuvers,cls_late op-cinque temporal,cls ego K1024,42,7.319484713790902,0.30694774629050486,-0.1903000988638191,0.818750524757225,0.5045253118105221
Multi-Lane Maneuvers,cls_late op-cinque temporal,native op-cinque,42,7.319484713790902,-0.22249134479657465,-0.856696306997722,0.3626785487351853,0.6096874278664537
Multi-Lane Maneuvers,A ridge_late op-cinque temporal,cv,42,7.136356822978965,0.30066485114730107,-0.589941482819652,1.1971139587824535,0.8935277208010528
Multi-Lane Maneuvers,native op-cinque,cv,42,7.541976058587476,0.7062840867558117,-0.11920586282680795,1.4887225086242388,0.8039641857255234
Multi-Lane Maneuvers,cls_late op-lebowski temporal,cv,42,7.545200878201728,0.7095089063700643,-0.01068188587528659,1.4242807725663362,0.7174813292208114
Multi-Lane Maneuvers,cls_late op-lebowski temporal,cls ego K1024,42,7.545200878201728,0.5326639107013321,0.17628733006820504,0.9640275875928356,0.39387012876231525
Multi-Lane Maneuvers,cls_late op-lebowski temporal,native op-lebowski,42,7.545200878201728,0.22090095313164682,-0.3497658396223961,0.8340225765545938,0.5918942080884949
Multi-Lane Maneuvers,A ridge_late op-lebowski temporal,cv,42,7.152211511029675,0.31651953919801074,-0.58626705125761,1.1749550010105845,0.8806110261340973
Multi-Lane Maneuvers,native op-lebowski,cv,42,7.3242999250700835,0.4886079532384175,-0.33352090069911744,1.280393000952461,0.8069569508257892
Multi-Lane Maneuvers,cls ego K1024,cv,42,7.012536967500396,0.17684499566873219,-0.5159091371534834,0.8922106978856252,0.7040599175195543
Multi-Lane Maneuvers,ridge ego,cv,42,6.899304834208896,0.06361286237723125,-0.8205317127584623,0.9551195210820687,0.8878256169202654
