arm,vs,readout,n,value,delta,lo,hi,halfwidth
ridge ego +desire,ridge ego,"pre-onset, deciles 1-9",1291,1.9664382934570312,-3.9875322954685544e-07,-8.085041803682083e-07,1.9705906450621198e-08,4.1410504340941476e-07
ridge ego +desire,ridge ego,"all frames, deciles 1-9",95724,1.411267876625061,4.6426066546700895e-07,3.0993971690801854e-07,6.211431879823094e-07,1.5560173553714545e-07
ridge ego +desire,ridge ego,"straight, deciles 1-9",42497,1.335142731666565,5.484394023369532e-07,3.307365786119101e-07,7.817915081850092e-07,2.2552746478654957e-07
A ridge_late op-cinque temporal +desire,A ridge_late op-cinque temporal,"pre-onset, deciles 1-9",1291,1.445769190788269,-0.22698695957660675,-0.3090175901252502,-0.14904130201308788,0.07998814405608116
A ridge_late op-cinque temporal +desire,A ridge_late op-cinque temporal,"all frames, deciles 1-9",95724,1.0682471990585327,-0.025233156979084015,-0.03296055058124171,-0.01741836336648559,0.007771093607378061
A ridge_late op-cinque temporal +desire,A ridge_late op-cinque temporal,"straight, deciles 1-9",42497,0.9429986476898193,0.009965706616640091,0.00632564225042062,0.014401489392583847,0.004037923571081613
A ridge_late op-lebowski temporal +desire,A ridge_late op-lebowski temporal,"pre-onset, deciles 1-9",1291,1.4357620477676392,-0.2126757949590683,-0.2818902984299276,-0.14292528452359562,0.06948250695316598
A ridge_late op-lebowski temporal +desire,A ridge_late op-lebowski temporal,"all frames, deciles 1-9",95724,1.0775781869888306,-0.02190268225967884,-0.028137905084316028,-0.016747159406227452,0.005695372839044288
A ridge_late op-lebowski temporal +desire,A ridge_late op-lebowski temporal,"straight, deciles 1-9",42497,0.9449838995933533,0.0069158803671598434,0.0039030780258188496,0.009947126109292971,0.0030220240417370607
cls ego K1024 +desire,cls ego K1024,"pre-onset, deciles 1-9",1291,2.2596559524536133,-0.04651406779885292,-0.2271267160553449,0.056797975623728146,0.1419623458395365
cls ego K1024 +desire,cls ego K1024,"all frames, deciles 1-9",95724,1.6738041639328003,0.005430061835795641,-0.0014586610401146327,0.01234041244946534,0.006899536744789986
cls ego K1024 +desire,cls ego K1024,"straight, deciles 1-9",42497,1.7219473123550415,-0.0006643770611844957,-0.009700760247294677,0.007139029255128567,0.008419894751211621
cls_late op-cinque temporal +desire,cls_late op-cinque temporal,"pre-onset, deciles 1-9",1291,1.983464241027832,-0.19012659788131714,-0.4060205922771348,-0.0322964095145319,0.18686209138130144
cls_late op-cinque temporal +desire,cls_late op-cinque temporal,"all frames, deciles 1-9",95724,1.5918564796447754,-0.04039335995912552,-0.059125296315883785,-0.022258670551564122,0.01843331288215983
cls_late op-cinque temporal +desire,cls_late op-cinque temporal,"straight, deciles 1-9",42497,1.6434838771820068,-0.03977718576788902,-0.06397802007966769,-0.016611260308804412,0.023683379885431635
cls_late op-lebowski temporal +desire,cls_late op-lebowski temporal,"pre-onset, deciles 1-9",1291,2.076798677444458,-0.07189759612083435,-0.15355036454484644,-0.0011321338354315013,0.07620911535470747
cls_late op-lebowski temporal +desire,cls_late op-lebowski temporal,"all frames, deciles 1-9",95724,1.6022539138793945,-0.012632418423891068,-0.025034803582484822,-0.0008095892480625372,0.012112607167211142
cls_late op-lebowski temporal +desire,cls_late op-lebowski temporal,"straight, deciles 1-9",42497,1.6610803604125977,-0.0060762567445635796,-0.018824324769121912,0.005837012662153156,0.012330668715637535
