examinee,pdm_a_ped_flip,pdm_a_n,ba_official_ped_flip,diff_pp,pdm_a_null_ff_oos,pass
M-C pair [cinque],0.008403361344537815,238,0.43349753694581283,-42.5094175601275,0.05053626303550715,False
M-C pair [lebowski],0.004201680672268907,238,0.41625615763546797,-41.20544769631991,0.04988840451439472,False
