scope,n,activation,lo,hi,delta_mag_median_m,model,arm,tau
straight_yaw,11597,0.046822454082952485,0.038117086714373485,0.056261910475222665,2.218262380814623,cinque,E2 pair (a),1.7667512893676758
pre_onset,1458,0.06927297668038408,0.04219684830192092,0.1001392073124296,2.4549809446553077,cinque,E2 pair (a),1.7667512893676758
all,19663,0.04938208818593297,0.04195571577939667,0.057408468485923035,2.3912603002011474,cinque,E2 pair (a),1.7667512893676758
Pedestrians,1831,0.0551611141452758,0.03309412133221657,0.08075230742328864,2.5366394349657635,cinque,E2 pair (a),1.7667512893676758
Cyclists,2830,0.05088339222614841,0.03261675315048184,0.07202316322837496,2.216628173668975,cinque,E2 pair (a),1.7667512893676758
Cut_ins,885,0.1016949152542373,0.0502922305764411,0.15861419239468214,2.595439571445003,cinque,E2 pair (a),1.7667512893676758
FOD,3561,0.040718899185622014,0.023988346748338288,0.06037601036038045,2.4248645372361177,cinque,E2 pair (a),1.7667512893676758
Intersections,4772,0.050293378038558254,0.036375277660042615,0.06645957235910506,2.428087668518188,cinque,E2 pair (a),1.7667512893676758
straight_yaw,11597,0.7105285849788738,0.6829102553961451,0.7377127703757186,3.3933495051578513,cinque,E2 pair (b),1.3713752627372742
pre_onset,1458,0.676954732510288,0.6155447247870623,0.7358232903289763,3.4199883002498055,cinque,E2 pair (b),1.3713752627372742
all,19663,0.6504602553018359,0.6294145967220797,0.6710911667383296,3.382096654840441,cinque,E2 pair (b),1.3713752627372742
Pedestrians,1831,0.6242490442381212,0.5582433797195735,0.6857926349293267,3.3236901522218014,cinque,E2 pair (b),1.3713752627372742
Cyclists,2830,0.5169611307420495,0.45858402165545314,0.5752604477665627,3.0283939317606214,cinque,E2 pair (b),1.3713752627372742
Cut_ins,885,0.6022598870056497,0.4940047307846198,0.7024070021881839,3.1492806697841402,cinque,E2 pair (b),1.3713752627372742
FOD,3561,0.7048581859028363,0.6588332722670042,0.7513609428097572,3.5359022676199827,cinque,E2 pair (b),1.3713752627372742
Intersections,4772,0.692162615255658,0.6527452214936756,0.7310291976781499,3.450558668756431,cinque,E2 pair (b),1.3713752627372742
straight_yaw,11597,0.00034491678882469606,0.0,0.0008002169483227245,1.3022626650692222,cinque,E2 hard (a),1.118665874004364
pre_onset,1458,0.0,0.0,0.0,1.3845829992532763,cinque,E2 hard (a),1.118665874004364
all,19663,0.000355998576005696,5.181293479789311e-05,0.0007177297185519241,1.3415346465041835,cinque,E2 hard (a),1.118665874004364
Pedestrians,1831,0.0,0.0,0.0,1.2137118362683814,cinque,E2 hard (a),1.118665874004364
Cyclists,2830,0.0,0.0,0.0,1.3387313572617288,cinque,E2 hard (a),1.118665874004364
Cut_ins,885,0.0011299435028248588,0.0,0.003745318352059925,1.2146752949426012,cinque,E2 hard (a),1.118665874004364
FOD,3561,0.0,0.0,0.0,1.3269893849503043,cinque,E2 hard (a),1.118665874004364
Intersections,4772,0.00020955574182732607,0.0,0.0006602112676056338,1.4153571212247729,cinque,E2 hard (a),1.118665874004364
straight_yaw,11597,0.17366560317323446,0.14958559913462208,0.19935821681613883,2.388420879280864,cinque,E2 uniform (a),1.1459379196166992
pre_onset,1458,0.2654320987654321,0.2083326356329538,0.3251236866083886,2.5933648574071975,cinque,E2 uniform (a),1.1459379196166992
all,19663,0.1677261862381122,0.14820279703225894,0.18819837924262908,2.4549231857701566,cinque,E2 uniform (a),1.1459379196166992
Pedestrians,1831,0.10212998361551065,0.05627918574181923,0.15943677233680723,2.189591167509115,cinque,E2 uniform (a),1.1459379196166992
