model,fold,arm,max_abs_diff
cinque,0,M-C pair,8.0108642578125e-05
cinque,0,prior,4.76837158203125e-05
cinque,1,M-C pair,0.0002384185791015625
cinque,1,prior,0.00023651123046875
cinque,2,M-C pair,0.0001354217529296875
cinque,2,prior,0.00010776519775390625
cinque,3,M-C pair,0.00038242340087890625
cinque,3,prior,0.0003948211669921875
cinque,4,M-C pair,8.0108642578125e-05
cinque,4,prior,5.054473876953125e-05
lebowski,0,M-C pair,5.829334259033203e-05
lebowski,0,prior,4.1961669921875e-05
lebowski,1,M-C pair,0.000270843505859375
lebowski,1,prior,0.0002689361572265625
lebowski,2,M-C pair,0.0001201629638671875
lebowski,2,prior,0.00011444091796875
lebowski,3,M-C pair,0.0003948211669921875
lebowski,3,prior,0.00038051605224609375
lebowski,4,M-C pair,8.20159912109375e-05
lebowski,4,prior,4.00543212890625e-05
