k,bic,fit
1,4307.393109773983,P5 reactive frames
2,2795.695987072021,P5 reactive frames
3,2419.857680575264,P5 reactive frames
4,1941.7323372522653,P5 reactive frames
5,1592.0301486993624,P5 reactive frames
6,1174.6160642605805,P5 reactive frames
7,712.8539897774896,P5 reactive frames
8,499.4860133009824,P5 reactive frames
1,4130.612529972006,WOD all rater frames
2,2685.903598352026,WOD all rater frames
3,2436.529139837088,WOD all rater frames
4,2212.8188202535575,WOD all rater frames
5,1382.8728821576306,WOD all rater frames
6,994.5957891072737,WOD all rater frames
7,916.0731639303137,WOD all rater frames
8,844.8850794317397,WOD all rater frames
1,782.4116817313387,WOD s_ego decile 10
2,562.9882451245697,WOD s_ego decile 10
3,524.8779205000795,WOD s_ego decile 10
4,506.65937733426756,WOD s_ego decile 10
5,527.47758729972,WOD s_ego decile 10
6,545.6653291117495,WOD s_ego decile 10
7,548.665671891069,WOD s_ego decile 10
8,552.4295072779836,WOD s_ego decile 10
